Index|Korean|English
2급 문법 1과 2항 1단어|지내다|to spend one's time
2급 문법 1과 2항 2단어|오랜만이다|long time no see
2급 문법 1과 2항 3단어|즐겁다|to be fun or be happy
2급 문법 1과 2항 4단어|점점|eventually
2급 문법 1과 2항 5단어|익숙하다|to be used to
2급 문법 1과 3항 10단어|건강하다|to be healthy
2급 문법 1과 3항 11단어|그만두다|to quit
2급 문법 1과 3항 12단어|다니다|to attend or go
2급 문법 1과 3항 1단어|광고 회사|advertising company
2급 문법 1과 3항 2단어|무역 회사|trading company
2급 문법 1과 3항 3단어|방송국|broadcasting station
2급 문법 1과 3항 4단어|신문사|newspaper publishing company
2급 문법 1과 3항 5단어|잡지사|magazine company
2급 문법 1과 3항 6단어|출판사|publishing company
2급 문법 1과 3항 7단어|항공사|airline company
2급 문법 1과 3항 8단어|직장|job
2급 문법 1과 3항 9단어|사귀다|to make friends
2급 문법 1과 8항 1단어|대학원|graduate school
2급 문법 1과 8항 2단어|열심히|diligently
2급 문법 1과 8항 3단어|전공하다|to major in
2급 문법 1과 8항 4단어|신문방송학|journalism and mass communication
2급 문법 1과 8항 5단어|졸업하다|to graduate
2급 문법 1과 9항 1단어|경영학|business administration
2급 문법 1과 9항 2단어|경제학|economics
2급 문법 1과 9항 3단어|교육학|educational studies
2급 문법 1과 9항 4단어|국어국문학|Korean language and literature
2급 문법 1과 9항 5단어|법학|law
2급 문법 1과 9항 6단어|의학|medical science
2급 문법 1과 9항 7단어|컴퓨터공학|computer engineering
2급 문법 1과 9항 8단어|영문학|English literature
2급 문법 1과 9항 9단어|새|new
2급 문법 2과 2항 1단어|잘생기다|to be good-looking
2급 문법 2과 2항 2단어|성격|personality
2급 문법 2과 2항 3단어|착하다|to be good-natured or nice
2급 문법 2과 2항 4단어|도와주다|to help
2급 문법 2과 2항 5단어|연예인|entertainer
2급 문법 2과 3항 10단어|얼굴|face
2급 문법 2과 3항 11단어|입|mouth
2급 문법 2과 3항 12단어|허리|waist
2급 문법 2과 3항 13단어|날씬하다|to be slim
2급 문법 2과 3항 14단어|어리다|to be young
2급 문법 2과 3항 15단어|똑똑하다|to be smart
2급 문법 2과 3항 1단어|귀|ear
2급 문법 2과 3항 2단어|목소리|voice
2급 문법 2과 3항 3단어|발|foot
2급 문법 2과 3항 4단어|어깨|shoulder
2급 문법 2과 3항 5단어|이마|forehead
2급 문법 2과 3항 6단어|코|nose
2급 문법 2과 3항 7단어|마음|heart
2급 문법 2과 3항 8단어|무릎|knee
2급 문법 2과 3항 9단어|손|hand
2급 문법 2과 8항 1단어|친척|relatives
2급 문법 2과 8항 2단어|조카|niece
2급 문법 2과 8항 3단어|이모|aunt on the mother's side
2급 문법 2과 8항 4단어|시청|city hall
2급 문법 2과 8항 5단어|공무원|public service worker
2급 문법 2과 9항 10단어|어리다|to be young
2급 문법 2과 9항 1단어|고모|aunt on the father's side
2급 문법 2과 9항 2단어|고모부|uncle (husband of my aunt on the father's side)
2급 문법 2과 9항 3단어|큰아버지|uncle (father's older brother)
2급 문법 2과 9항 4단어|큰어머니|aunt (wife of one's father's older brother)
2급 문법 2과 9항 5단어|외삼촌|uncle (brother of one's mother)
2급 문법 2과 9항 6단어|외숙모|aunt (wife of one's mother's brother)
2급 문법 2과 9항 7단어|외할아버지|grandfather of one's mother's side
2급 문법 2과 9항 8단어|외할머니|grandmother of one's mother's side
2급 문법 2과 9항 9단어|이모부|uncle (husband of one's mother's sister)
2급 문법 3과 2항 1단어|다녀오다|to go and return
2급 문법 3과 2항 2단어|남해|Southern Sea
2급 문법 3과 2항 3단어|섬|island
2급 문법 3과 2항 4단어|푸르다|to be blue
2급 문법 3과 2항 5단어|구경거리|tourist attraction
2급 문법 3과 3항 10단어|한라산|Halla Mountain
2급 문법 3과 3항 11단어|해변|seashore or beach
2급 문법 3과 3항 12단어|해산물|seafood
2급 문법 3과 3항 13단어|신선하다|to be fresh
2급 문법 3과 3항 14단어|편리하다|to be convenient
2급 문법 3과 3항 1단어|거리|road or street
2급 문법 3과 3항 2단어|동해|East Sea
2급 문법 3과 3항 3단어|빌딩|building
2급 문법 3과 3항 4단어|숲|forest
2급 문법 3과 3항 5단어|도시|city
2급 문법 3과 3항 6단어|롤러코스터|roller coaster
2급 문법 3과 3항 7단어|서해|West Sea
2급 문법 3과 3항 8단어|시골|countryside
2급 문법 3과 3항 9단어|온천|hot spring or spa
2급 문법 3과 8항 1단어|유명하다|to be famous
2급 문법 3과 8항 2단어|관광지|tourist destination
2급 문법 3과 8항 3단어|별로|not really
2급 문법 3과 8항 4단어|그립다|to miss or long for
2급 문법 3과 8항 5단어|오래되다|to be a long time
2급 문법 3과 9항 1단어|기쁘다|to be joyful
2급 문법 3과 9항 2단어|부끄럽다|to feel shameful or embarrassed
2급 문법 3과 9항 3단어|부럽다|to be envious
2급 문법 3과 9항 4단어|불안하다|to be anxious
2급 문법 3과 9항 5단어|외롭다|to be lonely
2급 문법 3과 9항 6단어|행복하다|to be happy
2급 문법 3과 9항 7단어|화가 나다|to be angry
2급 문법 4과 2항 1단어|이사하다|to move
2급 문법 4과 2항 2단어|알아보다|to search or look into
2급 문법 4과 2항 3단어|불편하다|to be inconvenient or uncomfortable
2급 문법 4과 2항 4단어|룸메이트|roommate
2급 문법 4과 2항 5단어|동네|neighborhood
2급 문법 4과 3항 10단어|계약하다|to make a contract
2급 문법 4과 3항 11단어|정리하다|to organize
2급 문법 4과 3항 1단어|미용실|hair salon
2급 문법 4과 3항 2단어|약도|map
2급 문법 4과 3항 3단어|분식집|snack shop
2급 문법 4과 3항 4단어|이삿짐|goods to be moved
2급 문법 4과 3항 5단어|이삿짐센터|moving company
2급 문법 4과 3항 6단어|주유소|gas station
2급 문법 4과 3항 7단어|찜질방|jjimjilbang
2급 문법 4과 3항 8단어|싸다|to be cheap
2급 문법 4과 3항 9단어|짐|goods or luggage
2급 문법 4과 8항 1단어|거의|almost or mostly
2급 문법 4과 8항 2단어|새로|newly
2급 문법 4과 8항 3단어|주변|the surroundings
2급 문법 4과 8항 4단어|욕실|bathroom
2급 문법 4과 8항 5단어|세탁기|washing machine
2급 문법 4과 8항 6단어|베란다|veranda
2급 문법 4과 8항 7단어|놓다|to put or place
2급 문법 4과 9항 10단어|걸다|to hang
2급 문법 4과 9항 1단어|거실|living room
2급 문법 4과 9항 2단어|부엌|kitchen
2급 문법 4과 9항 3단어|소파|sofa
2급 문법 4과 9항 4단어|식탁|table
2급 문법 4과 9항 5단어|벽|wall
2급 문법 4과 9항 6단어|서재|a study or library
2급 문법 4과 9항 7단어|수건|towel
2급 문법 4과 9항 8단어|옷장|closet
2급 문법 4과 9항 9단어|현관|entrance or front door
2급 문법 5과 2항 1단어|갈비찜|galbi-jjim(braised short ribs)
2급 문법 5과 2항 2단어|소고기|beef
2급 문법 5과 2항 3단어|명절|holiday
2급 문법 5과 2항 4단어|양념하다|to season or flavor
2급 문법 5과 2항 5단어|접시|plate
2급 문법 5과 2항 6단어|덜다|to put
2급 문법 5과 3항 10단어|식초|vinegar
2급 문법 5과 3항 11단어|인사동|Insa-dong
2급 문법 5과 3항 12단어|깎다|to cut
2급 문법 5과 3항 13단어|넣다|to put in or add
2급 문법 5과 3항 14단어|말다|to roll
2급 문법 5과 3항 15단어|비비다|to mix
2급 문법 5과 3항 16단어|섞다|to mix or blend
2급 문법 5과 3항 17단어|찍다|to dip
2급 문법 5과 3항 18단어|뿌리다|to sprinkle
2급 문법 5과 3항 1단어|고추장|gochujang (red pepper paste)
2급 문법 5과 3항 2단어|된장|doenjang (fermented soybean paste)
2급 문법 5과 3항 3단어|방법|method
2급 문법 5과 3항 4단어|삼성역|Samseong subway station
2급 문법 5과 3항 5단어|설탕|sugar
2급 문법 5과 3항 6단어|소금|salt
