Index|Korean|English
2급 읽이 1과 1항 1단어|잡지사|magazine company
2급 읽이 1과 1항 2단어|방송국|broadcasting station
2급 읽이 1과 1항 3단어|항공사|airline company
2급 읽이 1과 1항 4단어|무역회사|trade company
2급 읽이 1과 1항 5단어|스튜어디스|flight attendant
2급 읽이 1과 1항 6단어|지내다|to spend one's time
2급 읽이 1과 1항 7단어|처음|first
2급 읽이 1과 1항 8단어|즐겁다|to be happy or enjoyable
2급 읽이 1과 1항 9단어|열심히|diligently
2급 읽이 1과 1항 10단어|익숙하다|to be used to
2급 읽이 1과 1항 11단어|건강하다|to be healthy
2급 읽이 1과 1항 12단어|곧|soon
2급 읽이 1과 1항 13단어|연휴|consecutive holidays
2급 읽이 1과 1항 14단어|다녀오다|to go and then come back
2급 읽이 1과 1항 15단어|오랜만|after a long time
2급 읽이 1과 1항 16단어|다니다|to attend
2급 읽이 1과 1항 17단어|걱정|worry
2급 읽이 1과 1항 18단어|글|text
2급 읽이 1과 1항 19단어|편지|letter
2급 읽이 1과 1항 20단어|잊어버리다|to forget
2급 읽이 1과 1항 21단어|일기|journal
2급 읽이 1과 1항 22단어|메모|memo
2급 읽이 1과 2항 1단어|의학|medical science
2급 읽이 1과 2항 2단어|경제학|economics
2급 읽이 1과 2항 3단어|국어국문학|Korean language and literature
2급 읽이 1과 2항 4단어|천문우주학|astronomy
2급 읽이 1과 2항 5단어|돕다|to help
2급 읽이 1과 2항 6단어|별|star
2급 읽이 1과 2항 7단어|고등학교|senior high school
2급 읽이 1과 2항 8단어|졸업하다|to graduate
2급 읽이 1과 2항 9단어|신문방송학|journalism and mass communication
2급 읽이 1과 2항 10단어|전공|major
2급 읽이 1과 2항 11단어|컴퓨터공학|computer engineering
2급 읽이 1과 2항 12단어|교수|professor
2급 읽이 1과 2항 13단어|경영학|business administration
2급 읽이 1과 2항 14단어|멋있다|to be fashionable or cool
2급 읽이 1과 2항 15단어|소개|introduction
2급 읽이 1과 2항 16단어|자기소개서|personal statement
2급 읽이 1과 2항 17단어|필요하다|to need
2급 읽이 1과 2항 18단어|및|and
2급 읽이 1과 2항 19단어|학습|learning or study
2급 읽이 1과 2항 20단어|아시아|Asia
2급 읽이 1과 2항 21단어|관심|interest
2급 읽이 1과 2항 22단어|자세히|in detail
2급 읽이 1과 2항 23단어|입학하다|to enter a school
2급 읽이 1과 2항 24단어|이해하다|to understand
