Index|Korean|English|Frequency
2급 문법 15과 2항 14단어|늘|always|0.510070815306535
2급 문법 11과 1항 20단어|안전선|safety line|3.66010963633677
2급 문법 19과 1항 6단어|그렇게|like that|3.95588760527015
2급 읽이 18과 2항 2단어|유학하다|to study abroad|11.2226624380481
2급 읽이 10과 2항 6단어|아|ah|12
2급 문법 5과 8항 8단어|보다|to see (whether it is properly seasoned) (간을 보다 means to taste something to see how it is seasoned)|13
2급 문법 11과 1항 9단어|노약자석|seats for the elderly|13.0309095367959
2급 읽이 17과 2항 14단어|펜팔|penpal|14.820173672493
2급 문법 7과 9항 15단어|이렇다|to be like this|17
2급 읽이 10과 2항 4단어|어|uh|21
2급 문법 7과 9항 10단어|그렇다|to be like that|23
2급 문법 7과 9항 13단어|어떻다|how (it) is|31
2급 읽이 12과 2항 9단어|휴학하다|to take time off from school|39.8455129495837
2급 읽이 7과 2항 3단어|맞다|to fit|40
2급 읽이 12과 1항 8단어|학생증|student ID|43.2710848883858
2급 문법 20과 1항 3단어|그냥|just|45
2급 읽이 5과 2항 17단어|두부|tofu|47.6811634963044
2급 문법 11과 1항 1단어|이태원역|Itaewon Station|48.1229030012238
2급 읽이 8과 1항 15단어|다들|everyone|48.240296836406
2급 읽이 17과 1항 15단어|등|etc.|51
2급 문법 6과 9항 9단어|여성복|women's clothing|54.138456509957
2급 문법 13과 1항 17단어|(돈을) 찾다|to withdraw (money)|57.1324166121932
2급 문법 13과 2항 8단어|국제특급|Express Mail Service|63.4715081689398
2급 읽이 1과 2항 9단어|신문방송학|journalism and mass communication|67.6255548531939
2급 읽이 7과 2항 14단어|홈쇼핑|home shopping|68.6345921552221
2급 읽이 6과 1항 9단어|여러분|all of you; ladies and gentlemen|73
2급 문법 9과 9항 5단어|여든|eighty|73.6590444995198
2급 문법 6과 3항 9단어|소리|sound|76
2급 읽이 16과 1항 17단어|콧물이 나다|to have a runny nose|78.0321183546573
2급 문법 15과 2항 12단어|배달시키다|to order for delivery|78.1964440490906
2급 읽이 4과 1항 15단어|마음에 들다|to like|79.2998688296145
2급 문법 16과 2항 10단어|두통약|headache medicine|79.9500291517929
2급 문법 2과 3항 7단어|마음|heart|80
2급 문법 19과 1항 9단어|교통편|transportation|86.9987671053667
2급 읽이 1과 1항 7단어|처음|first|89
2급 문법 20과 2항 12단어|걸레질하다|to wipe with a damp cloth|89.404688108628
