Index|Word|Definition|Frequency|Example|Translation|Word In Sentence Form|Grammar Notes|Stem Unchanged|Irregular Change|Action/Descriptive Distinction|Second Irregular|Random|IDK
I001|어떻다|how|9|어떤 음식을 좋아해요?|What kind of food do you like?|어떤|Uses -ㄴ ending with irregular form: 어떻- becomes 어떤- (descriptive verb)|0|1|0|0|0.383150388137437|9.95787597034359
I002|알다|to know|9|그 이야기를 들은 지 일주일 됐어요.|It has been one week since I heard that story.|은|ㄹ irregular: 알- becomes 아- before consonant endings like -ㄴ|0|1|1|0|0.818368685781024|11.0459217144526
I003|크다|to be big|8|방이 크고 깨끗해요.|The room is large and clean.|크고|Uses -고 ending with regular stem 크- (descriptive verb)|1|0|0|0|0.399290689616464|8.99822672404116
I004|쓰다|to write/use|8|편지를 써서 친구에게 보냈어요.|I wrote a letter and sent it to my friend.|써서|ㅡ irregular: 쓰- becomes 써- before vowel ending -어|0|1|1|0|0.18642590532545|8.46606476331363
I005|이렇다|to be like this|8|일이 이래서 걱정돼요.|I'm worried because things are like this.|이래서|ㅎ irregular: 이렇- becomes 이래- before vowel ending -어 (descriptive verb distinction)|0|1|1|0|0.743624842143618|9.85906210535904
I006|살다|to live|8|저는 기숙사에 사는데 방이 크고 깨끗해요.|I live in the dormitory and my room is large and clean.|사는데|Uses -는데 ending showing continuous action (action verb distinction)|1|0|1|0|0.935342433745973|10.3383560843649
I007|듣다|to listen|8|제가 좋아하는 가수의 노래를 한번 들어 보세요.|Try listening to a song by a singer that I like.|들어|Uses -어 보다 ending with regular stem 듣- (action verb)|1|0|1|0|0.103146605542861|8.25786651385715
I008|바쁘다|to be busy|8|흐엉 씨는 아르바이트를 시작해서 좀 바빠졌어요.|Huang has become somewhat busier since she started her part-time job.|바빠졌어요|ㅡ irregular with -어지다: 바쁘- becomes 바빠- (descriptive verb distinction)|0|1|1|0|0.0138500231551006|8.03462505788775
I009|예쁘다|to be pretty|8|더 예뻐졌어요.|She has become prettier.|예뻐졌어요|ㅡ irregular with -어지다: 예쁘- becomes 예뻐- (descriptive verb)|0|1|0|0|0.322785080526955|8.80696270131739
I010|모르다|to not know|9|그 사람이 누구인지 몰라요.|I don't know who that person is.|몰라요|Uses present tense with regular stem 모르-|1|0|0|0|0.73900699953083|10.8475174988271
I011|크다|to be big|8|집이 커져서 좋아요.|It's good that the house has gotten bigger.|커져서|ㅡ irregular with -어지다: 크- becomes 커- (descriptive verb distinction)|0|1|1|0|0.532835647347383|9.33208911836846
I012|그렇다|to be like that|9|일이 그래서 못 갔어요.|Things were like that so I couldn't go.|그래서|ㅎ irregular: 그렇- becomes 그래- before vowel ending -어 (descriptive verb distinction)|0|1|1|0|0.319058693596162|9.79764673399041
I013|그렇다|to be like that|9|그런 일은 자주 없어요.|Such things don't happen often.|그런|Uses -ㄴ ending with irregular form: 그렇- becomes 그런- (descriptive verb)|0|1|0|0|0.705169801716693|10.7629245042917
I014|알다|to know|9|저는 그 사람을 잘 아네요.|I know that person well.|아네요|Uses -네요 ending with regular stem 알-|1|0|0|0|0.0876084772171453|9.21902119304286
I015|어떻다|how|9|어제 만난 사람은 어땠어요?|How was that person you met yesterday?|어땠어요|ㅎ irregular: 어떻- becomes 어때- before vowel ending -어 (descriptive verb distinction)|0|1|1|0|0.868705002474599|11.1717625061865
I016|아프다|to be sick/hurt|7|머리가 아파서 약을 먹어야겠어요.|My head hurts so I should take some medicine.|아파서|ㅡ irregular: 아프- becomes 아파- before vowel ending -어 (descriptive verb distinction)|0|1|1|0|0.648107463843189|8.62026865960797
I017|묻다|to ask|7|길을 묻려고 했어요.|I tried to ask for directions.|묻려고|Uses -으려고 ending with regular stem 묻-|1|0|0|0|0.629349389695562|8.57337347423891
I018|즐겁다|to be enjoyable|7|파티가 즐겁겠어요.|The party will be enjoyable.|즐겁겠어요|Uses -겠다 ending with regular stem 즐겁- (descriptive verb)|1|0|0|0|0.836498735356145|9.09124683839036
I019|씻다|to wash|7|손을 씻으려고 화장실에 갔어요.|I went to the bathroom to wash my hands.|씻으려고|Uses -으려고 ending with regular stem 씻-|1|0|0|0|0.414838442928158|8.03709610732039
I020|길다|to be long|7|이 길이 아주 길네요.|This road is very long.|길네요|Uses -네요 ending with regular stem 길- (descriptive verb)|1|0|0|0|0.492024514940567|8.23006128735142
I021|닫다|to close|7|문을 닫으려고 해요.|I'm going to close the door.|닫으려고|Uses -으려고 ending with regular stem 닫-|1|0|0|0|0.21319973107893|7.53299932769733
I022|받다|to receive|8|편지를 받아서 기뻤어요.|I was happy because I received a letter.|받아서|Regular conjugation with -어서 (action verb)|0|0|1|0|0.873492490616627|10.1837312265416
I023|열다|to open|7|창문을 열었다가 바람이 많이 불어서 닫았다.|I opened the windows but because the wind was blowing too hard I closed them again.|열었다가|Uses -었다가 ending with regular stem 열-|1|0|0|0|0.135496142902412|7.33874035725603
I024|모르다|to not know|9|답을 몰라서 친구에게 물어봤어요.|I didn't know the answer so I asked my friend.|몰라서|ㅡ pattern: 모르- becomes 몰라- before vowel ending -어|0|1|1|0|0.246311536873691|9.61577884218423
I025|바쁘다|to be busy|8|저는 오늘 바쁘기 때문에 친구를 만날 수 없습니다.|I cannot meet my friend today because I am busy.|바쁘기|Uses -기 때문에 ending with regular stem 바쁘- (descriptive verb)|1|0|0|0|0.439453704399057|9.09863426099764
