Index|Korean|어/아/여|습니다/ㅂ니다|다/ㄴ다/는다|면/으면|English|Frequency|Korean Example Sentence|English Example Sentence Translation
2급 문법 5과 8항 8단어|보다|봐|봅니다|본다|보면|to see (whether it is properly seasoned) (간을 보다 means to taste something to see how it is seasoned)|13|요리할 때 간을 봐야 음식이 맛있어져요.|When cooking, you need to taste for seasoning so the food becomes delicious.
2급 문법 7과 9항 15단어|이렇다|이래|이렇습니다|이렇다|이러면|to be like this|17|날씨가 계속 이렇다면 소풍을 못 갈 것 같아요.|If the weather continues to be like this, I don't think we can go on the picnic.
2급 문법 7과 9항 10단어|그렇다|그래|그렇습니다|그렇다|그러면|to be like that|23|친구가 말한 것이 그렇다면 우리도 일찍 가야겠어요.|If what my friend said is like that, then we should also go early.
2급 문법 7과 9항 13단어|어떻다|어때|어떻습니다|어떻다|어떠면|how (it) is|31|새로 이사한 집이 어떤지 궁금해요.|I'm curious about how the newly moved house is.
2급 읽이 7과 2항 3단어|맞다 1|맞아|맞습니다|맞는다|맞으면|to fit|40|이 신발이 발에 맞는지 신어 볼까요?|Shall I try on these shoes to see if they fit my feet?
2급 문법 7과 9항 5단어|맞다 2|맞아|맞습니다|맞는다|맞으면|to be right or correct|40|선생님이 말씀하신 것이 맞다고 생각해요.|I think what the teacher said is correct.
2급 문법 20과 1항 3단어|그냥|||||just|45|시간이 없어서 그냥 편의점에서 샀어요.|I didn't have time so I just bought it at the convenience store.
2급 읽이 17과 1항 15단어|등|||||etc.|51|과일, 채소 등을 많이 먹어야 건강해져요.|You should eat a lot of fruits, vegetables, etc. to become healthy.
2급 읽이 6과 1항 9단어|여러분|||||all of you; ladies and gentlemen|73|여러분, 오늘 수업을 시작하겠습니다.|Everyone, let's begin today's class.
2급 문법 6과 3항 9단어|소리|||||sound|76|밤에 이상한 소리가 들려서 잠을 못 잤어요.|I couldn't sleep because I heard strange sounds at night.
2급 문법 2과 3항 7단어|마음|||||heart|80|마음이 편해지도록 음악을 들었어요.|I listened to music so my heart would feel at ease.
2급 읽이 1과 1항 7단어|처음|||||first|89|한국에 처음 왔을 때가 생각나요.|I remember when I first came to Korea.
2급 읽이 9과 1항 2단어|저희|||||we|91|저희가 준비한 음식을 드셔 보세요.|Please try the food that we prepared.
2급 읽이 5과 1항 22단어|말다 1|말아|맙니다 |만다|말면|to put into soup or mix with|95|밥을 국에 말아서 먹는 것을 좋아해요.|I like to mix rice into soup and eat it.
2급 문법 5과 3항 14단어|말다 2|말아|맙니다 |만다|말면|to roll|95|김밥을 만들 때 김을 꽉 말아야 해요.|When making gimbap, you need to roll the seaweed tightly.
2급 문법 18과 2항 4단어|정도|||||around|96|한 시간 정도 걸릴 것 같아요.|It will probably take around one hour.
2급 문법 6과 9항 13단어|들다 1|들어|듭니다|든다|들면|to hold|102|무거운 짐을 들고 계단을 올라갔어요.|I went up the stairs holding heavy luggage.
2급 문법 8과 3항 12단어|들다 2|들어|듭니다|든다|들면|to join|102|동아리에 들어가서 많은 친구를 만났어요.|I joined a club and met many friends.
2급 문법 8과 2항 4단어|시작하다|시작해|시작합니다|시작한다|시작하면|to start|103|새 학기가 시작하면 열심히 공부할 거예요.|When the new semester starts, I will study diligently.
2급 문법 20과 1항 1단어|계속|||||continuously|108|비가 계속 와서 소풍을 연기했어요.|The picnic was postponed because it kept raining continuously.
2급 읽이 5과 1항 5단어|넣다|넣어|넣습니다|넣는다|넣으면|to add or put in|109|요리에 소금을 좀 더 넣어 주세요.|Please add a little more salt to the dish.
2급 읽이 17과 2항 17단어|모습|||||appearance|118|할머니의 젊었을 때 모습이 궁금해요.|I'm curious about my grandmother's appearance when she was young.
2급 문법 4과 8항 7단어|놓다|놓아|놓습니다|놓는다|놓으면|to put or place|122|책상 위에 컴퓨터를 놓고 공부했어요.|I put the computer on the desk and studied.
2급 문법 10과 3항 6단어|잡다|잡아|잡습니다|잡는다|잡으면|to grasp or catch|135|넘어질 뻔해서 친구 손을 잡았어요.|I almost fell so I grabbed my friend's hand.
2급 읽이 4과 1항 19단어|중요하다|중요해|중요합니다|중요하다|중요하면|to be important|140|건강이 돈보다 더 중요하다고 생각해요.|I think health is more important than money.
2급 문법 2과 3항 10단어|얼굴|||||face|147|거울을 보면서 얼굴을 씻었어요.|I washed my face while looking in the mirror.
2급 문법 15과 1항 10단어|말 1|||||the end|154|영화가 끝날 말에 감동적인 장면이 나와요.|A touching scene appears at the end of the movie.
2급 문법 9과 3항 3단어|말 2|||||word|154|어려운 말보다 쉬운 말을 사용하세요.|Use simple words rather than difficult words.
2급 읽이 12과 1항 1단어|끝나다|끝나|끝납니다|끝난다|끝나면|to finish|155|숙제가 끝나면 친구와 놀 거예요.|When my homework is finished, I will play with my friend.
2급 문법 2과 3항 9단어|손|||||hand|156|찬물에 손을 넣었더니 너무 차가웠어요.|When I put my hand in cold water, it was very cold.
2급 읽이 16과 1항 1단어|속|||||inside or stomach|157|가방 속에서 열쇠를 찾을 수 없었어요.|I couldn't find the keys inside my bag.
2급 문법 15과 2항 2단어|이상 1|||||something wrong|158|컴퓨터에 이상이 생겨서 수리를 맡겼어요.|Something went wrong with my computer so I had it repaired.
2급 문법 16과 2항 14단어|이상 2|||||the above|158|위에서 말한 이상의 내용은 모두 중요해요.|All the content mentioned above is important.
2급 읽이 13과 2항 12단어|이상 3|||||past or above|158|한 시간 이상 기다렸지만 친구가 오지 않았어요.|I waited for more than an hour but my friend didn't come.
2급 문법 15과 1항 9단어|마지막|||||last|159|마지막 기회니까 열심히 해 보세요.|It's the last chance so please try your best.
2급 문법 11과 1항 18단어|줄|||||line|160|지하철역에서 표를 사려고 줄을 섰어요.|I stood in line to buy tickets at the subway station.
2급 문법 20과 1항 15단어|영상 1|||||video|161|유튜브에서 재미있는 영상을 봤어요.|I watched an interesting video on YouTube.
2급 읽이 20과 1항 19단어|영상 2|||||above zero degrees|161|내일 기온이 영상으로 올라갈 예정이에요.|The temperature is expected to rise above zero tomorrow.
2급 읽이 14과 2항 9단어|꼭|||||surely|163|약속 시간에 꼭 와야 해요.|You must surely come at the appointment time.
2급 읽이 5과 1항 6단어|찍다|찍어|찍습니다|찍는다|찍으면|to dip|168|과자를 커피에 찍어서 먹어 봤어요.|I tried dipping cookies in coffee and eating them.
2급 읽이 7과 2항 17단어|올리다 1|올려|올립니다|올린다|올리면|to place on top of something|170|책상 위에 꽃병을 올려 놓았어요.|I placed a flower vase on top of the desk.
2급 문법 17과 2항 19단어|올리다 2|올려|올립니다|올린다|올리면|to raise or lift up|170|무거운 상자를 높은 곳에 올렸어요.|I lifted the heavy box to a high place.
2급 읽이 8과 2항 11단어|끝|||||end|171|길의 끝에서 친구가 기다리고 있었어요.|My friend was waiting at the end of the road.
2급 읽이 10과 2항 2단어|저기|||||excuse me|180|저기, 실례합니다만 길 좀 물어봐도 될까요?|Excuse me, may I ask for directions?
2급 문법 7과 8항 6단어|첫|||||first|190|첫 인상이 정말 중요하다고 들었어요.|I heard that first impressions are really important.
2급 읽이 9과 2항 12단어|갑자기|||||suddenly or unexpectedly|195|갑자기 비가 내려서 우산을 샀어요.|It suddenly started raining so I bought an umbrella.
2급 문법 5과 9항 25단어|버리다|버려|버립니다|버린다|버리면|to throw away|196|쓰지 않는 옷을 버리려고 해요.|I'm planning to throw away clothes I don't wear.
2급 문법 13과 2항 19단어|높다|높아|높습니다|높다|높으면|to be high or tall|200|이 건물은 너무 높아서 올라가기 힘들어요.|This building is so high that it's difficult to go up.
2급 문법 15과 2항 15단어|아까|||||a short while ago|202|아까 전화하신 분이 다시 연락 드릴 거예요.|The person who called a short while ago will contact you again.
2급 읽이 5과 2항 16단어|방법|||||method|203|한국어를 빨리 배우는 방법을 알고 싶어요.|I want to know a method for learning Korean quickly.
2급 읽이 3과 2항 13단어|세계|||||world|205|전 세계에서 온 친구들을 만났어요.|I met friends from all over the world.
2급 문법 11과 1항 5단어|쪽|||||direction|210|학교 쪽으로 걸어가고 있었어요.|I was walking in the direction of the school.
2급 읽이 17과 1항 3단어|웃다|웃어|웃습니다|웃는다|웃으면|to laugh|216|재미있는 이야기를 들으면 웃게 돼요.|When I hear funny stories, I end up laughing.
2급 읽이 17과 1항 17단어|이후|||||after|217|졸업 이후에 취직 준비를 할 거예요.|After graduation, I will prepare for finding a job.
2급 읽이 4과 2항 14단어|사용하다|사용해|사용합니다|사용한다|사용하면|to use|224|새로운 앱을 사용해 보고 싶어요.|I want to try using a new app.
2급 읽이 5과 1항 12단어|직접|||||directly or personally|232|직접 만나서 이야기하는 것이 좋겠어요.|It would be better to meet directly and talk.
2급 문법 11과 1항 22단어|내다 1|내|냅니다|낸다|내면|to pay|236|카페에서 계산을 내고 나왔어요.|I paid the bill at the cafe and came out.
2급 문법 12과 2항 4단어|내다 2|내|냅니다|낸다|내면|to turn in|236|숙제를 선생님께 내야 해요.|I need to turn in my homework to the teacher.
2급 읽이 17과 1항 4단어|세상|||||world|246|이 세상에는 좋은 사람들이 많아요.|There are many good people in this world.
2급 문법 15과 2항 10단어|현재|||||present|247|현재 상황을 정확히 파악해야 해요.|We need to accurately understand the present situation.
2급 읽이 9과 1항 7단어|너희|||||you|248|너희는 언제 집에 갈 거야?|When are you going home?
2급 읽이 13과 2항 18단어|하루|||||one day|249|하루에 세 번 약을 먹어야 해요.|You need to take medicine three times a day.
2급 읽이 1과 2항 17단어|필요하다|필요해|필요합니다|필요하다|필요하면|to need|254|여행갈 때 여권이 필요해요.|You need a passport when traveling.
2급 문법 18과 1항 5단어|밤|||||night|261|밤에 공부하면 집중이 잘 돼요.|I can concentrate well when studying at night.
2급 읽이 6과 1항 12단어|특히|||||especially|262|한국 음식 중에서 특히 김치를 좋아해요.|Among Korean foods, I especially like kimchi.
2급 문법 2과 3항 2단어|목소리|||||voice|264|감기에 걸려서 목소리가 이상해요.|My voice is strange because I caught a cold.
2급 읽이 2과 1항 7단어|귀엽다|귀여워|귀엽습니다|귀엽다|귀여우면|to be cute|270|새로 태어난 아기가 정말 귀여워요.|The newborn baby is really cute.
2급 읽이 16과 2항 18단어|어린이|||||child|272|어린이들이 공원에서 즐겁게 놀고 있어요.|The children are playing happily in the park.
2급 읽이 10과 2항 3단어|음|||||um|277|음... 그 문제는 좀 어려워 보이네요.|Um... that problem looks a bit difficult.
2급 문법 9과 8항 3단어|후|||||after|279|식사 후에 커피를 마시는 습관이 있어요.|I have a habit of drinking coffee after meals.
2급 읽이 9과 2항 11단어|지키다|지켜|지킵니다|지킨다|지키면|to keep|284|약속 시간을 잘 지키는 사람이에요.|He's a person who keeps appointment times well.
2급 읽이 1과 1항 16단어|다니다|다녀|다닙니다|다닌다|다니면|to attend|285|대학교에 다니면서 아르바이트도 해요.|I work part-time while attending university.
2급 읽이 1과 1항 9단어|열심히|||||diligently|291|시험을 위해 열심히 공부하고 있어요.|I'm studying diligently for the exam.
2급 문법 14과 2항 11단어|확인하다|확인해|확인합니다|확인한다|확인하면|to confirm|292|예약을 확인하고 싶은데요.|I'd like to confirm my reservation.
2급 문법 13과 1항 5단어|잠시|||||a little while or moment|302|잠시만 기다려 주세요.|Please wait for just a moment.
2급 문법 6과 8항 3단어|항상|||||always|309|운동 후에는 항상 물을 마셔요.|I always drink water after exercising.
2급 읽이 7과 2항 2단어|비슷하다|비슷해|비슷합니다|비슷하다|비슷하면|to be similar|311|우리 취미가 비슷해서 대화가 잘 돼요.|Our hobbies are similar so we have good conversations.
2급 문법 15과 1항 6단어|남다|남아|남습니다|남는다|남으면|to remain|312|음식이 많이 남아서 냉장고에 넣었어요.|A lot of food remained so I put it in the refrigerator.
2급 읽이 13과 2항 13단어|가격|||||price|315|이 가방의 가격이 얼마인지 물어봤어요.|I asked how much the price of this bag is.
2급 읽이 9과 1항 14단어|원하다|원해|원합니다|원한다|원하면|to want|334|새로운 경험을 원하는 마음이 커요.|My desire to want new experiences is growing.
2급 읽이 7과 2항 19단어|넘다|넘어|넘습니다|넘는다|넘으면|to go over or exceed|335|예상보다 시간이 넘어서 늦었어요.|I was late because it went over the expected time.
2급 읽이 15과 1항 14단어|알리다|알려|알립니다|알린다|알리면|to let know or inform|338|중요한 소식을 친구들에게 알렸어요.|I informed my friends of the important news.
2급 문법 10과 3항 4단어|늘다|늘어|늡니다|는다|늘면|to increase or improve|340|한국어 실력이 점점 늘고 있어요.|My Korean skills are gradually improving.
