Index|Word|Definition|Frequency|Example|Translation|Word In Sentence Form
W210001|좋다|to be fun or be happy|10|오늘 날씨가 좋네요.|The weather is good today.|좋네요
W210002|사용하다|to use|10|컴퓨터를 사용해 봤어요?|Have you ever used a computer?|사용해
W210003|손|hand|10|손을 깨끗하게 씻으세요.|Please wash your hands clean.|손
W210004|필요하다|to need|10|저는 새 가방이 필요해요.|I need a new bag.|필요해요
W210005|쓰다|to use|10|연필을 써도 돼요?|May I use a pencil?|써도
W210006|중요하다|to be important|10|건강이 가장 중요해요.|Health is most important.|중요해요
W210007|직장|job|9|직장을 구하는 중이에요.|I'm in the middle of looking for a job.|직장
W210008|어|uh|9|어... 잠깐만요.|Uh... wait a moment.|어
W210009|놓다|to place or put|9|책을 책상에 놓았어요.|I put the book on the desk.|놓았어요
W210010|이렇다|to be like this|9|이렇게 하면 돼요.|You can do it like this.|이렇게
W210011|사실|fact|9|사실을 말해 주세요.|Please tell me the facts.|사실
W210012|아/야|used after a name when being called|9|윤아야, 어디에 가?|Yuna, where are you going?|야
W210013|방법|method|9|좋은 방법이 있을까요?|Is there a good method?|방법
W210014|아|ah|9|아, 그렇구나!|Ah, I see!|아
W210015|부엌|kitchen|9|부엌에서 요리하고 있어요.|I'm cooking in the kitchen.|부엌
W210016|걱정|worry|9|걱정하지 마세요.|Don't worry.|걱정
W210017|매우|very or excessively|9|매우 맛있었어요.|It was very delicious.|매우
W210018|지나다|to pass|9|시간이 빨리 지나가요.|Time passes quickly.|지나가요
W210019|그래|yes|9|그래, 맞아요.|Yes, that's right.|그래
W210020|바로|right|9|바로 여기예요.|It's right here.|바로
W210021|넣다|to add or put in|9|소금을 조금 넣으세요.|Please add a little salt.|넣으세요
W210022|팔다|to sell|9|이 가게에서 옷을 팔아요.|This store sells clothes.|팔아요
W210023|그렇다|to be like that|9|그렇게 생각해요.|I think so.|그렇게
W210024|행복하다|to be happy|9|결혼해서 행복해요.|I'm happy because I got married.|행복해요
W210025|이렇게|like this|9|이렇게 만들면 돼요.|You can make it like this.|이렇게
W210026|소금|salt|9|국에 소금을 넣었어요.|I put salt in the soup.|소금
W210027|음|um|9|음... 어려운 문제네요.|Um... it's a difficult problem.|음
W210028|항상|always|9|항상 고마워요.|Thank you always.|항상
W210029|세계|world|9|세계 여행을 하고 싶어요.|I want to travel the world.|세계
W210030|귀|ear|9|귀가 아파요.|My ear hurts.|귀
W210031|마음|heart or mind|9|마음이 따뜻한 사람이에요.|He's a warm-hearted person.|마음
W210032|고기|meat|9|고기를 구워 먹었어요.|I grilled and ate meat.|고기
W210033|이미|already|9|이미 끝났어요.|It's already finished.|이미
W210034|말|word|9|좋은 말을 해 주세요.|Please say nice words.|말
W210035|마지막|last|9|마지막 기회예요.|It's the last chance.|마지막
W210036|시작하다|to start|9|수업이 시작됐어요.|Class has started.|시작됐어요
W210037|끝|end|9|영화의 끝이 슬펐어요.|The end of the movie was sad.|끝
W210038|도움|help|9|도움이 필요하면 말하세요.|Tell me if you need help.|도움
W210039|문제|problem|9|문제가 생겼어요.|A problem occurred.|문제
W210040|어떻다|how (it) is|9|음식이 어때요?|How's the food?|어때요
W210041|거의|almost or mostly|9|거의 다 끝났어요.|It's almost finished.|거의
W210042|도시|city|9|큰 도시에서 살아요.|I live in a big city.|도시
W210043|물론|of course or undoubtedly|9|물론 도와드릴게요.|Of course I'll help you.|물론
W210044|두다|to put or place|9|가방을 여기에 두세요.|Please put your bag here.|두세요
W210045|코|nose|9|코가 막혀서 답답해요.|My nose is stuffy and I feel stuffy.|코
W210046|새|new|9|새 신발을 샀어요.|I bought new shoes.|새
W210047|맞다|to fit|9|사이즈가 맞나요?|Does the size fit?|맞나요
W210048|맞다|to be right or correct|9|답이 맞아요.|The answer is correct.|맞아요
W210049|소리|sound|9|이상한 소리가 들려요.|I hear a strange sound.|소리
W210050|원하다|to want|9|뭘 원하세요?|What do you want?|원하세요
W210051|건강하다|to be healthy|9|건강해 보이네요.|You look healthy.|건강해
W210052|가장|most or extremely|9|가장 좋아하는 음식이에요.|It's my favorite food.|가장
W210053|몸|body|9|몸이 안 좋아요.|I don't feel well.|몸
W210054|버리다|to throw away|9|쓰레기를 버렸어요.|I threw away the trash.|버렸어요
W210055|얼굴|face|9|얼굴이 예뻐요.|Your face is pretty.|얼굴
W210056|힘들다|to be difficult|9|일이 너무 힘들어요.|Work is too difficult.|힘들어요
W210057|보다|to see (whether it is properly seasoned)|9|간을 봐 주세요.|Please taste it to check the seasoning.|봐
W210058|도와주다|to help|9|숙제를 도와줄게요.|I'll help you with homework.|도와줄게요
W210059|발|foot|9|발이 아파서 걷기 힘들어요.|It's hard to walk because my foot hurts.|발
W210060|들다|to hold|9|무거운 짐을 들고 있어요.|I'm holding heavy luggage.|들고
W210061|이유|reason|9|이유를 말해 주세요.|Please tell me the reason.|이유
W210062|나중에|later|9|나중에 전화할게요.|I'll call you later.|나중에
W210063|돕다|to help|9|친구를 도와야겠어요.|I should help my friend.|도와야겠어요
W210064|입|mouth|9|입을 크게 벌리세요.|Please open your mouth wide.|입
W210065|거리|road or street|9|이 거리가 참 예뻐요.|This street is really pretty.|거리
W210066|싸다|to be cheap|9|이 가게가 싸요.|This store is cheap.|싸요
