Index|Unit|Part|Point|Grammar Point|Grammar Point In Context|Korean|English|Grammar Notes
220100|11|1|1|-다가|다가|형이 책을 읽다가 전화를 받았습니다.|My brother was reading a book and then answered the phone.|This is used with an action verb to show how a continuous action or state has stopped and has changed to another action or state.
220101|11|1|1|-다가|다가|저는 기숙사에 살다가 하숙집으로 이사했어요.|I was living in the dorms but moved to a boardinghouse.|This is used with an action verb to show how a continuous action or state has stopped and has changed to another action or state.
220102|11|1|1|-다가|다가|친구가 극장에서 영화를 보다가 갑자기 나갔어.|My friend was watching a movie in the theater but suddenly left.|This is used with an action verb to show how a continuous action or state has stopped and has changed to another action or state.
220103|11|1|1|-다가|다가|엄마, 숙제를 다 하고 친구 집에 가서 놀다가 와도 돼요?|Mom, once I'm finished with my homework, may I go and play at my friend's house and come home?|This is used with an action verb to show how a continuous action or state has stopped and has changed to another action or state.
220104|11|1|1|-다가|다가|가: 어제 숙제를 다 하고 잤어요? / 나: 아니요, 숙제를 하다가 피곤해서 잤어요.|A: Did you finish all your homework before sleeping last night? / B: No, I was doing my homework but went to sleep because I was so tired.|This is used with an action verb to show how a continuous action or state has stopped and has changed to another action or state.
220105|11|1|1|-다가|다가|가: 인천에 어떻게 가는지 알아? / 나: 응, 알아. 2호선을 타고 가다가 시청역에서 1호선으로 갈아타.|A: Do you know how to get to Incheon? / B: Yes, I do. You ride subway line 2 and then transfer to Line 1 at City Hall Station.|This is used with an action verb to show how a continuous action or state has stopped and has changed to another action or state.
220106|11|1|2|으로/로|으로|학교 근처에 있는 은행에서 중국 돈을 한국 돈으로 바꾸었어요.|I exchanged Chinese money into Korean money at a bank near school.|This is used with a noun to show the result or object of an action's change.
220107|11|1|2|으로/로|로|치마를 입었다가 불편해서 바지로 갈아입었어요.|I was wearing a skirt but changed into pants because it was uncomfortable.|This is used with a noun to show the result or object of an action's change.
220108|11|1|2|으로/로|로|버스를 타고 가다가 강남역에서 지하철로 갈아탔어요.|I was riding on a bus and transferred to the subway at Gangnam Station.|This is used with a noun to show the result or object of an action's change.
220109|11|1|2|으로/로|로|저는 물냉면으로 하겠습니다.|I'll decide on mul-naengmyeon.|This is used with a noun to show the result or object of an action's change.
