Index|Word|Frequency|Definition|Example|Translation|Word In Sentence Form
2급 1문법 10과 2항 1|저|209|excuse me|저, 언제까지 문이 여는지 아세요?|Excuse me, Do you know until what time it's open?|저
2급 1문법 10과 2항 2|퇴근하다|3002|to leave one’s office or get off from work|서류를 전한 후에 퇴근할게요.|I’ll leave work after submitting the documents. |
2급 1문법 10과 2항 3|서류|2081|document|언제 서류들이 준비되는지 몰라요?|Don’t you know when the documents will be ready? |
2급 1문법 10과 2항 4|전하다|361|to deliver or hand over|서류를 이미 전합니다만 벌써 너무 늦어서 다음 주에 읽습니다.|I already submitted the documents, but it’s already too late, so they will be read next week. |
2급 1문법 10과 2항 5|이미||already|왜 또 얘기해? 이미 100번 들었어~!|Why are you saying it again? I’ve already heard it 100 times~! |
2급 1문법 10과 2항 6|부장|1847|head of department or director|자, 내일 부장이 와서 잘 들어요!|Okay, the manager is coming tomorrow, so please pay attention! |
2급 1문법 10과 2항 7|아|13|ah|아! 찾았어!|Ah! I found it!|
2급 1문법 10과 2항 8|음|278|um|음, 모르겠어|Hmm, I don’t know. |
2급 1문법 10과 2항 9|저기|181|excuse me|저기, 제 안경을  보여요?|Excuse me, have you seen my glasses? |
2급 1문법 10과 2항 10|어|22|uh|어, 비가 오고 있어!|Oh, it’s raining! |
2급 1문법 10과 2항 11|자|1412|okay|자, 나중에 이것에 대해서 이야기할 수 있는데 지금 배고파서 같이 먹으려고 식당에 가요.||
2급 1읽기 10과 2항 1|실례하다|3656|commit a breach of etiquette |먼저 가서 실례하겠습니다. |Excuse me for leaving first. |
2급 1읽기 10과 2항 2|신분증|5051||||
2급 1읽기 10과 2항 3|글쎄요|2540||||
2급 1읽기 10과 2항 4|연장하다|5149||||
2급 1읽기 10과 2항 5|출입국 관리 사무소|||||
2급 1읽기 10과 2항 6|서류|2081||||
2급 1읽기 10과 2항 7|체크 카드|||||
2급 1쓰기 10과 2항 1|부탁하다|937||||
2급 1쓰기 10과 2항 2|도와주다|405||||
2급 1쓰기 10과 2항 3|문제|88||||
2급 1쓰기 10과 2항 4|나흘|4380||||
2급 1쓰기 10과 2항 5|빌려주다|2600||||
2급 1쓰기 10과 2항 6|첫인사|||||
2급 1쓰기 10과 2항 7|잃어버리다|1606||||
2급 1쓰기 10과 2항 8|사흘|2293||||
2급 1쓰기 10과 2항 9|바로|||||
2급 1쓰기 10과 2항 10|제목|1183||||
2급 1쓰기 10과 2항 11|부장|1847||||
