Index|Lesson|Unit|Dialogue|Korean|English|Hanja|Explanation|Example|Translation
20001|1|1|Dialogue|오랜만이다|long time no see||long, time|오랜만이에요! 어떻게 지내셨어요?|It's been a long time! How have you been?
20002|1|1|Dialogue|익숙하다|to be used to|慣熟하다|accustom, skill|한국 생활에 익숙해졌어요.|I've gotten used to life in Korea.
20003|1|1|Dialogue|즐겁다|to be fun or happy||enjoy, happy|친구들과 여행해서 즐거웠어요.|It was fun traveling with friends.
20004|1|1|Dialogue|지내다|to spend one's time||pass, spend|방학을 어떻게 지낼 예정이에요?|How are you planning to spend your vacation?
20005|1|1|Dialogue|점점|eventually||gradually|한국어가 점점 늘고 있어요.|My Korean is gradually improving.
20006|1|1|Expanded|광고회사|advertising company|廣告會社|wide, tell, meeting, company|광고회사에서 인턴십을 했어요.|I did an internship at an advertising company.
20007|1|1|Expanded|무역회사|trading company|貿易會社|trade, benefit, meeting, company|아버지는 무역회사에 다니세요.|My father works at a trading company.
20008|1|1|Expanded|방송국|broadcasting station|放送局|release, send, office|방송국에서 일하는 게 꿈이에요.|My dream is to work at a broadcasting station.
20009|1|1|Expanded|신문사|newspaper publishing company|新聞社|new, hear, company|신문사 기자가 되고 싶어요.|I want to become a newspaper reporter.
20010|1|1|Expanded|잡지사|magazine company|雜誌社|miscellaneous, record, company|패션 잡지사에서 근무해요.|I work at a fashion magazine company.
20011|1|1|Expanded|직장|job|職場|job, place|새로운 직장을 찾고 있어요.|I'm looking for a new job.
20012|1|1|Expanded|출판사|publishing company|出版社|out, publish, company|유명한 출판사에서 책을 냈어요.|I published a book with a famous publishing company.
20013|1|1|Expanded|항공사|airline company|航空社|navigate, air, company|어느 항공사를 이용하실 거예요?|Which airline will you use?
20014|1|1|Expanded|건강하다|to be healthy|健康하다|strong, health, do|규칙적인 운동으로 건강해졌어요.|I became healthy through regular exercise.
20015|1|1|Expanded|그만두다|to quit||stop, put|힘든 일이라서 그만두려고 해요.|The work is hard, so I'm thinking of quitting.
20016|1|1|Expanded|다니다|to attend or go||attend, go|어느 대학교에 다니세요?|Which university do you attend?
20017|1|1|Expanded|사귀다|to make friends||associate, become|새로운 친구를 사귀고 싶어요.|I want to make new friends.
20018|1|2|Dialogue|대학원|graduate school|大學院|big, study, institution|대학원에서 석사 과정을 밟고 있어요.|I'm pursuing a master's degree at graduate school.
20019|1|2|Dialogue|신문방송학|journalism and mass communication|新聞放送學|new, hear, release, send, study|신문방송학을 전공하고 있어요.|I'm majoring in journalism and mass communication.
20020|1|2|Dialogue|전공하다|to major in|專攻하다|special, attack, do|무엇을 전공하실 예정이에요?|What are you planning to major in?
20021|1|2|Dialogue|졸업하다|to graduate|卒業하다|finish, work, do|내년에 대학교를 졸업해요.|I'm graduating from university next year.
20022|1|2|Dialogue|열심히|diligently||earnest, mind|열심히 공부해서 장학금을 받았어요.|I received a scholarship by studying diligently.
20023|1|2|Expanded|경영학|business administration|經營學|manage, operate, study|경영학과에 입학했어요.|I entered the business administration department.
20024|1|2|Expanded|경제학|economics|經濟學|manage, help, study|경제학 수업이 흥미로워요.|The economics class is interesting.
20025|1|2|Expanded|교육학|educational studies|敎育學|teach, raise, study|교육학을 공부하면 교사가 될 수 있어요.|You can become a teacher by studying educational studies.
20026|1|2|Expanded|국어국문학|Korean language and literature|國語國文學|country, language, country, writing, study|국어국문학과 학생들이 시를 발표했어요.|Korean language and literature students presented poems.
20027|1|2|Expanded|법학|law|法學|law, study|법학 전공자는 변호사가 될 수 있어요.|Law majors can become lawyers.
20028|1|2|Expanded|영문학|English literature|英文學|English, writing, study|영문학과에서 셰익스피어를 배워요.|We learn Shakespeare in the English literature department.
20029|1|2|Expanded|의학|medical science|醫學|medicine, study|의학을 공부하려면 공부를 많이 해야 해요.|You need to study a lot to pursue medical science.
20030|1|2|Expanded|컴퓨터공학|computer engineering|컴퓨터工學|computer, work, study|컴퓨터공학과는 인기가 많아요.|The computer engineering department is very popular.
20031|1|2|Expanded|새|new||new, fresh|새 학기가 시작되었어요.|The new semester has started.
20032|2|1|Dialogue|성격|personality|性格|nature, character|그 사람은 성격이 좋아요.|That person has a good personality.
20033|2|1|Dialogue|연예인|entertainer|演藝人|perform, art, person|유명한 연예인을 만났어요.|I met a famous entertainer.
20034|2|1|Dialogue|도와주다|to help||help, give|친구가 숙제를 도와줬어요.|My friend helped me with homework.
20035|2|1|Dialogue|잘생기다|to be good-looking||well, born|그 배우는 정말 잘생겼어요.|That actor is really good-looking.
20036|2|1|Dialogue|착하다|to be good-natured or nice||good, kind|우리 강아지는 착해요.|Our dog is well-behaved.
20037|2|1|Expanded|귀|ear||ear|귀에 이어폰을 끼고 있어요.|I'm wearing earphones in my ears.
20038|2|1|Expanded|마음|heart||mind, heart|마음이 아픈 소식을 들었어요.|I heard heartbreaking news.
20039|2|1|Expanded|목소리|voice||neck, sound|목소리가 정말 좋으시네요.|You have a really nice voice.
20040|2|1|Expanded|무릎|knee||knee|무릎이 아파서 병원에 갔어요.|I went to the hospital because my knee hurt.
20041|2|1|Expanded|발|foot||foot|발이 너무 아파요.|My feet hurt so much.
20042|2|1|Expanded|손|hand||hand|손을 깨끗이 씻으세요.|Please wash your hands clean.
20043|2|1|Expanded|어깨|shoulder||shoulder|어깨가 결려서 마사지를 받았어요.|I got a massage because my shoulders were stiff.
20044|2|1|Expanded|얼굴|face||face|얼굴을 씻고 양치질을 했어요.|I washed my face and brushed my teeth.
20045|2|1|Expanded|이마|forehead||forehead|이마에 땀이 많이 났어요.|I sweated a lot on my forehead.
20046|2|1|Expanded|입|mouth||mouth|입에 음식이 많이 들어가 있어요.|There's a lot of food in my mouth.
20047|2|1|Expanded|코|nose||nose|코가 막혀서 숨쉬기 어려워요.|It's hard to breathe because my nose is blocked.
20048|2|1|Expanded|허리|waist||waist|허리가 아파서 앉기 힘들어요.|It's hard to sit because my waist hurts.
20049|2|1|Expanded|날씬하다|to be slim||thin, slim|운동해서 날씬해졌어요.|I became slim through exercise.
20050|2|1|Expanded|똑똑하다|to be smart||smart, clever|그 학생은 정말 똑똑해요.|That student is really smart.
20051|2|2|Dialogue|공무원|public service worker|公務員|public, work, person|공무원 시험을 준비하고 있어요.|I'm preparing for the civil service exam.
20052|2|2|Dialogue|시청|city hall|市廳|city, office|시청에서 서류를 발급받았어요.|I got documents issued at city hall.
20053|2|2|Dialogue|이모|aunt on the mother's side||mother's sister|이모가 선물을 주셨어요.|My aunt gave me a present.
20054|2|2|Dialogue|조카|niece||brother's child|조카가 너무 귀여워요.|My niece is so cute.
20055|2|2|Dialogue|친척|relatives|親戚|relative, relative|추석에 친척들과 만났어요.|I met relatives during Chuseok.
20056|2|2|Expanded|고모|aunt on the father's side||father's sister|고모댁에서 하룻밤 잤어요.|I spent the night at my aunt's house.
20057|2|2|Expanded|고모부|uncle (husband of my aunt on the father's side)||aunt's husband|고모부께서 용돈을 주셨어요.|My uncle gave me allowance.
20058|2|2|Expanded|큰아버지|uncle (father's older brother)||big, father|큰아버지는 사업을 하세요.|My uncle runs a business.
