ID|Grammar Point|Explanation|Korean Sentence 1|English Sentence 1|Korean Sentence 2|English Sentence 2|Korean Sentence 3|English Sentence 3|Korean Sentence 4|English Sentence 4|Korean Sentence 5A|Korean Sentence 5B|English Sentence 5A|English Sentence 5B|Korean Sentence 6A|Korean Sentence 6B|English Sentence 6A|English Sentence 6B
3-1-1|-기는요|To humbly negate or disagree with what someone has said.|일을 다 끝내기는요. 아직 시작도 못했는데요.|I haven't finished all the work. I haven't even begun.|숙제를 안 하기는요. 다 했는데 깜빡 잊고 안 가지고 왔어요.|I have done the homework. I finished it but just forgot to bring it with me.|시험이 쉽기는요. 아는 것보다 모르는 것이 더 많았어요.|The test isn't easy. There were more questions I didn't know the answers to than the ones I did.|한국말을 잘 하기는요. 쉬운 말밖에 못 해요.|I'm not good at Korean. I can only speak simple phrases.|가: 영수씨, 발표 준비는 다 했어요?|나: 다 하기는요. 아직 시작도 못했어요.|A: Yeongsu, are you finished preparing for your presentation?|B: I'm not finished. I haven't even begun.|가: 한국말을 참 잘하시네요.|나: 잘 하기는요. 아직도 모르는 게 많아요.|A: You're so good at Korean.|B: Not at all. There are so many things I still don't know.
3-1-2|-을/ㄹ 뿐이다|To state that something is "only" or "just" the case, with nothing more.|그 사람 이름만 알 뿐이에요. 다른 것은 잘 몰라요.|I only know that person's name. I don't know anything else.|건강이 좋아진 특별한 방법은 없어요. 아침마다 산책을 했을 뿐이에요.|There isn't any secret method to my health improving. All I did was take a walk every morning.|고맙기는요, 시간이 있어서 조금 도왔을 뿐이에요.|No need to thank me. I just helped out because I had some time to spare.|미정 씨는 같은 반 친구일 뿐이에요. 제 여자친구가 아니에요.|Mijeong is just a friend from class. She's not my girlfriend.|가: 영수씨, 얼굴이 안 좋아 보여요. 어디 아프세요?|나: 괜찮아요. 좀 피곤할 뿐이에요.|A: Yeongsu, you don't look well. Are you sick?|B: I'm okay. I'm just tired.|가: 도와주셔서 감사합니다.|나: 감사하기는요. 제가 해야 할 일을 했을 뿐입니다.|A: Thank you for your help.|B: No need for thanks. I just did what I had to do.
3-1-3|-기 위해서|To express the purpose or intent for doing something ("in order to").|저는 세계 여행을 하기 위해서 외국어를 공부해요.|I am learning a foreign language in order to travel the world.|저는 선생님이 되기 위해서 교육학을 전공할 거예요.|I will major in education in order to become a teacher.|제 동생은 중국으로 유학을 가기 위해서 중국어를 공부하고 있어요.|My younger sibling is studying Chinese in order to study abroad in China.|이튼 씨는 친구들을 위해서 고향 음식을 만들었어요.|Ethan made his hometown food for his friends.|가: 우디씨, 왜 그렇게 열심히 공부해요?|나: 공무원 시험에 합격하기 위해서 열심히 공부해요.|A: Woody, why are you studying so hard?|B: I am studying hard in order to pass the civil service examination.|가: 코넨씨, 날마다 이렇게 운동하시는 거예요?|나: 네, 저는 건강을 위해서 날마다 운동을 해요.|A: Conan, do you exercise like this every day?|B: Yes, I exercise every day for my health.
3-1-4|-는/은/ㄴ 편이다|To describe something in relative terms, avoiding a definitive statement ("to be on the relatively... side").|저는 한 달에 다섯 번 이상 극장에 가니까 자주 가는 편이에요.|I go to the theater relatively often, considering that I go five times or more a month.|코리 씨가 노래를 잘 못한다고요? 그 정도면 잘하는 편이에요.|You think Corey doesn't sing well? He sings relatively well.|플릭 씨는 키가 큰 편이지요.|Flick is pretty tall.|안느 씨, 한국 음식을 처음 만들었는데 이 정도면 맛있는 편이지요.|Anne, it's your first time making Korean food and this is pretty good.|가: 주디씨, 토미씨는 어떤 사람이에요?|나: 말이 별로 없는 편이지만 같이 있으면 재미있어요.|A: Judy, what kind of person is Tommy?|B: He may seem relatively untalkative but he's fun to be around.|가: 날이 이렇게 더운데 집까지 30분이나 걸어가야 해요. 너무 멀어요.|나: 그 정도면 가까운 편이지요. 저는 한 시간 이상 걸려요.|A: It's so hot and I have to walk 30 minutes to get home. It's too far.|B: That's pretty close. It takes me more than an hour to get home.
3-2-1|-으려던/려던 참이었다|To express that you were just about to do something.|저도 지금 점심을 먹으려던 참이었어요.|I was just about to eat lunch, too.|그렇지 않아도 네게 부탁하려던 참이었어.|As a matter of fact, I was just about to ask you.|저도 커피를 마시려던 참이었어요. 같이 가요.|I was just about to drink coffee, too. Let's go together.|그렇지 않아도 노라 씨한테 연락하려던 참이었어요.|As a matter of fact, I was just about to contact you, Nora.|가: 3시 기차를 타려면 지금 출발해야 될 것 같은데요.|나: 그렇지 않아도 이제 출발하려던 참이었어요.|A: I think we need to leave now in order to board the 3 o'clock train.|B: As a matter of fact, I was just about to leave.|가: 에릭씨, 지금 통화할 수 있어요?|나: 네, 유키씨, 저도 유키씨에게 전화하려던 참이었어요.|A: Are you available to talk on the phone right now, Eric?|B: Yes, Yuki. I was just about to call you.
3-2-2|-기만 하다|To indicate that someone "only" does that action and nothing else.|제 친구는 책을 사기만 하고 읽지는 않아요.|My friend only buys books; she never reads them.|아이가 밥도 안 먹고 울기만 해요.|The baby doesn't even eat and only cries.|어제 잠을 못 자서 영화를 볼 때 계속 졸기만 했어요.|I didn't get much sleep last night, so I just kept falling asleep during the movie.|주말에 저는 쉬지도 않고 공부만 했어요.|I had no time to rest; I only studied during the weekend.|가: 어머니께서 요리를 하실 때 마리아 씨도 같이 했어요?|나: 아니요, 저는 옆에서 보기만 했어요.|A: Did you help your mother with the cooking, Maria?|B: No, I just watched from the side.|가: 일요일에 밀린 집안일을 좀 했어요?|나: 아니요, 너무 피곤해서 쉬기만 했어요.|A: Were you able to get some overdue chores done on Sunday?|B: No, I was too tired so I just rested.
3-2-3|-어야지요/아야지요/여야지요|To express that someone "must" or "should" do something.|약속을 했으면 지켜야지요.|If you make a promise, you need to keep it.|담배는 밖에 나가서 피워야지.|You need to smoke outside.|2시까지 도착하려면 지금 출발해야지요.|You need to leave now if you want to arrive by 2 p.m.|산에 올라갈 때는 불편한 신발을 신지 말아야지.|You can't wear uncomfortable shoes when climbing a mountain.|가: 영수 씨가 저에게만 한 이야기를 실수로 다른 사람에게 말했어요.|나: 비밀 이야기는 다른 사람에게 말하지 말아야지요.|A: I accidentally spilled the beans on the secret that Yeongsu only shared with me.|B: You shouldn't tell others a secret (that's been told to you).|가: 요즘 회사 일 때문에 잠을 못 자서 너무 피곤해.|나: 일이 많아도 무리하지 말고 좀 쉬어야지.|A: I'm so tired these days. I don't get much sleep because we're so busy at work.|B: Even if you're busy, you shouldn't overdo it. You need to rest.
3-2-4|-어/아/여 보이다|Used with a descriptive verb to say someone/something "looks" a certain way.|더러웠던 방을 청소하니까 방이 넓어 보여요.|The room looks bigger after I cleaned up the mess.|흐엉 씨는 나이보다 어려 보여요.|Huong, you look younger than your age.|요즘 일이 많아요? 피곤해 보여요.|Are you busy these days? You look tired.|어제 친척 결혼식에 갔는데 신랑과 신부가 아주 행복해 보였어요.|I attended a relative's wedding yesterday and the bride and groom looked so happy.|가: 이 영화가 재미있어 보이는데 우리 이 영화를 볼까요?|나: 좋아요. 저도 보고 싶었던 거예요.|A: This movie looks fun. Do you want to watch it?|B: Sure. I've been wanting to watch it, too.|가: 정말 예쁜 케이크네요. 맛있을 것 같아요.|나: 네, 저도 맛있어 보여서 샀어요.|A: It's a really pretty cake. I think it'll be tasty.|B: Yes, I bought it because it looked tasty.
3-3-1|-는다면/ㄴ다면/다면|To make a hypothetical supposition about something ("if... were to happen").|마음에 드는 사람을 찾는다면 결혼할 거예요.|If I find someone I like, I'm going to marry him/her.|만약 10억이 생긴다면 집을 사고 싶어요.|If I got a billion dollars, I would want to buy a house.|시험이 없다면 정말 행복할 것 같아요.|If there were no tests, I think I would be so happy.|내가 너라면 담배를 피우지 않겠어.|If I were you, I wouldn't smoke.|가: 뭐든지 만들 수 있다면 뭘 만들고 싶어요?|나: 뭐든지 만들 수 있다면 젊어지는 약을 만들고 싶어요.|A: If you could make anything, what would you want to make?|B: If I could make anything, I would want to make a potion that makes people younger.|가: 과거로 돌아갈 수 있다면 언제로 돌아가고 싶어?|나: 유치원 때로 돌아가고 싶어. 그때는 친구만 있으면 행복했어.|A: If you could go back in time, when would you want to return to?|B: I want to return to kindergarten. Back then, all I needed was friends to be happy.
3-3-2|-어서/아서/여서 그런지|To suggest a possible reason for something ("Perhaps it's because...").|요즘 과로해서 그런지 자주 머리가 아파요.|Perhaps it's because I'm overworked these days, but my head frequently hurts.|근처에 공원이 있어서 그런지 집값이 비싸요.|Perhaps it's because there's a park nearby, but the houses here are expensive.|요즘 날씨가 더워서 그런지 입맛이 없어요.|Perhaps it's because it's so hot out these days, but I don't have an appetite.|유명한 관광지여서 그런지 비가 와도 사람이 많군요.|Perhaps it's because it's a famous tourist attraction, but there are a lot of people even when it rains.|가: 존 씨는 참 똑똑한 것 같아요.|나: 책을 많이 읽어서 그런지 아는 것이 많아요.|A: I think John is very smart.|B: Perhaps it's because he reads a lot, but he's well-informed.|가: 이 가방은 디자인은 예쁜데 너무 비싼 것 같아요.|나: 너무 비싸서 그런지 사람들도 구경만 하고 안 사네요.|A: The bag's design is very pretty, but I think it's too expensive.|B: Perhaps it's because it's too expensive, but people just look and don't buy.
