Lesson and Index|Grammar Point|Explanation|Korean Sentence 1|English Sentence 1|Korean Sentence 2A|Korean Sentence 2B|English Sentence 2A|English Sentence 2B
Lesson 1-1|-기는요|To humbly negate or disagree with what someone has said.|한국말을 잘 하기는요. 쉬운 말밖에 못 해요.|I'm not good at Korean. I can only speak simple phrases.|가: 한국말을 참 잘하시네요.|나: 잘 하기는요. 아직도 모르는 게 많아요.|A: You're so good at Korean.|B: Not at all. There are so many things I still don't know.
Lesson 1-2|-을/ㄹ 뿐이다|To state that something is "only" or "just" the case, with nothing more.|건강이 좋아진 특별한 방법은 없어요. 아침마다 산책을 했을 뿐이에요.|There isn't any secret method to my health improving. All I did was take a walk every morning.|가: 영수씨, 얼굴이 안 좋아 보여요. 어디 아프세요?|나: 괜찮아요. 좀 피곤할 뿐이에요.|A: Yeongsu, you don't look well. Are you sick?|B: I'm okay. I'm just tired.
Lesson 1-3|-기 위해서|To express the purpose or intent for doing something ("in order to").|저는 세계 여행을 하기 위해서 외국어를 공부해요.|I am learning a foreign language in order to travel the world.|가: 우디씨, 왜 그렇게 열심히 공부해요?|나: 공무원 시험에 합격하기 위해서 열심히 공부해요.|A: Woody, why are you studying so hard?|B: I am studying hard in order to pass the civil service examination.
Lesson 1-4|-는/은/ㄴ 편이다|To describe something in relative terms, avoiding a definitive statement ("to be on the relatively... side").|플릭 씨는 키가 큰 편이지요.|Flick is pretty tall.|가: 날이 이렇게 더운데 집까지 30분이나 걸어가야 해요. 너무 멀어요.|나: 그 정도면 가까운 편이지요. 저는 한 시간 이상 걸려요.|A: It's so hot and I have to walk 30 minutes to get home. It's too far.|B: That's pretty close. It takes me more than an hour to get home.
Lesson 2-1|-으려던/려던 참이었다|To express that you were just about to do something.|저도 지금 점심을 먹으려던 참이었어요.|I was just about to eat lunch, too.|가: 3시 기차를 타려면 지금 출발해야 될 것 같은데요.|나: 그렇지 않아도 이제 출발하려던 참이었어요.|A: I think we need to leave now in order to board the 3 o'clock train.|B: As a matter of fact, I was just about to leave.
Lesson 2-2|-기만 하다|To indicate that someone "only" does that action and nothing else.|아이가 밥도 안 먹고 울기만 해요.|The baby doesn't even eat and only cries.|가: 어머니께서 요리를 하실 때 마리아 씨도 같이 했어요?|나: 아니요, 저는 옆에서 보기만 했어요.|A: Did you help your mother with the cooking, Maria?|B: No, I just watched from the side.
Lesson 2-3|-어야지요/아야지요/여야지요|To express that someone "must" or "should" do something.|약속을 했으면 지켜야지요.|If you make a promise, you need to keep it.|가: 영수 씨가 저에게만 한 이야기를 실수로 다른 사람에게 말했어요.|나: 비밀 이야기는 다른 사람에게 말하지 말아야지요.|A: I accidentally spilled the beans on the secret that Yeongsu only shared with me.|B: You shouldn't tell others a secret (that's been told to you).
Lesson 2-4|-어/아/여 보이다|Used with a descriptive verb to say someone/something "looks" a certain way.|흐엉 씨는 나이보다 어려 보여요.|Huong, you look younger than your age.|가: 이 영화가 재미있어 보이는데 우리 이 영화를 볼까요?|나: 좋아요. 저도 보고 싶었던 거예요.|A: This movie looks fun. Do you want to watch it?|B: Sure. I've been wanting to watch it, too.
Lesson 3-1|-는다면/ㄴ다면/다면|To make a hypothetical supposition about something ("if... were to happen").|만약 10억이 생긴다면 집을 사고 싶어요.|If I got a billion dollars, I would want to buy a house.|가: 뭐든지 만들 수 있다면 뭘 만들고 싶어요?|나: 뭐든지 만들 수 있다면 젊어지는 약을 만들고 싶어요.|A: If you could make anything, what would you want to make?|B: If I could make anything, I would want to make a potion that makes people younger.
Lesson 3-2|-어서/아서/여서 그런지|To suggest a possible reason for something ("Perhaps it's because...").|요즘 과로해서 그런지 자주 머리가 아파요.|Perhaps it's because I'm overworked these days, but my head frequently hurts.|가: 존 씨는 참 똑똑한 것 같아요.|나: 책을 많이 읽어서 그런지 아는 것이 많아요.|A: I think John is very smart.|B: Perhaps it's because he reads a lot, but he's well-informed.
