Base Verb|Causative Verb|Base Example Sentence|Causative Sentence Start|Causative Example Sentence|Base Verb English Translation|Causative Verb English Translation|Base Sentence English Translation|Causative Sentence English Translation
죽다|죽이다|모기가 죽었어요.|아버지가|아버지가 모기를 죽였어요.|to die|to kill|The mosquito died.|Father killed the mosquito.
끊다|끊다|실이 끊어졌어요.|엄마가|엄마가 실을 끊었어요.|to be cut|to cut|The thread snapped.|Mother cut the thread.
붙다|붙이다|메모가 벽에 붙었어요.|선생님이|선생님이 메모를 벽에 붙였어요.|to be attached|to attach|The memo was stuck to the wall.|The teacher attached the memo to the wall.
숙다|숙이다|아이가 고개를 숙였어요.|경비원이|경비원이 아이에게 고개를 숙였어요.|to bow, to lower one's head|to make someone bow|The child bowed their head.|The security guard made the child bow their head.
앉다|앉히다|아이가 의자에 앉았어요.|아버지가|아버지가 아이를 의자에 앉혔어요.|to sit|to seat someone|The child sat on the chair.|Father sat the child on the chair.
눕다|눕히다|아이가 침대에 누웠어요.|엄마가|엄마가 아이를 침대에 눕혔어요.|to lie down|to lay someone down|The child lay on the bed.|Mother laid the child down on the bed.
살다|살리다|환자가 살았어요.|의사가|의사가 환자를 살렸어요.|to live|to save|The patient lived.|The doctor saved the patient.
울다|울리다|아이가 울었어요.|오빠가|오빠가 동생을 울렸어요.|to cry|to make someone cry|The child cried.|The older brother made the younger sibling cry.
웃다|웃기다|아이가 웃었어요.|아빠가|아빠가 아이를 웃겼어요.|to laugh|to make someone laugh|The child laughed.|The father made the child laugh.
숨다|숨기다|아이가 장난감을 숨겼어요.|동생이|동생이 제 열쇠를 숨겼어요.|to hide (oneself)|to hide (an object)|The child hid the toy.|My younger sibling hid my keys.
날다|날리다|종이비행기가 날았어요.|바람이|바람이 모자를 날렸어요.|to fly|to blow away|The paper airplane flew.|The wind blew the hat away.
깨다|깨우다|아이가 아침에 깼어요.|엄마가|엄마가 아이를 깨웠어요.|to wake up|to wake someone up|The child woke up in the morning.|Mother woke the child up.
지다|지우다|칠판에 쓴 글씨가 졌어요.|선생님이|선생님이 칠판을 지웠어요.|to disappear, to fade|to erase|The writing on the board faded.|The teacher erased the board.
타다|태우다|동생이 지하철을 탔어요.|아버지가|아버지가 동생을 학교에 태워 줬어요.|to ride|to give a ride|My younger sibling took the subway.|Father gave my younger sibling a ride to school.
서다|세우다|버스가 정류장에 섰어요.|기사님께서|기사님께서 차를 세웠어요.|to stop|to stop (a vehicle)|The bus stopped at the stop.|The driver stopped the car.
차다|채우다|방에 사람이 찼어요.|우리가|우리가 박스를 물건으로 채웠어요.|to be full|to fill|The room was full of people.|We filled the box with things.
자다|재우다|아이가 벌써 잤어요.|엄마가|엄마가 아이를 재웠어요.|to sleep|to put someone to sleep|The child is already asleep.|Mother put the child to sleep.
낮다|낮추다|방음이 낮아요.|직원이|직원이 볼륨을 낮췄어요.|to be low|to lower|The soundproofing is low.|The staff lowered the volume.
늦다|늦추다|약속 시간이 늦어졌어요.|친구가|친구가 약속 시간을 늦췄어요.|to be late|to postpone|The appointment time was pushed back.|My friend postponed the appointment time.
맞다|맞추다|제 답이 맞았어요.|동생이|동생이 시계를 맞췄어요.|to be correct|to adjust/set|My answer was correct.|My younger sibling set the clock.
먹다|먹이다|아이가 밥을 먹어요.|엄마가|엄마가 아이에게 밥을 먹여요.|to eat|to feed|The child eats.|Mother feeds the child.
입다|입히다|아이가 옷을 입어요.|엄마가|엄마가 아이에게 옷을 입혔어요.|to wear|to dress someone|The child puts on clothes.|Mother dressed the child.
읽다|읽히다|학생이 책을 읽었어요.|선생님이|선생님이 학생에게 책을 읽혔어요.|to read|to make someone read|The student read the book.|The teacher made the student read the book.
알다|알리다|학생들이 그 소식을 알게 됐어요.|선생님이|선생님이 학생들에게 소식을 알렸어요.|to know|to inform|The students found out the news.|The teacher informed the students of the news.
맡다|맡기다|제가 그 일을 맡았어요.|사장님이|사장님이 그 일을 저에게 맡겼어요.|to take on a task|to entrust a task|I took on the task.|The boss entrusted the task to me.
신다|신기다|아이가 신발을 신었어요.|아버지가|아버지가 아이에게 신발을 신겼어요.|to wear (on feet)|to put shoes on someone|The child put on their shoes.|Father put the shoes on the child.
씻다|씻기다|아이가 손을 씻었어요.|엄마가|엄마가 아이 손을 씻겼어요.|to wash|to wash someone|The child washed their hands.|Mother washed the child's hands.
감다|감기다|아이가 머리를 감았어요.|엄마가|엄마가 아이 머리를 감겼어요.|to wash (hair)|to wash someone's hair|The child washed their hair.|Mother washed the child's hair.
벗다|벗기다|아이가 옷을 벗었어요.|엄마가|엄마가 아이 옷을 벗겼어요.|to take off|to undress someone|The child took off their clothes.|Mother undressed the child.
