Active|Passive|Category|English Active|English Passive|Active Sentence|Passive Sentence|Active Sentence English|Passive Sentence English
놓다|놓이다|-이-|to put/place|to be put/placed|제가 책을 책상에 놓았어요.|책이 제가 책상에 놓였어요.|I put the book on the desk.|The book was put on the desk by me.
바꾸다|바뀌다|-이-|to change|to be changed|회사가 비밀번호를 바꿨어요.|비밀번호가 회사에서 바뀌었어요.|The company changed the password.|The password was changed by the company.
보다|보이다|-이-|to see|to be seen|사람들이 산을 봤어요.|산이 사람들에게 보여요.|People saw the mountain.|The mountain is visible to people.
쌓다|쌓이다|-이-|to pile up|to be piled up|직원들이 상자를 쌓았어요.|상자가 직원들이 쌓였어요.|The employees piled up the boxes.|The boxes were piled up by the employees.
쓰다|쓰이다|-이-|to write/use|to be written/used|학생이 칠판에 글을 썼어요.|글이 칠판에 쓰여 있어요.|The student wrote words on the board.|Words are written on the board.
꽂다|꽂히다|-히-|to stick in/plug in|to be stuck in/plugged in|제가 꽃을 화분에 꽂았어요.|꽃이 화분에 꽂혀 있어요.|I stuck the flowers in the vase.|The flowers are stuck in the vase.
닫다|닫히다|-히-|to close|to be closed|선생님이 문을 닫았어요.|문이 선생님이 닫혔어요.|The teacher closed the door.|The door was closed by the teacher.
먹다|먹히다|-히-|to eat|to be eaten|호랑이가 사슴을 먹었어요.|사슴이 호랑이에게 먹혔어요.|The tiger ate the deer.|The deer was eaten by the tiger.
잡다|잡히다|-히-|to catch|to be caught|경찰이 범인을 잡았어요.|범인이 경찰에게 잡혔어요.|The police caught the criminal.|The criminal was caught by the police.
찍다|찍히다|-히-|to stamp/take (a photo)|to be stamped/taken|사진사가 모델 사진을 찍었어요.|모델 사진이 사진사에게 찍혔어요.|The photographer took the model's photo.|The model's photo was taken by the photographer.
밟다|밟히다|-히-|to step on|to be stepped on|누군가 제 발을 밟았어요.|제 발이 누군가에게 밟혔어요.|Someone stepped on my foot.|My foot was stepped on by someone.
읽다|읽히다|-히-|to read|to be read|학생들이 그 책을 읽었어요.|그 책이 학생들에게 읽혔어요.|The students read that book.|That book was read by the students.
걸다|걸리다|-리-|to hang|to be hung|엄마가 옷을 옷걸이에 걸었어요.|옷이 옷걸이에 걸려 있어요.|Mom hung the clothes on the hanger.|The clothes are hung on the hanger.
듣다|들리다|-리-|to hear|to be heard|저는 그 소리를 들었어요.|그 소리가 저에게 들렸어요.|I heard that sound.|That sound was heard by me.
열다|열리다|-리-|to open|to be opened|점원이 가게 문을 열었어요.|가게 문이 점원이 열렸어요.|The clerk opened the store door.|The store door was opened by the clerk.
팔다|팔리다|-리-|to sell|to be sold|그 가게가 그 차를 팔았어요.|그 차가 그 가게에서 팔렸어요.|That store sold the car.|The car was sold by that store.
물다|물리다|-리-|to bite|to be bitten|모기가 저를 물었어요.|저는 모기에게 물렸어요.|A mosquito bit me.|I was bitten by a mosquito.
풀다|풀리다|-리-|to untie/solve|to be untied/solved|제가 그 문제를 풀었어요.|그 문제가 제가 풀렸어요.|I solved the problem.|The problem was solved by me.
끊다|끊기다|-기-|to cut off|to be cut off|정부가 전기를 끊었어요.|전기가 정부에서 끊겼어요.|The government cut off the electricity.|The electricity was cut off by the government.
씻다|씻기다|-기-|to wash|to be washed|엄마가 접시를 씻었어요.|접시가 엄마가 씻겼어요.|Mom washed the dishes.|The dishes were washed by Mom.
안다|안기다|-기-|to hug|to be hugged|아이가 엄마를 안았어요.|엄마가 아이에게 안겼어요.|The child hugged the mother.|The mother was hugged by the child.
쫓다|쫓기다|-기-|to chase|to be chased|고양이가 쥐를 쫓았어요.|쥐가 고양이에게 쫓겼어요.|The cat chased the mouse.|The mouse was chased by the cat.
담다|담기다|-기-|to put in|to be put in|제가 물을 병에 담았어요.|물이 병에 담겼어요.|I put water in the bottle.|Water was put in the bottle.
깨다|깨지다|-어/아/여지다|to break|to be broken|제가 그 접시를 깼어요.|그 접시가 제가 깨졌어요.|I broke that plate.|That plate was broken by me.
끄다|꺼지다|-어/아/여지다|to turn off|to be turned off|아빠가 텔레비전을 껐어요.|텔레비전이 아빠가 꺼졌어요.|Dad turned off the TV.|The TV was turned off by Dad.
찢다|찢어지다|-어/아/여지다|to tear|to be torn|아이가 종이를 찢었어요.|종이가 아이가 찢어졌어요.|The child tore the paper.|The paper was torn by the child.
켜다|켜지다|-어/아/여지다|to turn on|to be turned on|엄마가 불을 켰어요.|불이 엄마가 켜졌어요.|Mom turned on the light.|The light was turned on by Mom.
지우다|지워지다|-어/아/여지다|to erase|to be erased|선생님이 칠판을 지웠어요.|칠판이 선생님이 지워졌어요.|The teacher erased the board.|The board was erased by the teacher.
만들다|만들어지다|-어/아/여지다|to make|to be made|회사가 이 자동차를 만들어요.|이 자동차가 회사에서 만들어져요.|The company makes this car.|This car is made by the company.
