Lesson and Index|Grammar Point|Explanation|Korean Sentence 1|English Sentence 1|Korean Sentence 2A|Korean Sentence 2B|English Sentence 2A|English Sentence 2B
Lesson 11-1|-는다고/ㄴ다고/다고 하던데|Used to talk about something heard in the past to confirm validity or ask questions, or to make suggestions.|안나 씨가 다음 주에 고향에 돌아간다고 하던데 송별회를 준비할까요?|I heard that Anna is returning to her hometown next week. Should we prepare a farewell party?|가: 정희 씨가 다음 달에 결혼한다고 하던데 정말이에요?|나: 네, 요즘 결혼 준비 때문에 아주 바쁘대요.|A: I heard that Jeonghee is getting married next month. Is that true?|B: Yes, she said she's very busy these days with wedding preparations.
Lesson 11-2|-는대로|Used with action verbs to denote that as soon as an action is taken, something will immediately follow.|집에 도착하는대로 연락할게요.|I'll call you as soon as I arrive home.|가: 오늘 언제 집에 올 거니? 빨리 와서 엄마 좀 도와줘.|나: 네, 수업이 끝나는대로 집에 올게요.|A: When are you coming home today? Come quickly and give Mom a hand.|B: All right. I'll head home as soon as classes are over.
Lesson 11-3|-기는 하다|Used to acknowledge that the preceding statement is true while implying something else.|저는 매운 음식을 먹기는 하지만 좋아하지 않아요.|I do eat spicy food, but I don't particularly like it.|가: 회사 일이 힘들지요?|나: 힘들기는 하지만 배우는 것도 많고 재미있어요.|A: Your office work is hard, right?|B: It is hard, but there's so much to learn and it's also fun.
Lesson 11-4|-다니|Used to express surprise, disbelief, or amazement at something seen or heard.|그렇게 건강하던 사람이 병에 걸리다니 믿을 수 없어요.|I can't believe that a person so healthy could be sick with a disease.|가: 내일 서울의 낮 기온이 40도래요.|나: 40도라니 그게 정말이에요?|A: They say it's 40 degrees tomorrow in Seoul.|B: 40 degrees? Is that true?
Lesson 12-1|-을/ㄹ 만하다|Used to state that something is worth doing or acceptable to carry out.|요즘 상영하고 있는 영화 중에서는 '아름다운 꿈'이 볼 만해요.|The recent movie "Beautiful Dream" is worth watching.|가: 한국 음식 중에서 뭐가 제일 맛있어요?|나: 불고기가 먹을 만해요. 한번 드셔보세요.|A: What's the best among Korean foods?|B: Bulgogi is worth eating. You should try it out.
Lesson 12-2|-는답니다/ㄴ답니다/답니다|Used to inform someone about something you think they don't know.|제 동생은 노래를 아주 잘 부른답니다.|My younger sibling is really good at singing.|가: 경주는 어떤 곳이에요?|나: 경주는 역사 도시로 유명하답니다.|A: What kind of place is Gyeongju?|B: It's known as the city of history.
Lesson 12-3|-을/ㄹ 뿐만 아니라|Used to add additional information to the preceding content.|배우 박재성은 연기를 잘할 뿐만 아니라 노래도 잘한대요.|Not only is the actor Jaeseong Park good at acting, I heard he's also a good singer.|가: 슈테판 씨, 한국의 비빔밥은 어떤 음식이에요?|나: 맛있을 뿐만 아니라 영양도 아주 풍부한 음식이에요.|A: What kind of food is bibimbap in Korea, Stephan?|B: Not only is it tasty, it's very nutritious, too.
Lesson 12-4|-이며/며|Used to list two or more similar items and connect them to the predicate.|제가 과자며 과일이며 음료수까지 다 사 놓았어요.|I've already bought everything from cookies to fruit to beverages.|가: 새로 이사한 하숙집은 어때요?|나: 넓은 방이며 아주머니가 만드신 맛있는 음식이며 마음에 들지 않는 게 없어요.|A: How's the new boarding house?|B: I like everything about it from its spacious room to the delicious food the homeowner makes me.
Lesson 13-1|만 못하다|Used to compare two items, stating the preceding item is not as good as the following item.|새 노트북이 빠르기는 한데 디자인은 제가 쓰던 노트북만 못해요.|The new laptop is fast, but the design doesn't compare to my previous laptop.|가: 이 영화는 유명한 소설을 영화로 만든 거라면서요?|나: 네, 그런데 영화가 책만 못한 것 같네요.|A: I heard that this movie was based on a famous novel, right?|B: Yes, but the movie isn't half as good as the novel.
Lesson 13-2|-기도 하다|Used to state that both the preceding and following contents are true or have happened.|이 휴대폰은 가볍기도 하고 예쁘기도 해서 인기가 많아요.|This cell phone is lightweight and pretty, so it's very popular.|가: 영하 씨가 쓴 소설이 드라마로 만들어졌다면서요?|나: 네, 다음 주부터 방송이 되는데 기쁘기도 하고 걱정이 되기도 해요.|A: I heard that the novel you wrote was re-made into a drama, Yeongha.|B: Yes, it's going to be aired next week, and I'm both pleased and worried at the same time.
