Korean|English|Korean Chunk 1|English Chunk 1|Korean Chunk 2|English Chunk 2
상영관|theater|영화 상영관|movie theater|상영관을 선택하다|to choose a theater
인원수|the number of people|인원수를 확인하다|to check the number of people|인원수가 많아요|the number of people is large
기운|energy|기운이 없다|to have no energy|기운 내세요|cheer up
캠퍼스|campus|캠퍼스 생활|campus life|캠퍼스를 걷다|to walk on campus
자세하다|to be specific|자세한 설명|detailed explanation|자세하게 말하다|to speak in detail
일상생활|daily life|일상생활 습관|daily life habits|일상생활에서|in daily life
걸다|to talk to|말을 걸다|to start a conversation|먼저 걸어 보세요|try talking first
신제품|new product|신제품 출시|new product launch|신제품이 나왔어요|a new product came out
깜박하다|to slip one's mind|깜박 잊다|to forget momentarily|깜박했어요|I forgot
결국|ultimately|결국 성공했다|ultimately succeeded|결국 포기했어요|I gave up in the end
평화롭다|to be peaceful|평화로운 마을|peaceful village|평화롭게 지내다|to live peacefully
운동량이늘다|to have an increase in exercise amount|운동량이 점점 늘다|exercise amount gradually increases|운동량이 많이 늘었어요|my exercise amount increased a lot
차|round|1차 모임|first round gathering|2차 가실래요?|shall we go to the second round?
삐다|to sprain|발목을 삐다|to sprain an ankle|삐었어요|I sprained it
종량제봉투|standard plastic trash bag|종량제봉투 구입|buying standard trash bags|종량제봉투에 버리다|to throw away in standard bags
빈손|empty-handed|빈손으로 가다|to go empty-handed|빈손으로 오지 마세요|don't come empty-handed
노약자|the old and weak|노약자 좌석|seats for the elderly and weak|노약자를 배려하다|to be considerate of the elderly and weak
구하다|to ask for (advice)|도움을 구하다|to ask for help|조언을 구했어요|I asked for advice
씻기다2|to wash something|아기를 씻기다|to wash a baby|씻겨 주세요|please wash it
차다|to kick|공을 차다|to kick a ball|제기를 차다|to kick the shuttlecock
전시회|exhibition|미술 전시회|art exhibition|전시회를 보다|to see an exhibition
비상벨|emergency bell|비상벨을 누르다|to press the emergency bell|비상벨이 울리다|emergency bell rings
당일|same-day|당일 예약|same-day reservation|당일 진료|same-day treatment
식비|meal fee|하루 식비|daily meal cost|식비를 아끼다|to save on meal costs
일정표|schedule|이번 주 일정표|this week's schedule|일정표를 확인하다|to check the schedule
회원|member|동아리 회원|club member|회원 가입|member registration
존경하다|to respect|선생님을 존경하다|to respect the teacher|존경해요|I respect (them)
이대로|in this state; like this|이대로 가다|to go like this|이대로 괜찮아요|it's okay like this
고급스럽다|to be luxurious|고급스러운 디자인|luxurious design|고급스러워 보여요|it looks luxurious
교통비|transportation fee|교통비 지원|transportation fee support|교통비가 비싸다|transportation fee is expensive
유지|maintenance|관계를 유지하다|to maintain a relationship|유지하기 어려워요|it's hard to maintain
친하다|to be close|친한 친구|close friend|친하게 지내다|to be on close terms
여유|leisure|시간 여유|time to spare|여유가 있다|to have leisure
지원하다|to apply|회사에 지원하다|to apply to a company|지원했어요|I applied
체중|weight|체중 감량|weight loss|체중을 재다|to measure weight
인스턴트식품|instant foods|인스턴트식품 섭취|instant food consumption|인스턴트식품을 먹다|to eat instant foods
간편하다|to be convenient|간편한 요리|convenient cooking|간편하게 먹다|to eat conveniently
체온|body temperature|체온 측정|body temperature measurement|체온을 재다|to measure body temperature
강의|lecture|오전 강의|morning lecture|강의를 듣다|to attend a lecture
구인광고|job opening advertisement|구인광고를 보다|to look at job ads|구인광고를 내다|to post a job ad
공연하다|to perform|무대에서 공연하다|to perform on stage|공연할 예정이에요|we're scheduled to perform
놀라다|to be surprised|깜짝 놀라다|to be startled|놀란 표정|surprised expression
편리하다|to be convenient|교통이 편리하다|transportation is convenient|편리하게 이용하다|to use conveniently
시급|hourly wage|시급이 높다|the hourly wage is high|시급 만 원|10,000 won per hour
부주의하다|to be careless|부주의한 실수|careless mistake|부주의했어요|I was careless
상대방에게맞추다|to be accommodating|상대방에게 맞추는 성격|an accommodating personality|상대방에게 맞춰 줘요|I accommodate others
소식|light eating|소식하는 습관|habit of eating light|소식이 건강에 좋다|eating light is good for health
갖추다1|to be equipped with|시설을 갖추다|to be equipped with facilities|잘 갖춰져 있어요|it's well equipped
끊기다|to be cut off|전화가 끊기다|the call is cut off|끊긴 줄|cut line
환불|refund|환불 요청|refund request|환불받았어요|I got a refund
조리시간|cooking time|조리시간 단축|cooking time reduction|조리시간이 짧다|cooking time is short
채우다|to fill|물을 채우다|to fill with water|채워 주세요|please fill it
냉방|air-conditioning|냉방 장치|air-conditioning system|냉방을 틀다|to turn on the air-conditioning
대표적|representative|대표적인 음식|representative food|대표적으로 말하다|to speak representatively
구하다|to look for|집을 구하다|to look for a house|구하기 어려워요|it's hard to find
진통제|painkiller|진통제 처방|painkiller prescription|진통제를 먹다|to take painkillers
오해하다|to misunderstand|잘못 오해하다|to misunderstand wrongly|오해하지 마세요|don't misunderstand
울리다|to make someone cry|아기를 울리다|to make a baby cry|울리지 마세요|don't make them cry
최대|the biggest|최대 할인|maximum discount|최대한 빨리|as quickly as possible
확실히|surely|확실히 좋아요|it's definitely good|확실히 알아요|I know for sure
기본적|basic|기본적인 예의|basic etiquette|기본적으로 알다|to know basically
이기다|to win|게임에 이기다|to win a game|이겼어요!|I won!
겁을내다|to be afraid of|겁을 많이 내다|to be very afraid|겁을 내지 마세요|don't be afraid
숨기다|to hide something|사실을 숨기다|to hide the truth|숨기지 마세요|don't hide it
혼이나다|to be scolded|선생님께 혼이 나다|to be scolded by the teacher|혼났어요|I got scolded
정리하다|to organize|방을 정리하다|to organize the room|정리가 안 돼요|it's not organized
음주|drinking|음주 운전|drunk driving|음주를 삼가다|to refrain from drinking
과목|subject|전공 과목|major subject|과목을 선택하다|to choose a subject
실생활정보|information for daily life|실생활 정보 제공|providing information for daily life|실생활 정보가 유용해요|information for daily life is useful
그만|to happen to|그만 잊어버렸어요|I happened to forget|그만 실수했어요|I happened to make a mistake
택배비|delivery fee|택배비 무료|free delivery|택배비가 비싸요|the delivery fee is expensive
팔리다|to be sold|잘 팔리다|to sell well|다 팔렸어요|it's sold out
요새|these days|요새 어때요?|how are you these days?|요새 바빠요|I'm busy these days
재킷|jacket|가죽 재킷|leather jacket|재킷을 입다|to wear a jacket
맡다|to receive|일을 맡다|to take on work|맡았어요|I took charge
불친절하다|to be unfriendly|불친절한 태도|unfriendly attitude|불친절해요|it's unfriendly
아이쇼핑|window shopping|아이쇼핑하다|to window shop|아이쇼핑만 했어요|I just window shopped
국제교류|international exchange|국제교류 행사|international exchange event|국제교류를 하다|to do international exchange
쳐다보다|to look at|계속 쳐다보다|to keep staring|쳐다보지 마세요|don't stare
다다익선|the more the better|다다익선이에요|the more the better|다다익선이죠|it's the more the better, right?
가꾸다|to grow|화초를 가꾸다|to grow flowers|예쁘게 가꿨어요|I decorated it beautifully
알아듣다|to understand|말을 알아듣다|to understand what's said|잘 알아들었어요|I understood well
맡기다|to leave|짐을 맡기다|to leave luggage|맡겨 주세요|please leave it with me
플러그|plug|플러그를 꽂다|to plug in|플러그를 빼다|to unplug
나누다|to share|의견을 나누다|to share opinions|이야기를 나눴어요|we shared stories
녹다|to melt|얼음이 녹다|ice melts|다 녹았어요|it all melted
변덕스럽다|to be capricious|변덕스러운 날씨|capricious weather|변덕스러워요|you're capricious
당황스럽다|to be taken aback|당황스러운 상황|embarrassing situation|당황스러워하다|to be flustered
정하다|to decide|날짜를 정하다|to decide a date|정해 주세요|please decide
증상|symptoms|감기 증상|cold symptoms|증상이 심하다|symptoms are severe
코스|course|여행 코스|travel course|코스를 돌다|to go around a course
아깝다|to be a waste of|시간이 아깝다|it's a waste of time|아깝게 졌어요|we lost narrowly
감동적|to be touching|감동적인 영화|touching movie|감동적이었어요|it was touching
돌려서말하다|to say something indirectly|돌려서 말하지 마세요|don't speak indirectly|돌려서 말했어요|I said it indirectly
접수|registration|접수 번호|registration number|접수하러 가다|to go register
안내서|brochure|여행 안내서|travel brochure|안내서를 보다|to look at a brochure
초청장|invitation|초청장을 받다|to receive an invitation|초청장을 보내다|to send an invitation
입학정보|enrollment information|입학 정보 안내|enrollment information guidance|입학 정보를 확인하다|to check enrollment information
홈스테이|homestay|홈스테이 가족|homestay family|홈스테이를 하다|to do a homestay
휴식|rest|충분한 휴식|sufficient rest|휴식을 취하다|to take a rest
예의|etiquette|예의를 지키다|to keep etiquette|예의가 바르다|to have good manners
실용적|practical|실용적인 선물|practical gift|실용적이에요|it's practical
기타|other|기타 비용|other expenses|기타 등등|and so on
피로가쌓이다|to have an increase in fatigue|일하면 피로가 쌓이다|fatigue accumulates from work|피로가 많이 쌓였어요|a lot of fatigue accumulated
지루하다|to be boring|너무 지루하다|too boring|지루한 시간|boring time
자료|material|자료를 찾다|to look for materials|자료를 준비하다|to prepare materials
쓸데없이|needlessly|쓸데없이 걱정하다|to worry needlessly|쓸데없는 말|needless words
등|etcetera|책, 공책 등|books, notebooks, etc.|등등|and so on
포기하다|to give up|꿈을 포기하다|to give up a dream|포기하지 마세요|don't give up
주제|theme|영화 주제|movie theme|주제를 정하다|to decide on a theme
재학증명서|proof of enrollment|재학증명서를 발급받다|to get proof of enrollment issued|재학증명서가 필요해요|I need proof of enrollment
통하다|to circulate|바람이 잘 통하다|air circulates well|통하는 길|connected road
불규칙하다|to be irregular|불규칙한 생활|irregular lifestyle|불규칙하게 먹다|to eat irregularly
벼룩시장|flea market|벼룩시장 구경|browsing a flea market|벼룩시장에 가다|to go to a flea market
최신|the newest|최신 제품|newest product|최신 버전이에요|it's the latest version
졸업증명서|diploma|졸업증명서를 받다|to receive a diploma|졸업증명서를 제출하다|to submit a diploma
진심|true heart|진심으로 말하다|to speak sincerely|진심이에요|I'm serious
조심스럽다|to be careful|조심스러운 태도|careful attitude|조심스럽게 말해요|I speak carefully
한꺼번에|all at once|한꺼번에 하다|to do all at once|한꺼번에 주세요|give me all at once
상황|situation|어려운 상황|difficult situation|상황을 설명하다|to explain the situation
불합격하다|to fail|시험에 불합격하다|to fail an exam|불합격했어요|I failed
