Index|Lesson|Unit|Dialogue|Korean|English|Hanja|Explanation|Korean Chunk 1|English Chunk 1|Korean Chunk 2|English Chunk 2
1|1|1|Dialogue|기술|technology|技術|skill, technique|최신 기술|latest technology|기술이 발전하다|technology advances
2|1|1|Dialogue|꿈|dream||native Korean root|예쁜 꿈|beautiful dream|꿈을 꾸다|to dream
3|1|1|Dialogue|동기|classmate|同期|same, period|학교 동기|school classmate|동기들과 모임|gathering with classmates
4|1|1|Dialogue|신입생|new student|新入生|new, enter, student|대학 신입생|university freshman|신입생 환영회|freshman welcome party
5|1|1|Dialogue|전문가|specialist|專門家|special, gate, person|컴퓨터 전문가|computer specialist|전문가의 조언|expert's advice
6|1|1|Dialogue|정보|information|情報|emotion, report|유용한 정보|useful information|정보를 찾다|to look for information
7|1|1|Dialogue|학과|department|學科|study, subject|경영학과|business department|학과 사무실|department office
8|1|1|Dialogue|입학하다|to enroll|入學하다|enter, study, do|대학에 입학하다|to enter university|입학하기 전에|before enrolling
9|1|1|Expanded|강의|lecture|講義|speak, meaning|온라인 강의|online lecture|강의를 듣다|to attend a lecture
10|1|1|Expanded|과목|subject|科目|section, item|필수 과목|required subject|과목을 선택하다|to choose subjects
11|1|1|Expanded|새내기|freshman||new, sprout|대학 새내기|college freshman|새내기 시절|freshman days
12|1|1|Expanded|성적|grades|成績|achieve, record|좋은 성적|good grades|성적이 오르다|grades improve
13|1|1|Expanded|입학식|enrollment ceremony|入學式|enter, study, ceremony|대학교 입학식|university entrance ceremony|입학식에 참석하다|to attend entrance ceremony
14|1|1|Expanded|장학금|scholarship|獎學金|reward, study, money|장학금을 받다|to receive scholarship|장학금 지원|scholarship application
15|1|1|Expanded|재학생|enrolled student|在學生|be, study, student|현재 재학생|current student|재학생 증명|proof of enrollment
16|1|1|Expanded|졸업생|graduate|卒業生|finish, work, student|대학원 졸업생|graduate school alumnus|졸업생 모임|alumni gathering
17|1|2|Dialogue|실력|skills|實力|real, power|한국어 실력|Korean language skills|실력이 늘다|skills improve
18|1|2|Dialogue|최선|best|最善|most, good|최선을 다하다|to do one's best|최선의 선택|the best choice
19|1|2|Dialogue|궁금하다|to be curious|窮金하다|poor, money, do|결과가 궁금하다|curious about results|궁금한 점|points of curiosity
20|1|2|Dialogue|긴장되다|to be nervous|緊張되다|tight, stretch, become|시험 전 긴장됐다|nervous before exam|긴장되지 않게|so as not to be nervous
21|1|2|Dialogue|낯설다|to be unfamiliar||face, strange|낯설은 곳|unfamiliar place|분위기가 낯설다|the atmosphere feels unfamiliar
22|1|2|Dialogue|뛰어나다|to be excellent||jump, out|뛰어난 실력|excellent skills|뛰어나게 잘하다|to do exceptionally well
23|1|2|Dialogue|입사하다|to join a company|入社하다|enter, company, do|회사에 입사하다|to join a company|입사한 지 일 년|one year since joining
24|1|2|Dialogue|지내보다|to get along with||pass, see|잘 지내보자|let's get along well|동료와 지내보기|getting along with colleagues
