Index|Lesson|Unit|Dialogue|Korean|English|Hanja|Explanation
1|1|1|Dialogue|기술|technology|技術|skill, technique
2|1|1|Dialogue|꿈|dream||native Korean root
3|1|1|Dialogue|동기|classmate|同期|same, period
4|1|1|Dialogue|신입생|new student|新入生|new, enter, student
5|1|1|Dialogue|전문가|specialist|專門家|special, gate, person
6|1|1|Dialogue|정보|information|情報|emotion, report
7|1|1|Dialogue|학과|department|學科|study, subject
8|1|1|Dialogue|입학하다|to enroll|入學하다|enter, study, do
9|1|1|Expanded|강의|lecture|講義|speak, meaning
10|1|1|Expanded|과목|subject|科目|section, item
11|1|1|Expanded|새내기|freshman||new, sprout
12|1|1|Expanded|성적|grades|成績|achieve, record
13|1|1|Expanded|입학식|enrollment ceremony|入學式|enter, study, ceremony
14|1|1|Expanded|장학금|scholarship|獎學金|reward, study, money
15|1|1|Expanded|재학생|enrolled student|在學生|be, study, student
16|1|1|Expanded|졸업생|graduate|卒業生|finish, work, student
17|1|2|Dialogue|실력|skills|實力|real, power
18|1|2|Dialogue|최선|best|最善|most, good
19|1|2|Dialogue|궁금하다|to be curious|窮金하다|poor, money, do
20|1|2|Dialogue|긴장되다|to be nervous|緊張되다|tight, stretch, become
21|1|2|Dialogue|낯설다|to be unfamiliar||face, strange
22|1|2|Dialogue|뛰어나다|to be excellent||jump, out
23|1|2|Dialogue|입사하다|to join a company|入社하다|enter, company, do
24|1|2|Dialogue|지내보다|to get along with||pass, see
25|1|2|Expanded|사회생활|social life|社會生活|company, meeting, life, live
26|1|2|Expanded|생년월일|date of birth|生年月日|life, year, month, day
27|1|2|Expanded|성별|gender|性別|nature, separate
28|1|2|Expanded|이력서|resume|履歷書|履歷書
29|1|2|Expanded|자기소개|self-introduction|自己紹介|self, self, introduce, open
30|1|2|Expanded|특기|special ability|特技|special, skill
31|1|2|Expanded|학력|level of education|學力|study, power
32|1|2|Expanded|도전하다|to challenge|挑戰하다|challenge, war, do
33|1|2|Expanded|합격하다|to pass|合格하다|fit, qualify, do
34|2|1|Dialogue|개인적|personal|個人的|individual, person, -like
35|2|1|Dialogue|상담|counseling|相談|mutual, talk
36|2|1|Dialogue|상담실|counseling office|相談室|mutual, talk, room
37|2|1|Dialogue|일정표|schedule|日程表|day, journey, table
38|2|1|Dialogue|가능하다|to be possible|可能하다|able, ability, do
39|2|1|Dialogue|선택하다|to choose|選擇하다|choose, select, do
40|2|1|Dialogue|이용하다|to use|利用하다|benefit, use, do
41|2|1|Dialogue|그렇지않아도|as a matter of fact||that, not, also
42|2|1|Expanded|상담내용|content of counseling|相談內容|mutual, talk, inside, contain
43|2|1|Expanded|온라인상담|online counseling|相談|mutual, talk
44|2|1|Expanded|전화상담|phone counseling|電話相談|electric, word, mutual, talk
45|2|1|Expanded|진학상담|academic counseling|進學相談|advance, study, mutual, talk
46|2|1|Expanded|취업상담|career counseling|就業相談|get, work, mutual, talk
47|2|1|Expanded|면담하다|to have an interview|面談하다|face, talk, do
48|2|1|Expanded|의논하다|to discuss|議論하다|discuss, theory, do
49|2|2|Dialogue|각자|each|各自|each, self
50|2|2|Dialogue|전시회|exhibition|展示會|spread, show, meeting
51|2|2|Dialogue|가입하다|to sign up for|加入하다|add, enter, do
52|2|2|Dialogue|돌아다니다|to go around||turn, around
53|2|2|Dialogue|친하다|to be close||intimate
54|2|2|Dialogue|활동하다|to do an activity|活動하다|live, move, do
55|2|2|Expanded|국악|Korean traditional music|國樂|country, music
56|2|2|Expanded|발표회|presentation|發表會|emit, express, meeting
57|2|2|Expanded|연주회|performance|演奏會|perform, play, meeting
58|2|2|Expanded|합창|chorus|合唱|combine, sing
59|2|2|Expanded|회원|member|會員|meeting, member
60|2|2|Expanded|회장|president|會長|meeting, chief
61|2|2|Expanded|들다1|to join||enter
62|3|1|Dialogue|공간|space|空間|empty, between
63|3|1|Dialogue|단독주택|house|單獨住宅|single, alone, live, house
64|3|1|Dialogue|정원|garden|庭園|courtyard, garden
65|3|1|Dialogue|가꾸다|to grow||make, arrange
