Index|Lesson|Unit|Dialogue|Korean|English|Hanja|Explanation|Frequency
551|19|1|Dialogue|맞다|to greet||correct, hit|40
360|12|1|Dialogue|등|etcetera|等|equal|51
61|2|2|Expanded|들다1|to join||enter|102
108|4|1|Dialogue|들다2|to cost||enter|102
470|16|1|Dialogue|상황|situation|狀況|condition, situation|107
113|4|1|Expanded|잡다|to set||catch|135
94|3|2|Expanded|보이다1|to be seen||see|162
267|9|2|Dialogue|보이다2|to show||to be visible|162
372|12|2|Dialogue|갖다|to have||have|169
536|18|2|Dialogue|자신|confidence|自身|self, body|175
492|16|2|Dialogue|따르다|to follow||follow|177
345|11|2|Dialogue|믿다|to believe||trust|181
119|4|2|Dialogue|버리다|to throw away||throw|196
110|4|1|Dialogue|혹시|perhaps|或是|perhaps, be|235
237|8|2|Dialogue|내다|to make time||to take out|236
138|5|1|Expanded|결국|ultimately|結局|tie, situation|253
262|9|1|Expanded|빠지다1|to get (injured)||to fall into|257
566|19|2|Dialogue|빠지다|to get addicted to||fall into|257
84|3|2|Expanded|걸리다|to take time||hang|274
438|14|2|Dialogue|지키다|to mind (one's manners)||keep, guard|284
38|2|1|Dialogue|가능하다|to be possible|可能하다|able, ability, do|297
417|14|1|Dialogue|나누다|to share||divide|304
394|13|1|Dialogue|가격|price|價格|price, standard|315
227|8|1|Expanded|소식|light eating|小食|small, eat|317
19|1|2|Dialogue|궁금하다|to be curious|窮金하다|poor, money, do|322
297|10|1|Dialogue|나타나다|to reveal||to appear|333
285|9|2|Expanded|알리다|to let someone know||to inform|338
580|20|1|Dialogue|다양하다|to be diverse|多樣하다|many, form, do|341
441|15|1|Dialogue|가능성|possibility|可能性|able, ability, nature|343
295|10|1|Dialogue|표정|expression|表情|express, emotion|348
378|12|2|Dialogue|멋지다|to be fabulous||stylish|379
93|3|2|Expanded|바뀌다|to be changed||change|381
211|7|2|Expanded|작품|work of art|作品|make, item|393
91|3|2|Expanded|들리다|to be heard||hear|398
40|2|1|Dialogue|이용하다|to use|利用하다|benefit, use, do|400
340|11|2|Dialogue|기회|opportunity|機會|opportunity, meeting|417
312|10|2|Dialogue|걸다|to talk to||to hang|421
556|19|1|Dialogue|편|team|便|convenient|422
6|1|1|Dialogue|정보|information|情報|emotion, report|427
205|7|2|Dialogue|알려지다|to become known||to be known|447
524|18|1|Dialogue|꽤|very||quite|450
368|12|1|Dialogue|짜다|to set||make, weave|453
106|4|1|Dialogue|예정|plan|豫定|advance, decide|456
323|10|2|Expanded|풀다1|to solve||to untie|463
495|16|2|Dialogue|풀다|to solve||solve, untie|463
83|3|2|Dialogue|당연히|certainly|當然히|proper, natural, -ly|465
210|7|2|Expanded|무대|stage|舞臺|dance, platform|474
109|4|1|Dialogue|챙기다|to pack or to take||prepare|490
60|2|2|Expanded|회장|president|會長|meeting, chief|502
576|20|1|Dialogue|전국|nationwide|全國|entire, country|503
439|15|1|Dialogue|그동안|until now||that, during|532
429|14|2|Dialogue|가져오다|to bring||take, come|540
111|4|1|Expanded|싸다|to pack||wrap|555
62|3|1|Dialogue|공간|space|空間|empty, between|558
414|14|1|Dialogue|행사|event|行事|perform, matter|572
190|7|1|Dialogue|대단하다|to be great|大端하다|big, end, do|600
563|19|2|Dialogue|역할|role|役割|role, divide|617
581|20|1|Dialogue|살펴보다|to take a look||examine, see|628
603|20|2|Dialogue|덕분|thanks to|德分|virtue, portion|629
396|13|1|Dialogue|최대|the biggest|最大|most, big|637
468|15|2|Dialogue|구하다|to look for|求하다|seek, do|639
494|16|2|Dialogue|구하다|to ask for (advice)|求하다|seek, do|639
567|19|2|Dialogue|확실히|surely|確實히|certain, real, -ly|648
584|20|1|Expanded|파이팅|way to go||fighting|651
274|9|2|Expanded|맡다|to receive||to take charge|660
1|1|1|Dialogue|기술|technology|技術|skill, technique|662
521|18|1|Dialogue|양|portion|量|amount|670
534|18|2|Dialogue|부족하다|to lack|不足하다|not, enough, do|673
39|2|1|Dialogue|선택하다|to choose|選擇하다|choose, select, do|684
162|6|1|Dialogue|내려가다|to go down||down, go|686
277|9|2|Expanded|세우다|to raise||to make stand|694
450|15|1|Dialogue|목표|goal|目標|eye, mark|696
428|14|2|Dialogue|가져가다|to take||take, go|708
82|3|2|Dialogue|확실하다|to be sure|確實하다|certain, real, do|721
203|7|2|Dialogue|연기|acting|演技|perform, skill|729
276|9|2|Expanded|살리다|to save||to make live|731
206|7|2|Dialogue|표현하다|to express|表現하다|express, appear, do|739
99|3|2|Expanded|잡히다|to be caught||catch|753
533|18|2|Dialogue|자료|material|資料|material, material|755
212|7|2|Expanded|주제|theme|主題|main, topic|759
326|11|1|Dialogue|교육|education|教育|teach, educate|767
204|7|2|Dialogue|주인공|protagonist|主人公|main, person, public|784
145|5|2|Dialogue|간단하다|to be simple|簡單하다|simple, single, do|807
493|16|2|Dialogue|해결하다|to resolve|解決하다|solve, decide, do|808
232|8|1|Expanded|끊다|to quit||to cut off|810
311|10|2|Dialogue|진심|true heart|眞心|true, heart|813
292|9|2|Expanded|채우다|to fill||to fill up|824
118|4|2|Dialogue|두다|to leave||put|829
53|2|2|Dialogue|친하다|to be close||intimate|833
418|14|1|Dialogue|데리다|to bring with||accompany|836
112|4|1|Expanded|옮기다|to move||move|851
446|15|1|Dialogue|노력하다|to try|努力하다|effort, power, do|863
114|4|1|Expanded|정리하다|to organize|整理하다|arrange, reason, do|869
449|15|1|Dialogue|포기하다|to give up|抛棄하다|throw, abandon, do|874
310|10|2|Dialogue|장난|joke||play, mischief|877
574|20|1|Dialogue|기능|function|機能|skill, ability|881
487|16|2|Dialogue|자연스럽다|to be natural|自然스럽다|self, natural, -like|885
605|20|2|Dialogue|고생하다|to suffer|苦生하다|suffering, life, do|892
136|5|1|Dialogue|깜짝|with surprise||surprise|900
17|1|2|Dialogue|실력|skills|實力|real, power|901
34|2|1|Dialogue|개인적|personal|個人的|individual, person, -like|902
609|20|2|Dialogue|활용하다|to utilize|活用하다|live, use, do|910
377|12|2|Dialogue|놀랍다|to be amazing||surprise|920
555|19|1|Dialogue|이기다|to win||win|925
207|7|2|Dialogue|훌륭하다|to be superb or excellent||to be excellent|927
482|16|2|Dialogue|고민|worry|苦悶|suffering, distress|930
135|5|1|Dialogue|쳐다보다|to look at||hit, look|944
359|12|1|Dialogue|정하다|to decide|定하다|decide, do|993
530|18|1|Dialogue|차|round|次|order|998
281|9|2|Expanded|숨다|to hide||to hide oneself|1011
582|20|1|Dialogue|놓치다|to miss||miss|1013
261|9|1|Expanded|당하다|to suffer|當하다|correspond, do|1017
447|15|1|Dialogue|앞두다|to have something coming up||front, place|1022
158|6|1|Dialogue|기온|temperature|氣溫|air, warm|1035
2|1|1|Dialogue|꿈|dream||native Korean root|1045
338|11|1|Dialogue|조사하다|to investigate|調査하다|investigate, examine, do|1057
95|3|2|Expanded|쌓이다|to be accumulated||pile|1061
286|9|2|Expanded|울리다|to make someone cry||to make cry|1065
186|6|2|Expanded|쓰러지다|to collapse||to fall down|1084
335|11|1|Dialogue|원인|cause|原因|origin, cause|1089
105|4|1|Dialogue|비용|cost|費用|expense, use|1120
49|2|2|Dialogue|각자|each|各自|each, self|1127
339|11|1|Dialogue|지원하다|to apply|志願하다|will, wish, do|1147
324|10|2|Expanded|풀리다|to become solved||to be untied|1154
423|14|1|Dialogue|축제|festival|祝祭|celebrate, ceremony|1178
139|5|1|Expanded|괜히|uselessly||needlessly|1183
485|16|2|Dialogue|점수|grade|點數|point, number|1203
129|5|1|Dialogue|기본적|basic|基本的|foundation, main, -like|1210
607|20|2|Dialogue|아끼다|to save||save, cherish|1216
280|9|2|Expanded|숨기다|to hide something||to conceal|1223
475|16|1|Dialogue|깔끔하다|to be clean||clean|1229
347|11|2|Dialogue|추천하다|to recommend|推薦하다|push, recommend, do|1242
89|3|2|Expanded|놓이다|to be placed||place|1268
193|7|1|Dialogue|그리|not very||not so|1271
405|13|2|Dialogue|고객|customer|顧客|look, customer|1272
179|6|2|Dialogue|촬영하다|to take a photograph or to film|撮影하다|take, shadow, do|1274
18|1|2|Dialogue|최선|best|最善|most, good|1283
86|3|2|Expanded|꺼지다|to be turned off||extinguish|1286
440|15|1|Dialogue|그만두다|to quit||stop, quit|1310
221|8|1|Dialogue|대충|haphazardly||roughly|1318
444|15|1|Dialogue|이루다|to achieve||achieve|1319
564|19|2|Dialogue|요새|these days||these days|1327
254|9|1|Dialogue|다행히|fortunately|多幸히|much, luck, adverb|1329
537|18|2|Dialogue|불가능하다|to be impossible|不可能하다|not, able, ability, do|1333
381|12|2|Dialogue|평범하다|to be ordinary|平凡하다|flat, ordinary, do|1348
509|17|2|Dialogue|꾸다|to borrow||borrow|1373
578|20|1|Dialogue|앱|app||app|1374
554|19|1|Dialogue|날리다|to fly||fly|1380
336|11|1|Dialogue|장점|merits|長點|long, point|1383
374|12|2|Dialogue|자유롭다|to be free|自由롭다|self, from, -like|1392
127|4|2|Expanded|가득하다|to be full||full|1393
52|2|2|Dialogue|돌아다니다|to go around||turn, around|1415
508|17|2|Dialogue|갚다|to pay back||repay|1435
291|9|2|Expanded|죽이다|to kill||to make die|1436
465|15|2|Dialogue|내내|throughout||throughout|1439
214|7|2|Expanded|신나다|to be excited||spirit, come out|1454
22|1|2|Dialogue|뛰어나다|to be excellent||jump, out|1463
12|1|1|Expanded|성적|grades|成績|achieve, record|1464
293|9|2|Expanded|태우다|to make someone ride||to make ride|1492
20|1|2|Dialogue|긴장되다|to be nervous|緊張되다|tight, stretch, become|1527
32|1|2|Expanded|도전하다|to challenge|挑戰하다|challenge, war, do|1531
406|13|2|Dialogue|소비자|consumer|消費者|use, spend, person|1538
287|9|2|Expanded|웃기다|to make someone laugh||to make laugh|1551
511|17|2|Dialogue|솔직하다|to be honest|率直하다|lead, straight, do|1554
141|5|1|Expanded|잔뜩|to the full||full|1567
202|7|2|Dialogue|세계적|world-class|世界的|world, boundary, target|1569
369|12|2|Dialogue|대표적|representative|代表的|represent, mark, -like|1575
218|8|1|Dialogue|습관|habit|習慣|learn, accustom|1590
314|10|2|Dialogue|사과하다|to apologize|謝過하다|thank, fault, do|1602
388|13|1|Dialogue|귀찮다|to be bothersome||annoying|1616
448|15|1|Dialogue|응원하다|to cheer|應援하다|respond, help, do|1632
404|13|2|Dialogue|아깝다|to be a waste of||regrettable|1638
