Index|Lesson|Unit|Dialogue|Korean|English|Hanja|Explanation|Korean Chunk 1|English Chunk 1|Korean Chunk 2|English Chunk 2|Frequency
551|19|1|Dialogue|맞다|to greet||correct, hit|손님을 맞다|to greet guests|아침을 맞다|to greet the morning|40
360|12|1|Dialogue|등|etcetera|等|equal|책, 공책 등|books, notebooks, etc.|등등|and so on|51
61|2|2|Expanded|들다1|to join||enter|동아리에 들다|to join a club|들어오세요|please come in|102
108|4|1|Dialogue|들다2|to cost||enter|돈이 많이 들다|to cost a lot of money|얼마나 들어요?|how much does it cost?|102
470|16|1|Dialogue|상황|situation|狀況|condition, situation|어려운 상황|difficult situation|상황을 설명하다|to explain the situation|107
113|4|1|Expanded|잡다|to set||catch|날짜를 잡다|to set a date|예약을 잡다|to make a reservation|135
94|3|2|Expanded|보이다1|to be seen||see|멀리 보이다|to be seen from afar|잘 안 보여요|I can't see well|162
267|9|2|Dialogue|보이다2|to show||to be visible|사진을 보이다|to show a photo|보여 주세요|please show me|162
372|12|2|Dialogue|갖다|to have||have|생각을 갖다|to have thoughts|갖고 있어요|I have it|169
536|18|2|Dialogue|자신|confidence|自身|self, body|자신이 있다|to have confidence|자신 없어요|I don't have confidence|175
492|16|2|Dialogue|따르다|to follow||follow|조언을 따르다|to follow advice|따라 하세요|please follow|177
345|11|2|Dialogue|믿다|to believe||trust|사람을 믿다|to trust someone|믿어 주세요|please believe me|181
119|4|2|Dialogue|버리다|to throw away||throw|쓰레기를 버리다|to throw away trash|버려야 해요|I need to throw it away|196
110|4|1|Dialogue|혹시|perhaps|或是|perhaps, be|혹시 아세요?|do you perhaps know?|혹시 몰라서|just in case|235
237|8|2|Dialogue|내다|to make time||to take out|시간을 내다|to make time|시간 좀 내 주세요|please make some time|236
138|5|1|Expanded|결국|ultimately|結局|tie, situation|결국 성공했다|ultimately succeeded|결국 포기했어요|I gave up in the end|253
262|9|1|Expanded|빠지다1|to get (injured)||to fall into|물에 빠지다|to fall into water|빠졌어요|I fell in|257
566|19|2|Dialogue|빠지다|to get addicted to||fall into|게임에 빠지다|to get addicted to games|빠져 있어요|I'm into it|257
84|3|2|Expanded|걸리다|to take time||hang|시간이 걸리다|to take time|30분 걸려요|it takes 30 minutes|274
438|14|2|Dialogue|지키다|to mind (one's manners)||keep, guard|약속을 지키다|to keep a promise|규칙을 지켜요|I follow the rules|284
38|2|1|Dialogue|가능하다|to be possible|可能하다|able, ability, do|예약이 가능하다|reservation is possible|가능한 시간|available time|297
417|14|1|Dialogue|나누다|to share||divide|의견을 나누다|to share opinions|이야기를 나눴어요|we shared stories|304
394|13|1|Dialogue|가격|price|價格|price, standard|가격이 비싸다|the price is expensive|가격을 확인하다|to check the price|315
227|8|1|Expanded|소식|light eating|小食|small, eat|소식하는 습관|habit of eating light|소식이 건강에 좋다|eating light is good for health|317
19|1|2|Dialogue|궁금하다|to be curious|窮金하다|poor, money, do|정말 궁금하다|really curious|궁금한 게 있어요|I have something I'm curious about|322
297|10|1|Dialogue|나타나다|to reveal||to appear|증상이 나타나다|symptoms appear|나타났어요|it appeared|333
285|9|2|Expanded|알리다|to let someone know||to inform|소식을 알리다|to inform news|알려 주세요|please let me know|338
580|20|1|Dialogue|다양하다|to be diverse|多樣하다|many, form, do|다양한 종류|diverse types|다양해요|it's diverse|341
441|15|1|Dialogue|가능성|possibility|可能性|able, ability, nature|가능성이 있다|there's a possibility|가능성이 높아요|the possibility is high|343
295|10|1|Dialogue|표정|expression|表情|express, emotion|밝은 표정|bright expression|표정이 어둡다|expression is dark|348
378|12|2|Dialogue|멋지다|to be fabulous||stylish|정말 멋지다|really fabulous|멋진 풍경|fabulous scenery|379
93|3|2|Expanded|바뀌다|to be changed||change|계획이 바뀌다|plans change|많이 바뀌었어요|it changed a lot|381
211|7|2|Expanded|작품|work of art|作品|make, item|예술 작품|work of art|작품을 만들다|to create a work|393
91|3|2|Expanded|들리다|to be heard||hear|소리가 들리다|sound is heard|잘 안 들려요|I can't hear well|398
40|2|1|Dialogue|이용하다|to use|利用하다|benefit, use, do|시설을 이용하다|to use facilities|이용해 보세요|please try using it|400
340|11|2|Dialogue|기회|opportunity|機會|opportunity, meeting|좋은 기회|good opportunity|기회를 놓치다|to miss an opportunity|417
312|10|2|Dialogue|걸다|to talk to||to hang|말을 걸다|to start a conversation|먼저 걸어 보세요|try talking first|421
556|19|1|Dialogue|편|team|便|convenient|우리 편|our team|편을 나누다|to divide into teams|422
6|1|1|Dialogue|정보|information|情報|emotion, report|개인 정보|personal information|정보를 검색하다|to search for information|427
205|7|2|Dialogue|알려지다|to become known||to be known|널리 알려지다|to be widely known|알려진 사실|known fact|447
524|18|1|Dialogue|꽤|very||quite|꽤 좋아요|it's quite good|꽤 오래됐어요|it's been quite a while|450
368|12|1|Dialogue|짜다|to set||make, weave|계획을 짜다|to make a plan|일정을 짰어요|I set the schedule|453
106|4|1|Dialogue|예정|plan|豫定|advance, decide|이사 예정|moving plan|예정대로 하다|to do as planned|456
323|10|2|Expanded|풀다1|to solve||to untie|문제를 풀다|to solve a problem|풀어 보세요|try solving it|463
495|16|2|Dialogue|풀다|to solve||solve, untie|문제를 풀다|to solve a problem|숙제를 풀었어요|I solved the homework|463
83|3|2|Dialogue|당연히|certainly|當然히|proper, natural, -ly|당연히 그래야죠|of course it should be|당연한 일|natural thing|465
210|7|2|Expanded|무대|stage|舞臺|dance, platform|무대 위|on stage|무대에 서다|to stand on stage|474
109|4|1|Dialogue|챙기다|to pack or to take||prepare|짐을 챙기다|to pack luggage|잘 챙겨 가세요|take care and go|490
60|2|2|Expanded|회장|president|會長|meeting, chief|학생회 회장|student council president|회장 선거|president election|502
576|20|1|Dialogue|전국|nationwide|全國|entire, country|전국 배송|nationwide delivery|전국에서 왔어요|they came from all over the country|503
439|15|1|Dialogue|그동안|until now||that, during|그동안 잘 지냈어요?|have you been well until now?|그동안 고마웠어요|thank you for everything until now|532
429|14|2|Dialogue|가져오다|to bring||take, come|우산을 가져오다|to bring an umbrella|내일 가져올게요|I'll bring it tomorrow|540
111|4|1|Expanded|싸다|to pack||wrap|짐을 싸다|to pack luggage|다 쌌어요|I packed everything|555
62|3|1|Dialogue|공간|space|空間|empty, between|넓은 공간|spacious space|공간이 부족하다|space is insufficient|558
414|14|1|Dialogue|행사|event|行事|perform, matter|문화 행사|cultural event|행사에 참여하다|to participate in an event|572
190|7|1|Dialogue|대단하다|to be great|大端하다|big, end, do|정말 대단하다|really great|대단한 사람|amazing person|600
563|19|2|Dialogue|역할|role|役割|role, divide|역할을 맡다|to take a role|역할이 중요해요|the role is important|617
581|20|1|Dialogue|살펴보다|to take a look||examine, see|자세히 살펴보다|to look closely|살펴봤어요|I looked at it|628
603|20|2|Dialogue|덕분|thanks to|德分|virtue, portion|당신 덕분에|thanks to you|덕분에 성공했어요|I succeeded thanks to (you)|629
396|13|1|Dialogue|최대|the biggest|最大|most, big|최대 할인|maximum discount|최대한 빨리|as quickly as possible|637
468|15|2|Dialogue|구하다|to look for|求하다|seek, do|집을 구하다|to look for a house|구하기 어려워요|it's hard to find|639
494|16|2|Dialogue|구하다|to ask for (advice)|求하다|seek, do|도움을 구하다|to ask for help|조언을 구했어요|I asked for advice|639
567|19|2|Dialogue|확실히|surely|確實히|certain, real, -ly|확실히 좋아요|it's definitely good|확실히 알아요|I know for sure|648
584|20|1|Expanded|파이팅|way to go||fighting|파이팅 해요!|let's go!|파이팅!|fighting!|651
274|9|2|Expanded|맡다|to receive||to take charge|일을 맡다|to take on work|맡았어요|I took charge|660
1|1|1|Dialogue|기술|technology|技術|skill, technique|정보 기술|information technology|기술이 발전하다|technology develops|662
521|18|1|Dialogue|양|portion|量|amount|양이 많다|the portion is large|양을 조절하다|to adjust the portion|670
534|18|2|Dialogue|부족하다|to lack|不足하다|not, enough, do|시간이 부족하다|time is lacking|부족한 점|lacking points|673
39|2|1|Dialogue|선택하다|to choose|選擇하다|choose, select, do|과목을 선택하다|to choose a subject|선택해 주세요|please choose|684
162|6|1|Dialogue|내려가다|to go down||down, go|열이 내려가다|fever goes down|가격이 내려갔어요|the price went down|686
277|9|2|Expanded|세우다|to raise||to make stand|차를 세우다|to stop a car|세워 주세요|please stop it|694
450|15|1|Dialogue|목표|goal|目標|eye, mark|목표를 세우다|to set a goal|목표가 뭐예요?|what's your goal?|696
428|14|2|Dialogue|가져가다|to take||take, go|책을 가져가다|to take a book|집에 가져갔어요|I took it home|708
82|3|2|Dialogue|확실하다|to be sure|確實하다|certain, real, do|확실한 정보|certain information|확실히 알다|to know for sure|721
203|7|2|Dialogue|연기|acting|演技|perform, skill|훌륭한 연기|excellent acting|연기가 자연스럽다|acting is natural|729
276|9|2|Expanded|살리다|to save||to make live|생명을 살리다|to save a life|살려 주세요|please save me|731
206|7|2|Dialogue|표현하다|to express|表現하다|express, appear, do|감정을 표현하다|to express emotions|잘 표현했어요|you expressed it well|739
99|3|2|Expanded|잡히다|to be caught||catch|범인이 잡히다|the culprit is caught|잡혔어요|got caught|753
533|18|2|Dialogue|자료|material|資料|material, material|자료를 찾다|to look for materials|자료를 준비하다|to prepare materials|755
212|7|2|Expanded|주제|theme|主題|main, topic|영화 주제|movie theme|주제를 정하다|to decide on a theme|759
326|11|1|Dialogue|교육|education|教育|teach, educate|대학 교육|university education|교육을 받다|to receive education|767
204|7|2|Dialogue|주인공|protagonist|主人公|main, person, public|영화 주인공|movie protagonist|주인공 역할|protagonist role|784
145|5|2|Dialogue|간단하다|to be simple|簡單하다|simple, single, do|간단한 식사|simple meal|간단하게 먹다|to eat simply|807
493|16|2|Dialogue|해결하다|to resolve|解決하다|solve, decide, do|문제를 해결하다|to solve a problem|해결했어요|I resolved it|808
232|8|1|Expanded|끊다|to quit||to cut off|담배를 끊다|to quit smoking|끊기 힘들어요|it's hard to quit|810
311|10|2|Dialogue|진심|true heart|眞心|true, heart|진심으로 말하다|to speak sincerely|진심이에요|I'm serious|813
292|9|2|Expanded|채우다|to fill||to fill up|물을 채우다|to fill with water|채워 주세요|please fill it|824
118|4|2|Dialogue|두다|to leave||put|여기 두다|to leave here|그냥 둬요|just leave it|829
53|2|2|Dialogue|친하다|to be close||intimate|친한 친구|close friend|친하게 지내다|to be on close terms|833
418|14|1|Dialogue|데리다|to bring with||accompany|아이를 데리다|to bring a child|친구를 데리고 가요|I'm bringing a friend|836
112|4|1|Expanded|옮기다|to move||move|짐을 옮기다|to move luggage|옮겨 놓다|to move and place|851
446|15|1|Dialogue|노력하다|to try|努力하다|effort, power, do|열심히 노력하다|to try hard|노력하고 있어요|I'm trying|863
114|4|1|Expanded|정리하다|to organize|整理하다|arrange, reason, do|방을 정리하다|to organize the room|정리가 안 돼요|it's not organized|869
449|15|1|Dialogue|포기하다|to give up|抛棄하다|throw, abandon, do|꿈을 포기하다|to give up a dream|포기하지 마세요|don't give up|874
310|10|2|Dialogue|장난|joke||play, mischief|장난 아니야|it's no joke|장난치지 마세요|don't joke around|877
574|20|1|Dialogue|기능|function|機能|skill, ability|다양한 기능|various functions|기능이 좋아요|the function is good|881
487|16|2|Dialogue|자연스럽다|to be natural|自然스럽다|self, natural, -like|자연스러운 표현|natural expression|자연스럽게 말해요|I speak naturally|885
605|20|2|Dialogue|고생하다|to suffer|苦生하다|suffering, life, do|많이 고생하다|to suffer a lot|고생했어요|you've been through a lot|892
136|5|1|Dialogue|깜짝|with surprise||surprise|깜짝 놀라다|to be startled|깜짝이야!|what a surprise!|900
17|1|2|Dialogue|실력|skills|實力|real, power|한국어 실력|Korean language skills|실력이 늘다|skills improve|901
34|2|1|Dialogue|개인적|personal|個人的|individual, person, -like|개인적인 문제|personal problem|개인적으로 생각해요|I personally think|902
609|20|2|Dialogue|활용하다|to utilize|活用하다|live, use, do|자료를 활용하다|to utilize materials|잘 활용하세요|please utilize it well|910
377|12|2|Dialogue|놀랍다|to be amazing||surprise|정말 놀랍다|really amazing|놀라운 일|amazing thing|920
555|19|1|Dialogue|이기다|to win||win|게임에 이기다|to win a game|이겼어요!|I won!|925
207|7|2|Dialogue|훌륭하다|to be superb or excellent||to be excellent|정말 훌륭하다|really excellent|훌륭한 작품|excellent work|927
482|16|2|Dialogue|고민|worry|苦悶|suffering, distress|고민이 있다|to have a worry|고민을 상담하다|to consult about worries|930
135|5|1|Dialogue|쳐다보다|to look at||hit, look|계속 쳐다보다|to keep staring|쳐다보지 마세요|don't stare|944
359|12|1|Dialogue|정하다|to decide|定하다|decide, do|날짜를 정하다|to decide a date|정해 주세요|please decide|993
530|18|1|Dialogue|차|round|次|order|1차 모임|first round gathering|2차 가실래요?|shall we go to the second round?|998
281|9|2|Expanded|숨다|to hide||to hide oneself|어디 숨다|to hide somewhere|숨었어요|I hid|1011
582|20|1|Dialogue|놓치다|to miss||miss|기회를 놓치다|to miss an opportunity|버스를 놓쳤어요|I missed the bus|1013
261|9|1|Expanded|당하다|to suffer|當하다|correspond, do|사고를 당하다|to suffer an accident|당했어요|I suffered it|1017
447|15|1|Dialogue|앞두다|to have something coming up||front, place|시험을 앞두다|to have an exam coming up|출발을 앞두고|before departure|1022
158|6|1|Dialogue|기온|temperature|氣溫|air, warm|오늘 기온|today's temperature|기온이 떨어지다|temperature drops|1035
2|1|1|Dialogue|꿈|dream||native Korean root|어릴 적 꿈|childhood dream|꿈을 이루다|to achieve a dream|1045
338|11|1|Dialogue|조사하다|to investigate|調査하다|investigate, examine, do|사건을 조사하다|to investigate a case|조사해 볼게요|I'll investigate|1057
95|3|2|Expanded|쌓이다|to be accumulated||pile|눈이 쌓이다|snow accumulates|쌓인 먼지|accumulated dust|1061
286|9|2|Expanded|울리다|to make someone cry||to make cry|아기를 울리다|to make a baby cry|울리지 마세요|don't make them cry|1065
186|6|2|Expanded|쓰러지다|to collapse||to fall down|갑자기 쓰러지다|to suddenly collapse|쓰러졌어요|I collapsed|1084
335|11|1|Dialogue|원인|cause|原因|origin, cause|사고 원인|accident cause|원인을 찾다|to find the cause|1089
105|4|1|Dialogue|비용|cost|費用|expense, use|이사 비용|moving cost|비용이 들다|cost is incurred|1120
49|2|2|Dialogue|각자|each|各自|each, self|각자 준비하다|each person prepares|각자 할 일|each person's task|1127
339|11|1|Dialogue|지원하다|to apply|志願하다|will, wish, do|회사에 지원하다|to apply to a company|지원했어요|I applied|1147
324|10|2|Expanded|풀리다|to become solved||to be untied|오해가 풀리다|misunderstanding is resolved|다 풀렸어요|it's all resolved|1154
423|14|1|Dialogue|축제|festival|祝祭|celebrate, ceremony|음악 축제|music festival|축제가 열려요|a festival is held|1178
139|5|1|Expanded|괜히|uselessly||needlessly|괜히 걱정하다|to worry needlessly|괜히 그랬어요|I did it for nothing|1183
485|16|2|Dialogue|점수|grade|點數|point, number|점수가 높다|the grade is high|점수를 받다|to receive a grade|1203
129|5|1|Dialogue|기본적|basic|基本的|foundation, main, -like|기본적인 예의|basic etiquette|기본적으로 알다|to know basically|1210
607|20|2|Dialogue|아끼다|to save||save, cherish|돈을 아끼다|to save money|아껴 쓰세요|use it sparingly|1216
280|9|2|Expanded|숨기다|to hide something||to conceal|사실을 숨기다|to hide the truth|숨기지 마세요|don't hide it|1223
475|16|1|Dialogue|깔끔하다|to be clean||clean|방이 깔끔하다|the room is clean|깔끔한 스타일|clean style|1229
347|11|2|Dialogue|추천하다|to recommend|推薦하다|push, recommend, do|친구에게 추천하다|to recommend to a friend|추천해 주세요|please recommend|1242
89|3|2|Expanded|놓이다|to be placed||place|책상 위에 놓이다|to be placed on the desk|놓여 있어요|it's placed|1268
193|7|1|Dialogue|그리|not very||not so|그리 좋지 않다|not very good|그리 멀지 않아요|it's not very far|1271
405|13|2|Dialogue|고객|customer|顧客|look, customer|고객 센터|customer center|고객을 응대하다|to serve customers|1272
179|6|2|Dialogue|촬영하다|to take a photograph or to film|撮影하다|take, shadow, do|엑스레이를 촬영하다|to take an X-ray|촬영해 보겠습니다|let's take a picture|1274
18|1|2|Dialogue|최선|best|最善|most, good|최선을 다하다|to do one's best|최선의 노력|best effort|1283
86|3|2|Expanded|꺼지다|to be turned off||extinguish|불이 꺼지다|the light goes off|꺼져 있어요|it's turned off|1286
440|15|1|Dialogue|그만두다|to quit||stop, quit|일을 그만두다|to quit a job|그만뒀어요|I quit|1310
221|8|1|Dialogue|대충|haphazardly||roughly|대충 하다|to do roughly|대충 먹었어요|I ate roughly|1318
444|15|1|Dialogue|이루다|to achieve||achieve|꿈을 이루다|to achieve a dream|목표를 이뤘어요|I achieved my goal|1319
564|19|2|Dialogue|요새|these days||these days|요새 어때요?|how are you these days?|요새 바빠요|I'm busy these days|1327
254|9|1|Dialogue|다행히|fortunately|多幸히|much, luck, adverb|다행히 찾았다|fortunately found it|다행히 괜찮아요|fortunately it's okay|1329
537|18|2|Dialogue|불가능하다|to be impossible|不可能하다|not, able, ability, do|불가능한 일|impossible thing|불가능해요|it's impossible|1333
381|12|2|Dialogue|평범하다|to be ordinary|平凡하다|flat, ordinary, do|평범한 사람|ordinary person|평범하게 살다|to live ordinarily|1348
509|17|2|Dialogue|꾸다|to borrow||borrow|돈을 꾸다|to borrow money|친구한테 꿨어요|I borrowed from a friend|1373
578|20|1|Dialogue|앱|app||app|앱을 다운받다|to download an app|유용한 앱|useful app|1374
554|19|1|Dialogue|날리다|to fly||fly|연을 날리다|to fly a kite|바람에 날렸어요|it flew in the wind|1380
336|11|1|Dialogue|장점|merits|長點|long, point|큰 장점|major advantage|장점을 살리다|to utilize strengths|1383
374|12|2|Dialogue|자유롭다|to be free|自由롭다|self, from, -like|자유로운 여행|free travel|자유롭게 다니다|to go around freely|1392
127|4|2|Expanded|가득하다|to be full||full|쓰레기가 가득하다|trash is full|가득 찼어요|it's full|1393
52|2|2|Dialogue|돌아다니다|to go around||turn, around|여기저기 돌아다니다|to go around here and there|돌아다니면서 구경하다|to look around while going around|1415
508|17|2|Dialogue|갚다|to pay back||repay|빚을 갚다|to pay back a debt|갚을게요|I'll pay you back|1435
291|9|2|Expanded|죽이다|to kill||to make die|벌레를 죽이다|to kill a bug|죽이지 마세요|don't kill it|1436
