Rank|Word
1|있다
2|것
3|하다
4|되다
5|수
6|그
7|없다
8|않다
9|같다
10|이
11|거
12|아
13|우리
14|이렇다
15|때
16|더
17|진짜
18|너무
19|또
20|그렇다
21|좋다
22|알다
23|먹다
24|왜
25|사람
26|어떻다
27|많이
28|싶다
29|많다
30|때문
31|오늘
32|받다
33|뭐
34|만들다
35|그냥
36|오다
37|생각
38|생각하다
39|씨
40|야
41|앵커
42|대하다
43|등
44|위하다
45|두
46|못
47|다시
48|말하다
49|못하다
50|들어가다
51|맞다
52|그거
53|예
54|친구
55|집
56|안
57|조금
58|맛있다
59|앞
60|여러분
61|시간
62|어디
63|엄마
64|중
65|괜찮다
66|소리
67|가다
68|마음
69|좋아하다
70|아이
71|같이
72|처음
73|응
74|뒤
75|찾다
76|문제
77|저희
78|누구
79|정도
80|가장
81|아직
82|시작하다
83|눈
84|웃음
85|계속
86|명
87|넣다
88|형
89|상황
90|잘하다
91|곳
92|경우
93|그때
94|미국
95|라
96|음악
97|아주
98|모습
99|몇
100|딱
101|먼저
102|대통령
103|오
104|감사하다
105|빨리
106|그것
107|보내다
108|막
109|나가다
110|잡다
111|보이다
112|굉장히
113|지금
114|년
115|위
116|모르다
117|안녕하다
118|중요하다
119|힘들다
120|번째
121|얼굴
122|들어오다
123|얘기하다
124|선생님
125|시
126|아빠
127|죽다
128|부분
129|끝나다
130|손
131|마지막
132|떨어지다
133|예쁘다
134|줄
135|속
136|얘
137|그녀
138|머리
139|꼭
140|동안
141|찍다
142|갖다
143|끝
144|이유
145|언니
146|따르다
147|없이
148|엄청
149|나
150|고맙다
151|말
152|믿다
153|첫
154|적
155|학교
156|어제
157|돈
158|원래
159|아까
160|사용하다
161|터
162|자신
163|앉다
164|아버지
165|혼자
166|자리
167|최근
168|책
169|탄성
170|방법
171|내용
172|요즘
173|쪽
174|세계
175|아무
176|웃다
177|어렵다
178|당신
179|높다
180|상태
181|일어나다
182|말씀
183|역시
184|지역
185|쉽다
186|이후
187|밥
188|혹시
189|느끼다
190|직접
191|해보다
192|듣다
193|학생
194|기다리다
195|만나다
196|밖
197|어느
198|아침
199|중국
200|대표
201|옆
202|하루
203|너
204|재밌다
205|읽다
206|정부
207|언제
208|현재
209|사랑하다
210|결국
211|새롭다
212|필요하다
213|의원
214|목소리
215|특히
216|호응
217|너희
218|제품
219|올라가다
220|귀엽다
221|순간
222|크다
223|맛
224|가족
225|돌아오다
226|일
227|회사
228|싫다
229|보다
230|미안하다
231|당시
232|후
233|준비하다
234|어린이
235|열심히
236|살짝
237|잠깐
238|들다
239|돌아가다
240|어머니
241|무엇
242|지키다
243|확인하다
244|고개
245|시키다
246|기자
247|억
248|뜻
249|항상
250|기억
251|음식
252|안녕
253|후보
254|저
255|무섭다
256|잠시
257|비슷하다
258|나쁘다
259|궁금하다
260|부르다
261|얼마
262|과정
263|영화
264|빠지다
265|자체
266|옷
267|살다
268|아마
269|만
270|남다
271|가격
272|날
273|남자
274|번
275|가능하다
276|우리나라
277|다르다
278|움직이다
279|죄송하다
280|원하다
281|소식
282|만큼
283|애
284|지
285|사진
286|새끼
287|맞추다
288|다양하다
289|학년
290|나타나다
291|얻다
292|올해
293|빠르다
294|전화
295|준비
296|표정
297|느낌
298|입다
299|선배
300|가능성
301|질문
302|계획
303|모양
304|선수
305|물어보다
306|훨씬
307|전혀
308|아니다
309|병원
310|아프다
311|할머니
312|효과음
313|국민
314|걱정
315|안되다
316|의미
317|말다
318|원
319|바라보다
320|분
321|아유
322|관심
323|멈추다
324|대부분
325|멋지다
326|기분
327|현장
328|나다
329|약
330|보통
331|저거
332|주변
333|들리다
334|붙다
335|다리
336|행복하다
337|작품
338|하늘
339|뿐
340|오후
341|설명하다
342|똑같다
343|이상하다
344|막다
345|열다
346|올리다
347|이용하다
348|입장
349|장
350|놓다
351|도와주다
352|전하다
353|그러다
354|드리다
355|냄새
356|땅
357|여자
358|아저씨
359|곧
360|이곳
361|기회
362|떠나다
363|인생
364|오히려
365|수사
366|시작
367|기사
368|입
369|정보
370|묻다
371|알아보다
372|대박
373|게임
374|듯
375|방
376|뽑다
377|카메라
378|말씀드리다
379|시작되다
380|셋
381|대상
382|초
383|자꾸
384|시장
385|엄청나다
386|월
387|북한
388|알리다
389|아무것
390|운동
391|직원
392|올라오다
393|풀다
394|발생하다
395|서울
396|당연히
397|여성
398|층
399|이해하다
400|방식
401|관계
402|저녁
403|멋있다
404|챙기다
405|꺼내다
406|예정
407|알려지다
408|결과
409|듯하다
410|본인
411|이어지다
412|멤버
413|걸다
414|여행
415|완전히
416|전체
417|스스로
418|놀다
419|도착하다
420|검찰
421|인사
422|재미있다
423|여전히
424|당장
425|식
426|인간
427|편하다
428|요
429|컬러
430|관련
431|방금
432|늦다
433|고
434|제발
435|형님
436|촬영
437|환자
438|달다
439|왜냐하면
440|내다
441|잊다
442|날씨
443|밑
444|방송
445|신음
446|녀석
447|회장
448|조
449|점점
450|모두
451|바닥
452|거리
453|넘어가다
454|전국
455|사랑
456|총
457|아무리
458|검사
459|국내
460|잘못
461|동생
462|넘다
463|가져오다
464|예전
465|행동
466|꽤
467|배우다
468|손님
469|그동안
470|개월
471|만하다
472|영어
473|저렇다
474|계시다
475|기업
476|차량
477|가깝다
478|짧다
479|새벽
480|인기
481|솔직히
482|특파원
483|영향
484|능력
485|의견
486|마리
487|공간
488|말씀하다
489|대화
490|위험하다
491|상당히
492|나무
493|대답하다
494|숨소리
495|작가
496|찾아오다
497|감정
498|신경
499|즐겁다
500|계속하다
501|단계
502|평소
503|의사
504|천천히
505|중심
506|과연
507|남편
508|차례
509|밝다
510|뉴스
511|혐의
512|대단하다
513|작업
514|반응
515|마치
516|국가
517|부모님
518|마을
519|대체
520|마찬가지
521|국회
522|전쟁
523|나이
524|진행하다
525|아름답다
526|확실히
527|지나가다
528|놈
529|할아버지
530|어울리다
531|아쉽다
532|기억하다
533|이야기하다
534|아파트
535|차이
536|비싸다
537|형사
538|설명
539|효과
540|적다
541|한숨
542|감독
543|깊다
544|바쁘다
545|역할
546|과거
547|파이팅
548|의혹
549|빛
550|덕분
551|활동
552|법
553|신기하다
554|걱정하다
555|생기다
556|표현
557|수업
558|프로그램
559|동시
560|피해자
561|살펴보다
562|커피
563|가까이
564|울다
565|캐릭터
566|포인트
567|태어나다
568|도시
569|경험
570|발표하다
571|기준
572|양
573|정확하다
574|내일
575|기술
576|방향
577|따뜻하다
578|내놓다
579|부드럽다
580|근처
581|소개하다
582|겪다
583|맡다
584|눈물
585|카드
586|수준
587|부족하다
588|자식
589|니
590|꽃
591|내려가다
592|늘어나다
593|던지다
594|선택하다
595|바뀌다
596|뜨겁다
597|면
598|조심하다
599|완벽하다
600|박
601|붙이다
602|떠오르다
603|러시아
604|행사
605|회
606|미리
607|발견하다
608|충분히
609|어깨
610|가져가다
611|선물
612|다니다
613|길
614|당연하다
615|교수
616|선택
617|옛날
618|장소
619|및
620|연락
621|짓다
622|아무튼
623|분명히
624|성공하다
625|가방
626|확실하다
627|아내
628|장관
629|낮
630|늘다
631|인터넷
632|연기
633|표현하다
634|축하하다
635|장면
636|살리다
637|속도
638|가볍다
639|관련하다
640|여름
641|세우다
642|예수
643|더욱
644|호텔
645|반갑다
646|하나
647|가르치다
648|정신
649|호응하다
650|증거
651|다섯
652|잡히다
653|아휴
654|무겁다
655|변호사
656|댓글
657|이루어지다
658|버리다
659|어차피
660|화장실
661|거짓말
662|지원
663|시험
664|왼쪽
665|지켜보다
666|왕
667|다행
668|동물
669|금방
670|환경
671|진행되다
672|받아들이다
673|색깔
674|목
675|주제
676|키
677|주장하다
678|설마
679|어떡
680|존재
681|낫다
682|변화
683|주인공
684|간단하다
685|자료
686|구하다
687|유저
688|어둡다
689|나오다
690|참다
691|실제
692|나서다
693|교육
694|쉬다
695|진심
696|젊다
697|단어
698|공부
699|로봇
700|특별하다
701|부모
702|쭉
703|건물
704|가치
705|결정
706|없어지다
707|가지다
708|목표
709|기록
710|담다
711|끊다
712|사업
713|규모
714|즉
715|돌다
716|스타일
717|채우다
718|타다
719|해결하다
720|시스템
721|멀리
722|흥미롭다
723|대회
724|뛰다
725|만약
726|불편하다
727|기대하다
728|자연스럽다
729|다녀오다
730|발견되다
731|트럼프
732|찾아보다
733|우주
734|함께하다
735|상대
736|오른쪽
737|호
738|약속
739|공격
740|연습
741|도대체
742|드라마
743|시선
744|인하다
745|각
746|그저
747|서비스
748|역사
749|공부하다
750|참여하다
751|주장
752|대학
753|즐기다
754|상처
755|논란
756|일으키다
757|정리하다
758|강하다
759|개인적
760|기능
761|끌다
762|교회
763|반드시
764|넓다
765|시원하다
766|고생하다
767|죽음
768|반
769|노력하다
770|지구
771|위치
772|깜짝
773|벽
774|범인
775|결정하다
776|싫어하다
777|와인
778|식사
779|뻔하다
780|활용하다
781|버스
782|등장하다
783|포기하다
784|자동차
785|이르다
786|문화
787|터지다
788|노력
789|쳐다보다
790|인정하다
791|컴퓨터
792|마법
793|고민
794|대한민국
795|막히다
796|분명
797|요리
798|관리
799|배우
800|사과
801|공개하다
802|드러나다
803|리
804|실력
805|손가락
806|해외
807|핵심
808|시리즈
809|그치
810|사용
811|놀랍다
812|르
