Index|순위|단어|품사|풀이|등급
1|1|것01|의||A
2|2|하다01|동||A
3|3|있다01|보||A
4|4|있다01|형||A
5|5|되다01|동|어른이 ~|A
6|6|수02|의|방법|A
7|7|하다01|보||A
8|8|나03|대||A
9|9|그01|관||A
10|10|없다01|형||A
11|11|않다|보||A
12|12|사람|명||A
13|13|우리03|대||A
14|14|이05|관||A
15|15|그01|대||A
16|16|아니다|형||A
17|17|보다01|동||A
18|19|때01|명|시간|A
19|20|거01|의|것|A
20|21|보다01|보||A
21|22|같다|형||A
22|23|주다01|보||A
23|25|가다01|동||A
24|26|년02|의|年|A
25|27|한01|관||A
26|28|말01|명|~과 글|A
27|29|일01|명||A
28|30|이05|대||A
29|31|때문|의||A
30|32|말하다|동||A
31|34|그러나|부||A
32|35|오다01|동||A
33|36|알다|동||A
34|37|씨07|의|氏|A
35|38|그렇다|형||A
36|39|크다01|형||A
37|40|또|부||A
38|41|일07|의|하루|A
39|43|많다|형||A
40|44|안02|부|아니|A
41|45|좋다01|형||A
42|46|더01|부||A
43|47|받다01|동|선물을 ~|A
44|48|그것|대||A
45|49|집01|명||A
46|50|나오다|동||A
47|52|그리고|부||A
48|53|문제06|명|問題|A
49|55|살다01|동||A
50|56|저03|대|일인칭 대명사|A
51|57|못하다|보||A
52|58|생각하다|동||A
53|59|모르다|동||A
54|60|속01|명||A
55|61|만들다|동||A
56|63|두01|관||A
57|64|앞|명||A
58|67|어떤|관||A
59|68|잘02|부||A
60|70|먹다02|동|밥을 ~|A
61|71|오다01|보||A
62|74|원01|의|화폐 단위|A
63|75|생각01|명||A
64|76|어떻다|형||A
65|77|명03|의|名. 한 ~|A
66|81|다시01|부||A
67|82|다른|관||A
68|83|이런01|관||A
69|84|여자02|명|女子|A
70|85|개10|의|個|A
71|87|뒤01|명||A
72|88|듣다01|동|소리를 ~|A
73|89|다03|부||A
74|90|좀02|부|조금|A
75|91|들다01|동|여관에 ~|A
76|92|싶다|보||A
77|94|가지다|동||A
78|95|함께|부||A
79|96|아이01|명||A
80|98|많이|부||A
81|99|시간04|명|時間|A
82|100|너01|대||A
83|101|주다01|동||A
84|104|나다01|동||A
85|105|이렇다|형||A
86|106|어머니01|명||A
87|107|눈01|명|신체의 일부|A
88|108|뭐|대||A
89|112|다음01|명||A
90|114|누구|대||A
91|115|전08|명|前|A
92|116|곳01|명||A
93|117|여러|관||A
94|118|안01|명|집 ~|A
95|119|하나|수||A
96|121|버리다01|보||A
97|122|위01|명|~아래|A
98|123|운동02|명|運動|A
99|124|퍼센트|의|percent|A
100|125|학교|명|學校|A
101|127|가장01|부||A
102|130|들다04|동|꽃을 ~|A
103|131|시작하다01|동|始作-|A
104|132|바로02|부||A
105|133|어느01|관||A
106|134|그래서|부||A
107|135|무엇|대||A
108|137|모든|관||A
109|138|번04|의|番|A
110|139|그거|대||A
111|140|돈01|명||A
112|142|그런데|부||A
113|143|날01|명|어느 ~|A
114|144|여기01|대||A
115|145|모두01|부||A
116|147|친구02|명|親舊|A
117|148|마음01|명||A
118|149|후08|명|後|A
119|150|가다01|보||A
120|151|놓다01|보||A
121|153|아버지|명||A
122|154|남자02|명|男子|A
123|155|어디01|대||A
124|156|몸01|명||A
125|157|얼굴01|명||A
126|158|들어가다01|동||A
127|159|왜02|부||A
128|161|말다03|보||A
129|163|다르다01|형||A
130|165|물01|명|바닷~|A
131|166|만나다|동||A
132|167|내다02|동|길을 ~|A
133|169|쓰다01|동|글씨를 ~|A
134|170|이것|대||A
135|172|이번01|명|-番|A
136|173|길01|명|도로|A
137|174|생활|명|生活|A
138|175|쓰다03|동|약을 ~|A
139|176|지금03|명|只今|A
140|178|사이01|명||A
141|181|우리나라|명||A
142|182|내다02|보|참아 ~|A
143|183|앉다|동||A
144|184|처음|명||A
145|185|손01|명|신체의 일부|A
146|186|몇|관||A
147|187|그때|명||A
148|191|찾다|동||A
149|193|시10|의|時|A
150|195|지금03|부|只今|A
151|196|나가다|동||A
152|197|이야기|명||A
153|199|사다|동||A
154|201|아직01|부||A
155|202|잡다01|동||A
156|203|같이|부||A
157|204|선생님|명|先生-|A
158|206|서다01|동||A
159|207|못04|부||A
160|208|역사04|명|歷史|A
161|209|읽다|동||A
162|210|이제01|부||A
163|213|물론01|부|勿論|A
164|214|동안01|명|시간의 길이|A
165|215|책01|명|冊|A
166|216|일어나다|동||A
167|218|시장04|명|市場|A
168|219|넣다|동||A
169|220|중요하다02|형|重要-|A
170|221|무슨|관||A
171|223|어렵다|형||A
172|224|힘01|명||A
173|225|너무01|부||A
174|226|나라01|명||A
175|227|부르다01|동|이름을 ~|A
176|229|자리01|명|~가 없다|A
177|231|죽다01|동|굶어 ~|A
178|233|쪽05|의|방향|A
179|237|얘기|명|이야기|A
180|238|학생|명|學生|A
181|240|엄마|명||A
182|241|이름|명||A
183|242|하나|명||A
184|243|내리다01|동|눈이 ~|A
185|246|쉽다|형||A
186|251|필요하다|형|必要-|A
187|253|생기다|동||A
188|254|사용하다03|동|使用-|A
189|255|남편01|명|男便|A
190|256|들어오다|동||A
191|257|밖|명||A
192|259|작다01|형||A
193|260|타다02|동|버스에 ~|A
194|261|대학01|명|大學|A
195|264|가운데|명||A
196|265|보내다|동||A
197|274|아주01|부||A
198|276|밤01|명|어두운 때|A
199|277|높다|형||A
200|282|컴퓨터|명|computer|A
201|283|먼저|부||A
202|284|다니다|동||A
203|285|얼마나|부||A
204|287|열다02|동|문을 ~|A
205|288|머리01|명||A
206|289|묻다03|동|길을 ~|A
207|293|거기01|대||A
208|295|아들|명||A
209|297|아02|감||A
210|298|기다리다|동||A
211|302|분08|의|10시 20~|A
212|307|곧01|부||A
213|310|오늘|명||A
214|311|서로01|부||A
215|314|이거01|대||A
216|318|방07|명|房|A
217|323|아침|명||A
218|324|웃다|동||A
219|327|떠나다|동||A
220|330|그래01|감||A
221|332|아름답다|형||A
222|333|끝01|명||A
223|338|입|명||A
224|339|뭐|감||A
225|341|영화01|명|映畵|A
226|342|필요|명|必要|A
227|344|하늘01|명||A
228|349|정말01|부|正-|A
229|353|밥01|명|~을 먹다|A
230|354|입다01|동|옷을 ~|A
231|357|네03|감||A
232|362|그림01|명||A
233|365|마시다|동||A
234|366|치다02|동|얼굴을 ~|A
235|367|혼자01|명||A
236|368|나가다|보||A
237|370|이제01|명||A
238|371|교수06|명|敎授|A
239|372|술01|명|~을 먹다|A
240|373|사랑01|명||A
241|375|전화07|명|電話|A
242|376|끝나다|동||A
243|377|돌아오다|동||A
244|379|아빠|명||A
245|382|한번|명|-番|A
246|383|커피|명|coffee|A
247|384|가슴01|명||A
248|386|길다02|형|밤이 ~|A
249|389|회사04|명|會社|A
250|390|맛01|명||A
251|393|매우01|부||A
252|394|오르다|동||A
253|395|음식|명|飮食|A
254|397|꼭03|부|반드시|A
255|399|요즘|명||A
256|400|계획01|명|計劃|A
257|402|얼마|명||A
258|405|계속04|부|繼續|A
259|408|아내01|명||A
260|409|가족01|명|家族|A
261|413|세01|관|~ 권|A
262|415|놓다01|동||A
263|417|차06|명|車|A
264|418|놀다01|동||A
265|423|도시03|명|都市|A
266|429|나이01|명||A
267|432|바꾸다|동||A
268|438|좋아하다|동||A
269|439|그리다02|동|그림을 ~|A
270|441|배우다01|동||A
271|444|옆|명||A
272|446|어02|감||A
273|453|아래01|명||A
274|457|그럼01|부|'그러면'의 준말|A
275|460|저04|관|멀리 있는 대상|A
276|462|배02|명|~를 띄우다|A
277|465|산01|명|山|A
278|466|새06|관||A
279|467|하지만|부||A
280|469|문05|명|門|A
281|470|꽃01|명||A
282|473|그동안|명||A
283|475|갑자기|부||A
284|478|바람01|명|~이 불다|A
285|479|잘하다|동||A
286|487|노래01|명||A
287|488|바다|명||A
288|489|힘들다|형||A
289|490|공부01|명|工夫|A
290|495|못하다|동||A
291|497|언니|명||A
292|499|분01|의|한 ~|A
293|506|불01|명||A
294|512|학년|명|學年|A
295|513|신문10|명|新聞|A
296|514|가지다|보||A
297|515|이해하다02|동|理解-|A
298|518|선생01|명|先生|A
299|519|돌아가다|동||A
300|525|기분01|명|氣分|A
301|530|옷01|명||A
302|534|전08|관|前|A
303|535|꿈01|명||A
304|536|할머니|명||A
305|537|회의04|명|會議|A
306|539|이야기하다|동||A
307|540|나무01|명||A
308|541|자다01|동||A
309|544|오늘|부||A
310|546|걷다02|동|느릿느릿 ~|A
311|548|이때|명||A
312|551|시간04|의|時間|A
313|560|물건|명|物件|A
314|564|발01|명|신체의 일부|A
315|572|빨리|부||A
316|573|시작되다01|동|始作-|A
317|575|둘01|수||A
318|576|말다03|동|그만두다|A
319|577|설명하다|동|說明-|A
