|1|것01|의||A|thing|좋은 *것*|good thing|먹을 *것*|something to eat|내 *것*|my thing
|2|하다01|동||A|to do|공부를 *하다*|to study|운동을 *하다*|to exercise|말을 *하다*|to speak
|3|있다01|보||A|to be (progressive)|앉아 *있다*|to be sitting|살아 *있다*|to be alive|깨어 *있다*|to be awake
|4|있다01|형||A|to have/exist|돈이 *있다*|to have money|집에 *있다*|to be at home|재미가 *있다*|to be interesting
|5|되다01|동|어른이 ~|A|to become|어른이 *되다*|to become an adult|선생님이 *되다*|to become a teacher|다 *됐다*|it is all done
|6|수02|의|방법|A|ability/way|할 *수* 있다|can do|갈 *수* 없다|cannot go|그럴 *수*도 있다|it could be so
|7|하다01|보||A|to do (auxiliary)|깨끗하게 *하다*|to make clean|공부를 *하게* 하다|to make someone study|따뜻하게 *하다*|to make warm
|8|나03|대||A|I (informal)|*나*는 학생이다|I am a student|*나*의 가방|my bag|*나*랑 놀자|play with me
|9|그01|관||A|that|*그* 사람|that person|*그* 책|that book|*그* 일|that matter
|10|없다01|형||A|to not have/exist|시간이 *없다*|to not have time|집에 *없다*|to not be at home|자신이 *없다*|to lack confidence
|11|않다|보||A|to not do|가지 *않다*|to not go|먹지 *않았다*|did not eat|보지 *않다*|to not see
|12|사람|명||A|person|좋은 *사람*|good person|한국 *사람*|Korean person|많은 *사람*|many people
|13|우리03|대||A|we/our|*우리* 나라|our country|*우리* 엄마|my/our mom|*우리* 집|our house
|14|이05|관||A|this|*이* 사과|this apple|*이* 근처|near here|*이* 영화|this movie
|15|그01|대||A|he/that|*그*도 왔다|he came too|*그*를 믿다|to believe him|*그*의 이름|his name
|16|아니다|형||A|to not be|학생이 *아니다*|to not be a student|사실이 *아니다*|to not be true|꿈이 *아니야*|it's not a dream
|17|보다01|동||A|to see|영화를 *보다*|to watch a movie|책을 *보다*|to read a book|친구를 *보다*|to see a friend
|18|때01|명|시간|A|time/when|어릴 *때*|when young|점심 *때*|at lunchtime|그럴 *때*|at times like that
|19|거01|의|것|A|thing (shortened)|내 *거*야|it's mine|맛있는 *거*|something delicious|할 *거*예요|I will do it
|20|보다01|보||A|to try (doing)|먹어 *보다*|to try eating|입어 *보다*|to try on (clothes)|가 *봤다*|have been there
|21|같다|형||A|to be like/same|친구 *같다*|to be like a friend|우리 집 *같다*|to be like my house|생각과 *같다*|to be as thought
|22|주다01|보||A|to do for (someone)|도와 *주다*|to help out|빌려 *주다*|to lend|알려 *주세요*|please let me know
|23|가다01|동||A|to go|학교에 *가다*|to go to school|집에 *갔다*|went home|멀리 *가다*|to go far
|24|년02|의|年|A|year|이 *년* 동안|for two years|일 *년* 뒤|one year later|매 *년*|every year
|25|한01|관||A|one/single|*한* 번|once|*한* 사람|one person|*한* 시간|one hour
|26|말01|명|~과 글|A|speech/language|한국 *말*|Korean language|*말*을 듣다|to listen|*말*이 통하다|to understand each other
