1	그러나	but/however	*그러나* 사실은|*그러나* 이미 늦었다|어렵다. *그러나* 해보자	but the truth is|but it's already late|it's hard. but let's try	[sound::row1_chunk1.wav]|[sound:row1_chunk2.wav]|[sound:row1_chunk3.wav]
2	이런	this kind of	*이런* 일|*이런* 사람|*이런* 기회	this kind of matter|this kind of person|this kind of opportunity	[sound::row2_chunk1.wav]|[sound:row2_chunk2.wav]|[sound:row2_chunk3.wav]
3	함께	together	가족과 *함께*|*함께* 가다|우리 *함께*	together with family|to go together|we together	[sound::row3_chunk1.wav]|[sound:row3_chunk2.wav]|[sound:row3_chunk3.wav]
4	나다	to occur/arise	생각이 *나다*|불이 *나다*|냄새가 *나다*	to remember|a fire breaks out|to smell	[sound::row4_chunk1.wav]|[sound:row4_chunk2.wav]|[sound:row4_chunk3.wav]
5	여러	several/various	*여러* 나라|*여러* 번|*여러* 가지	several countries|several times|various kinds	[sound::row5_chunk1.wav]|[sound:row5_chunk2.wav]|[sound:row5_chunk3.wav]
6	버리다	to end up (doing)	잊어 *버리다*|먹어 *버렸다*|잃어 *버리다*	to completely forget|ended up eating it|to lose (something)	[sound::row6_chunk1.wav]|[sound:row6_chunk2.wav]|[sound:row6_chunk3.wav]
7	가장	most	*가장* 빠르다|*가장* 좋아하다|*가장* 큰 문제	to be the fastest|to like the most|the biggest problem	[sound::row7_chunk1.wav]|[sound:row7_chunk2.wav]|[sound:row7_chunk3.wav]
8	내다	to make/produce	소리를 *내다*|시간을 *내다*|길을 *내다*	to make a sound|to make time|to clear a path	[sound::row8_chunk1.wav]|[sound:row8_chunk2.wav]|[sound:row8_chunk3.wav]
9	사이	between/relationship	친구 *사이*|건물 *사이*|둘 *사이*가 좋다	between friends|between buildings|they have a good relationship	[sound::row9_chunk1.wav]|[sound:row9_chunk2.wav]|[sound:row9_chunk3.wav]
10	내다	to manage to do	끝내 *내다*|이겨 *내다*|참아 *냈다*	to finish off|to overcome|managed to endure	[sound::row10_chunk1.wav]|[sound:row10_chunk2.wav]|[sound:row10_chunk3.wav]
11	역사	history	한국의 *역사*|오랜 *역사*|*역사*를 배우다	history of Korea|long history|to learn history	[sound::row11_chunk1.wav]|[sound:row11_chunk2.wav]|[sound:row11_chunk3.wav]
12	이제	now	*이제* 그만|*이제* 다 됐다|*이제* 어디 가?	stop now|it's all done now|where are you going now?	[sound::row12_chunk1.wav]|[sound:row12_chunk2.wav]|[sound:row12_chunk3.wav]
13	내리다	to fall/get off	비가 *내리다*|버스에서 *내리다*|값이 *내렸다*	it's raining|to get off the bus|the price fell	[sound::row13_chunk1.wav]|[sound:row13_chunk2.wav]|[sound:row13_chunk3.wav]
14	묻다	to ask	길을 *묻다*|선생님께 *물어보자*|이름을 *물었다*	to ask for directions|let's ask the teacher|asked the name	[sound::row14_chunk1.wav]|[sound:row14_chunk2.wav]|[sound:row14_chunk3.wav]
15	서로	each other	*서로* 돕다|*서로* 사랑하다|*서로* 다른 생각	to help each other|to love each other|different thoughts from each other	[sound::row15_chunk1.wav]|[sound:row15_chunk2.wav]|[sound:row15_chunk3.wav]
16	떠나다	to leave	여행을 *떠나다*|고향을 *떠나다*|멀리 *떠났다*	to go on a trip (leave for travel)|to leave one's hometown|left for a far place	[sound::row16_chunk1.wav]|[sound:row16_chunk2.wav]|[sound:row16_chunk3.wav]
17	이제	now/the present	*이제*부터 시작|*이제*야 알았다|*이제* 그만해	starting from now|just found out now|stop it now	[sound::row17_chunk1.wav]|[sound:row17_chunk2.wav]|[sound:row17_chunk3.wav]
18	교수	professor	대학 *교수*|*교수*님 말씀|*교수*직	university professor|professor's words|professorship	[sound::row18_chunk1.wav]|[sound:row18_chunk2.wav]|[sound:row18_chunk3.wav]
19	돌아오다	to return/come back	집에 *돌아오다*|제자리로 *돌아오다*|곧 *돌아올게*	to come home|to return to one's place|I'll come back soon	[sound::row19_chunk1.wav]|[sound:row19_chunk2.wav]|[sound:row19_chunk3.wav]
20	매우	very/greatly	*매우* 중요하다|*매우* 덥다|*매우* 기쁘다	very important|very hot|very happy	[sound::row20_chunk1.wav]|[sound:row20_chunk2.wav]|[sound:row20_chunk3.wav]
21	그리다	to draw/paint	그림을 *그리다*|얼굴을 *그렸다*|지도에 *그리다*	to draw a picture|drew a face|to draw on a map	[sound::row21_chunk1.wav]|[sound:row21_chunk2.wav]|[sound:row21_chunk3.wav]
22	학년	school grade/year	일 *학년*|저*학년*|*학년*이 올라가다	first grade|lower grades|to move up a grade	[sound::row22_chunk1.wav]|[sound:row22_chunk2.wav]|[sound:row22_chunk3.wav]
23	신문	newspaper	*신문*을 읽다|오늘 *신문*|*신문* 기자	to read the newspaper|today's paper|newspaper reporter	[sound::row23_chunk1.wav]|[sound:row23_chunk2.wav]|[sound:row23_chunk3.wav]
24	가지다	to keep (progressive)	살아 *가지고*|돈을 *가져* 가다|그걸 *가지고*	to be living|to take money|with that	[sound::row24_chunk1.wav]|[sound:row24_chunk2.wav]|[sound:row24_chunk3.wav]
25	발	foot	*발*이 크다|*발*을 씻다|*발*을 다치다	to have big feet|to wash one's feet|to hurt one's foot	[sound::row25_chunk1.wav]|[sound:row25_chunk2.wav]|[sound:row25_chunk3.wav]
26	말다	to stop/quit	하기로 하다가 *말다*|그만 *두고* 말았다|하다 *말* 거면 하지 마	to start then stop|ended up quitting|if you're going to quit halfway, don't do it	[sound::row26_chunk1.wav]|[sound:row26_chunk2.wav]|[sound:row26_chunk3.wav]
27	적다	to be few/little	사람이 *적다*|돈이 *적다*|양이 *적어요*	to be few people|to be little money|the amount is small	[sound::row27_chunk1.wav]|[sound:row27_chunk2.wav]|[sound:row27_chunk3.wav]
28	참	really/truly	*참* 예쁘다|*참* 좋은 사람|*참* 잘했어요	really pretty|truly good person|very well done	[sound::row28_chunk1.wav]|[sound:row28_chunk2.wav]|[sound:row28_chunk3.wav]
29	어른	adult	*어른*이 되다|*어른* 말씀을 듣다|공경해야 할 *어른*	to become an adult|to listen to adults|elders to respect	[sound::row29_chunk1.wav]|[sound:row29_chunk2.wav]|[sound:row29_chunk3.wav]
30	환자	patient	병원의 *환자*|*환자*를 치료하다|중환자실의 *환자*	hospital patient|to treat a patient|patient in the ICU	[sound::row30_chunk1.wav]|[sound:row30_chunk2.wav]|[sound:row30_chunk3.wav]
31	대화	conversation	*대화*를 나누다|*대화*가 안 통하다|진지한 *대화*	to have a conversation|cannot communicate|serious conversation	[sound::row31_chunk1.wav]|[sound:row31_chunk2.wav]|[sound:row31_chunk3.wav]
32	올해	this year	*올해* 목표|*올해* 들어|*올해* 스무 살	this year's goal|since the start of this year|twenty years old this year	[sound::row32_chunk1.wav]|[sound:row32_chunk2.wav]|[sound:row32_chunk3.wav]
33	걸다	to hang	옷을 *걸다*|전화를 *걸다*|그림을 *걸었다*	to hang clothes|to make a phone call|hung a painting	[sound::row33_chunk1.wav]|[sound:row33_chunk2.wav]|[sound:row33_chunk3.wav]
34	멀다	to be far	거리가 *멀다*|집에서 *멀어요*|*먼* 훗날	the distance is far|it's far from home|the distant future	[sound::row34_chunk1.wav]|[sound:row34_chunk2.wav]|[sound:row34_chunk3.wav]
35	잠시	for a moment	*잠시*만 기다리세요|*잠시* 쉬다|*잠시* 뒤에	please wait a moment|to rest for a while|after a short while	[sound::row35_chunk1.wav]|[sound:row35_chunk2.wav]|[sound:row35_chunk3.wav]
36	잃다	to lose	길을 *잃다*|돈을 *잃었다*|희망을 *잃다*	to get lost|lost money|to lose hope	[sound::row36_chunk1.wav]|[sound:row36_chunk2.wav]|[sound:row36_chunk3.wav]
37	언제나	always/anytime	*언제나* 환영이다|*언제나* 변함없다|*언제나* 그 자리에	always welcome|always the same/unchanging|always in that spot	[sound::row37_chunk1.wav]|[sound:row37_chunk2.wav]|[sound:row37_chunk3.wav]
38	어린이	child	*어린이* 공원|*어린이*날|*어린이* 도서관	children's park|Children's Day|children's library	[sound::row38_chunk1.wav]|[sound:row38_chunk2.wav]|[sound:row38_chunk3.wav]
39	드리다	to do (honorific aux)	도와 *드리다*|말씀 *드리다*|선물해 *드렸다*	to help (honorific)|to tell (honorific)|gave a gift (honorific)	[sound::row39_chunk1.wav]|[sound:row39_chunk2.wav]|[sound:row39_chunk3.wav]
40	어떠하다	to be how/what	상태가 *어떠하니*?|마음이 *어떠해*?|*어떠한* 경우에도	how is the condition?|how do you feel?|in any case	[sound::row40_chunk1.wav]|[sound:row40_chunk2.wav]|[sound:row40_chunk3.wav]
41	장	sheet (counter)	종이 한 *장*|수건 두 *장*|표 한 *장*	a sheet of paper|two towels|one ticket	[sound::row41_chunk1.wav]|[sound:row41_chunk2.wav]|[sound:row41_chunk3.wav]
42	식사	meal	*식사* 하셨어요?|맛있는 *식사*|*식사* 시간	have you had your meal?|delicious meal|mealtime	[sound::row42_chunk1.wav]|[sound:row42_chunk2.wav]|[sound:row42_chunk3.wav]
43	팔	arm	*팔*이 길다|*팔*을 다치다|*팔*짱을 끼다	to have long arms|to hurt one's arm|to cross one's arms	[sound::row43_chunk1.wav]|[sound:row43_chunk2.wav]|[sound:row43_chunk3.wav]
44	낮다	to be low	온도가 *낮다*|*낮은* 산|점수가 *낮아요*	temperature is low|low mountain|the score is low	[sound::row44_chunk1.wav]|[sound:row44_chunk2.wav]|[sound:row44_chunk3.wav]
45	오래	long/for a long time	*오래* 기다렸어요|*오래* 살다|*오래*된 책	I waited a long time|to live long|old book	[sound::row45_chunk1.wav]|[sound:row45_chunk2.wav]|[sound:row45_chunk3.wav]
46	즐겁다	to be pleasant/joyful	*즐거운* 시간|노래가 *즐겁다*|*즐겁게* 놀다	pleasant time|the song is joyful|to have fun playing	[sound::row46_chunk1.wav]|[sound:row46_chunk2.wav]|[sound:row46_chunk3.wav]
47	싸우다	to fight/quarrel	친구와 *싸우다*|말다툼하며 *싸웠다*|그만 *싸워*	to fight with a friend|fought with words|stop fighting	[sound::row47_chunk1.wav]|[sound:row47_chunk2.wav]|[sound:row47_chunk3.wav]
48	작년	last year	*작년* 여름|*작년*부터 시작했다|*작년* 이맘때	last summer|started from last year|this time last year	[sound::row48_chunk1.wav]|[sound:row48_chunk2.wav]|[sound:row48_chunk3.wav]
49	남녀	men and women	*남녀* 노소|*남녀* 평등|*남녀* 관계	men and women of all ages|gender equality|relationship between man and woman	[sound::row49_chunk1.wav]|[sound:row49_chunk2.wav]|[sound:row49_chunk3.wav]
50	맑다	to be clear/pure	날씨가 *맑다*|*맑은* 공기|*맑은* 물	the weather is clear|fresh air|clear water	[sound::row50_chunk1.wav]|[sound:row50_chunk2.wav]|[sound:row50_chunk3.wav]
51	사장	boss/president	우리 회사의 *사장*|*사장*님을 뵙다|*사장*실	our company's president|to see the boss|CEO's office	[sound::row51_chunk1.wav]|[sound:row51_chunk2.wav]|[sound:row51_chunk3.wav]
52	그렇지만	but/however	*그렇지만* 사실은|*그렇지만* 이미 늦었어|덥다. *그렇지만* 즐거워	but the truth is|but it's already late|It's hot. But I'm happy.	[sound::row52_chunk1.wav]|[sound:row52_chunk2.wav]|[sound:row52_chunk3.wav]
