그러나	but/however	*그러나* 사실은|*그러나* 이미 늦었다|어렵다. *그러나* 해보자	but the truth is|but it's already late|it's hard. but let's try	[sound:row1_chunk1.wav]|[sound:row1_chunk2.wav]|[sound:row1_chunk3.wav]
이런	this kind of	*이런* 일|*이런* 사람|*이런* 기회	this kind of matter|this kind of person|this kind of opportunity	[sound:row2_chunk1.wav]|[sound:row2_chunk2.wav]|[sound:row2_chunk3.wav]
함께	together	가족과 *함께*|*함께* 가다|우리 *함께*	together with family|to go together|we together	[sound:row3_chunk1.wav]|[sound:row3_chunk2.wav]|[sound:row3_chunk3.wav]
나다	to occur/arise	생각이 *나다*|불이 *나다*|냄새가 *나다*	to remember|a fire breaks out|to smell	[sound:row4_chunk1.wav]|[sound:row4_chunk2.wav]|[sound:row4_chunk3.wav]
여러	several/various	*여러* 나라|*여러* 번|*여러* 가지	several countries|several times|various kinds	[sound:row5_chunk1.wav]|[sound:row5_chunk2.wav]|[sound:row5_chunk3.wav]
버리다	to end up (doing)	잊어 *버리다*|먹어 *버렸다*|잃어 *버리다*	to completely forget|ended up eating it|to lose (something)	[sound:row6_chunk1.wav]|[sound:row6_chunk2.wav]|[sound:row6_chunk3.wav]
가장	most	*가장* 빠르다|*가장* 좋아하다|*가장* 큰 문제	to be the fastest|to like the most|the biggest problem	[sound:row7_chunk1.wav]|[sound:row7_chunk2.wav]|[sound:row7_chunk3.wav]
내다	to make/produce	소리를 *내다*|시간을 *내다*|길을 *내다*	to make a sound|to make time|to clear a path	[sound:row8_chunk1.wav]|[sound:row8_chunk2.wav]|[sound:row8_chunk3.wav]
사이	between/relationship	친구 *사이*|건물 *사이*|둘 *사이*가 좋다	between friends|between buildings|they have a good relationship	[sound:row9_chunk1.wav]|[sound:row9_chunk2.wav]|[sound:row9_chunk3.wav]
내다	to manage to do	끝내 *내다*|이겨 *내다*|참아 *냈다*	to finish off|to overcome|managed to endure	[sound:row10_chunk1.wav]|[sound:row10_chunk2.wav]|[sound:row10_chunk3.wav]
역사	history	한국의 *역사*|오랜 *역사*|*역사*를 배우다	history of Korea|long history|to learn history	[sound:row11_chunk1.wav]|[sound:row11_chunk2.wav]|[sound:row11_chunk3.wav]
