Front|Back
-게 하다|<b>Meaning:</b> Make/let/have someone do something (causative)<br><br><b>Grammar:</b><br>• <u>AVst</u>게 하다<br>• <u>AVst</u>게 했다<br><br><b>Usage:</b> Used to express causation - making, letting, or having someone do something. The subject causes or allows another person to perform an action. Can express both permission (let) and compulsion (make) depending on context.
-은/는|<b>Meaning:</b> Topic marker<br><br><b>Grammar:</b><br>• <u>N</u>(은,는)<br><br><b>Usage:</b> Mark the topic of the sentence. About, regarding, as for
-만|<b>Meaning:</b> Limitation, only, but only<br><br><b>Grammar:</b><br>• <u>N</u>만<br><br><b>Usage:</b> A particle that expresses the sense of limitation, emphasis and degree of comparison.
-밖에|<b>Meaning:</b> Exclusion, except for that, other than that<br><br><b>Grammar:</b><br>• <u>N</u>밖에<br><br><b>Usage:</b> Express the only thing or option available, no other possibilities available.<br><br><b>Notes:</b> The following clause is always negative
-뿐|<b>Meaning:</b> Nothing more, there is nothing else, it is the only one<br><br><b>Grammar:</b><br>• <u>N</u>뿐<br><br><b>Usage:</b> Used when there is nothing more than the content of the preceding statement or when it is the only one.
-ㄹ지/을지 -ㄹ지/을지|<b>Meaning:</b> whether to... or to... (deliberation between options)<br><br><b>Grammar:</b><br>• <u>AVst</u>(을,ㄹ)지 <u>AVst</u>(을,ㄹ)지 ____<br><br><b>Usage:</b> Expresses indecision or uncertainty between two or more mutually exclusive options. Often followed by 모르다 (don't know) or 고민하다 (worry/deliberate).
-기는 하다|<b>Meaning:</b> Partial Acknowledgment<br><br><b>Grammar:</b><br>• <u>Vst</u>기는 하다<br>• <u>Vst</u>긴 하다<br><br><b>Usage:</b> In the form 기는/긴 하다, the speaker acknowledges that something is true or is indeed the case. It is often followed by -지만 or -는데/ㄴ데 grammar to form a partial acknowledgment with an objection.
-나/은가/ㄴ가 보다|<b>Meaning:</b> It seems like, it appears that (conjecture based on observation)<br><br><b>Grammar:</b><br>• <u>AVst</u>나 보다<br>• (있,없)나 보다<br>• <u>DVst</u>(은가,ㄴ가) 보다<br>• <u>Vst</u>(었,았,였)나 보다<br>• <u>N</u>인가 보다<br><br><b>Usage:</b> Used to express conjecture or assumption based on indirect evidence or observation. The speaker infers something from what they've seen, heard, or experienced. Less certain than direct observation with -네요, but more certain than pure speculation with -겠-.
-는다고/ㄴ다고/다고생각하다|<b>Meaning:</b> I think that..., I believe that...<br><br><b>Grammar:</b><br>• <u>AVst</u>(는,ㄴ)다고 생각하다<br>• <u>DVst</u>다고 생각하다<br>• <u>Vst</u>(었,았,였)다고 생각하다<br>• <u>Vst</u>(을,ㄹ) 거라고 생각하다<br>• <u>N</u>(이)라고 생각하다<br><br><b>Usage:</b> Used to express one's opinion, thought, or belief about something. Converts a statement into reported speech followed by the verb 생각하다 (to think). Commonly used to soften assertions or express personal viewpoints politely.
-는다면/ㄴ다면/다면|<b>Meaning:</b> If (it is the case that)..., supposing that...<br><br><b>Grammar:</b><br>• <u>AVst</u>(는,ㄴ)다면 ____<br>• <u>DVst</u>다면 ____<br>• <u>Vst</u>(었,았,였)다면 ____<br>• <u>N</u>(이)라면 ____<br><br><b>Usage:</b> A conditional form that combines declarative ending -(는)다 with conditional -면. Used to present hypothetical situations or suppositions, often about factual statements or things you've heard. More formal than simple -(으)면 and often used when the condition is based on reported information or general facts.
-는다면서요/ㄴ다면서요/다면서요|<b>Meaning:</b> I heard that..., they say that... (seeking confirmation)<br><br><b>Grammar:</b><br>• <u>AVst</u>(는,ㄴ)다면서(요)<br>• <u>DVst</u>다면서(요)<br>• <u>Vst</u>(었,았,였)다면서(요)<br>• <u>Vst</u>(을,ㄹ) 거라면서(요)<br>• <u>N</u>(이)라면서(요)<br><br><b>Usage:</b> Used to confirm or verify information that the speaker has heard from someone else. Often carries the nuance of "Isn't it true that...?" or "I heard that... is that right?" Combines reported speech -(는)다고 with -면서 (while/even though) to create a confirmation-seeking question.
