Word|Kimchi Rank|TOPIK POS|TOPIK Definition|TOPIK Level|Yonsei Book
있다1|1|보||A|1-1.csv
것1|2|의||A|1-1.csv
스케이트|7285|명|skate|B|1-1.csv
하다1|3|동||A|1-1.csv
되다1|4|동|어른이 ~|A|
공원3|1440|명|公園|A|1-1.csv
수2|5|의|방법|A|
나3|149|대||A|1-1.csv
자르다1|4487|동||B|1-1.csv
그1|6|관||A|
없다1|7|형||A|1-1.csv
슈퍼마켓|8498|명|supermarket|A|1-1.csv
않다|8|보||A|
사람|25|명||A|1-1.csv
고속버스터미널|||||1-1.csv
같다|9|형||A|
우리3|13|대||A|1-1.csv
바다|982|명||A|1-1.csv
이3|10|명|신체|A|1-1.csv
이5||관||A|
저것|2177|대||A|1-1.csv
거1|11|의|것|A|
아니다|308|형||A|
역사4|748|명|歷史|A|1-1.csv
아2|12|감||A|2-1.csv
보다1|229|동||A|1-1.csv
경치2||명|景致|A|1-1.csv
이렇다|14|형||A|2-1.csv
때1|15|명|시간|A|
누가|28571||||1-1.csv
더1|16|부||A|1-1.csv
주다1|56778|보||A|1-1.csv
얼마|261|명||A|1-1.csv
진짜|17|부|眞-|B|
가다1|67|동||A|1-1.csv
치마1|4089|명||A|1-1.csv
너무1|18|부||A|1-1.csv
년2|114|의|年|A|
닦다1|947|동||A|1-1.csv
또|19|부||A|
한1|22072|관||A|2-1.csv
박물관|2057|명|博物館|A|1-1.csv
그렇다|20|형||A|2-1.csv
말1|151|명|~과 글|A|2-1.csv
산책|2425|명|散策|A|1-1.csv
좋다1|21|형||A|1-1.csv
일1|226|명||A|1-1.csv
빵1|815|명||A|1-1.csv
알다|22|동||A|1-1.csv
때문|30|의||A|
노르웨이|5635||||1-1.csv
먹다1|23|동|귀를 ~|C|1-1.csv
말하다|48|동||A|1-1.csv
체육관|6268|명|體育館|C|1-1.csv
왜2|24|부||A|1-1.csv
그러나|65996|부||A|2-1.csv
말씀드리다|378|동||B|1-1.csv
어떻다|26|형||A|1-1.csv
오다1|36|동||A|1-1.csv
한글날|12433|명||C|1-1.csv
많이|27|부||A|1-1.csv
씨7||의|氏|A|
바람1|1049|명|~이 불다|A|1-1.csv
싶다|28|보||A|
크다1|222|형||A|1-1.csv
방학|2365|명|放學|A|1-1.csv
많다|29|형||A|1-1.csv
일7||의|하루|A|
가르치다1|647|동||A|1-1.csv
오늘|31|명||A|1-1.csv
안2||부|아니|A|
청소하다3|2854|동|淸掃-|A|1-1.csv
받다1|32|동|선물을 ~|A|1-1.csv
그것|106|대||A|1-1.csv
서핑|7724||||1-1.csv
뭐|33|대||A|1-1.csv
집1|55|명||A|1-1.csv
고프다|4008|형||A|1-1.csv
만들다|34|동||A|1-1.csv
나오다|689|동||A|
가볍다|638|형||A|1-1.csv
그냥|35|부||B|2-1.csv
그리고|36095|부||A|1-1.csv
교실|1954|명|敎室|A|1-1.csv
생각1|37|명||A|
문제6|76|명|問題|A|
잔3|1459|명|盞|A|1-1.csv
생각하다|38|동||A|
살다1|267|동||A|1-1.csv
게임|373|명|game|A|1-1.csv
씨1|39|명|~를 심다|B|1-1.csv
저3|254|대|일인칭 대명사|A|1-1.csv
아니요||감||A|1-1.csv
야4|40|감||B|
못하다|49|보||A|
드시다|3551||||1-1.csv
앵커|41||||
모르다|116|동||A|1-1.csv
스케이트장|18656||||1-1.csv
대하다2|42|동|對-|B|
속1|135|명||A|2-1.csv
한번|56177|명|-番|A|1-1.csv
등1|43|명|신체의 일부|B|3-1.csv
두1|45|관||A|
프랑스말|||||1-1.csv
위하다1|44|동|爲-|B|
