Word|Kimchi Rank|TOPIK POS|TOPIK Definition|TOPIK Level|Yonsei Book
있다|1||||1-1
것01||의||A|
스케이트|7285|명|skate|B|1-1
것|2||||1-1
하다01||동||A|
공원|1440||||1-1
하다|3||||1-1
있다01||보||A|
자르다|4487||||1-1
되다|4||||
되다01||동|어른이 ~|A|
슈퍼마켓|8498|명|supermarket|A|1-1
수|5||||
고속버스터미널|||||1-1
그|6||||
나03||대||A|
바다|982|명||A|1-1
없다|7||||1-1
그01||관||A|
저것|2177|대||A|1-1
않다|8|보||A|
없다01||형||A|
역사|748||||1-1
같다|9|형||A|
사람|25|명||A|1-1
경치|||||1-1
이|10||||1-1
우리03||대||A|
누가|28571||||1-1
거|11||||
이05||관||A|
얼마|261|명||A|1-1
아|12||||2-1
아니다|308|형||A|
치마|4089||||1-1
우리|13||||1-1
보다01||동||A|
닦다|947||||1-1
이렇다|14|형||A|2-1
때01||명|시간|A|
박물관|2057|명|博物館|A|1-1
때|15||||
거01||의|것|A|
산책|2425|명|散策|A|1-1
더|16||||1-1
주다01||보||A|
빵|815||||1-1
진짜|17|부|眞-|B|
가다01||동||A|
노르웨이|5635||||1-1
너무|18||||1-1
년02||의|年|A|
체육관|6268|명|體育館|C|1-1
또|19|부||A|
한01||관||A|
말씀드리다|378|동||B|1-1
그렇다|20|형||A|2-1
말01||명|~과 글|A|
한글날|12433|명||C|1-1
좋다|21||||1-1
일01||명||A|
바람이|39066||||1-1
알다|22|동||A|1-1
때문|30|의||A|
방학|2365|명|放學|A|1-1
먹다|23||||1-1
말하다|48|동||A|1-1
가르치다|647||||1-1
왜|24||||1-1
그러나|65996|부||A|2-1
청소하다|2854||||1-1
어떻다|26|형||A|1-1
오다01||동||A|
서핑|7724||||1-1
많이|27|부||A|1-1
씨07||의|氏|A|
고프다|4008|형||A|1-1
싶다|28|보||A|
크다01||형||A|
가볍다|638|형||A|1-1
많다|29|형||A|1-1
일07||의|하루|A|
교실|1954|명|敎室|A|1-1
오늘|31|명||A|1-1
안02||부|아니|A|
잔|1459||||1-1
받다|32||||1-1
좋다01||형||A|
게임|373|명|game|A|1-1
뭐|33|대||A|1-1
더01||부||A|
저|254||||1-1
만들다|34|동||A|1-1
받다01||동|선물을 ~|A|
아니요||감||A|1-1
그냥|35|부||B|2-1
그것|106|대||A|1-1
드시다|3551||||1-1
오다|36||||1-1
집01||명||A|
스케이트장|18656||||1-1
생각|37||||
나오다|689|동||A|
한번|56177|명|-番|A|1-1
생각하다|38|동||A|
그리고|36095|부||A|1-1
프랑스말|||||1-1
씨|39||||1-1
문제06||명|問題|A|
연락하다|1330||||1-1
야|40||||
살다01||동||A|
입다|298||||1-1
앵커|41||||
저03||대|일인칭 대명사|A|
삼계탕|9721|명|蔘鷄湯|C|1-1
대하다|42||||
못하다|49|보||A|
기자|246||||1-1
등|43||||3-1
모르다|116|동||A|1-1
책|168||||1-1
위하다|44||||
속01||명||A|
생일|1645||||1-1
두|45||||
두01||관||A|
여행하다|2892||||1-1
못|46||||
앞|59|명||A|1-1
식사하다|4016||||1-1
다시|47||||
어떤|51524|관||A|
추다|8692||||1-1
들어가다|50||||1-1
잘02||부||A|
만|269||||1-1
맞다|51||||2-1
먹다02||동|밥을 ~|A|
집|55||||1-1
그거|52|대||A|
원01||의|화폐 단위|A|
준비하다|233|동|準備-|A|1-1
예|53||||
생각01||명||A|
볼펜|9413||||1-1
친구|54||||1-1
명03||의|名. 한 ~|A|
공항|1797||||1-1
안|56||||1-1
다시01||부||A|
샤워하다|7380||||1-1
조금|57||||1-1
다른|48482|관||A|
바꾸다||동||A|1-1
맛있다|58|형||A|1-1
이런01||관||A|
향수|2978||||1-1
여러분|60|대||A|2-1
여자02||명|女子|A|
언니|145|명||A|1-1
시간|61||||1-1
개10||의|個|A|
세우다|641||||1-1
어디|62||||1-1
뒤01||명||A|
전화를|||||1-1
엄마|63|명||A|
듣다01||동|소리를 ~|A|
권|1281||||1-1
중|64||||1-1
다03||부||A|
반|768||||1-1
괜찮다|65|형||A|
좀02||부|조금|A|
서점|3508||||1-1
소리|66||||2-1
들다01||동|여관에 ~|A|
컴퓨터를|||||1-1
가다|67||||1-1
가지다|707|동||A|
모자|1799||||1-1
마음|68||||2-1
함께|4774|부||A|2-1
할머니|311|명||A|1-1
좋아하다|69|동||A|1-1
아이01||명||A|
수요일|6035|명|水曜日|A|1-1
아이|70||||1-1
시간04||명|時間|A|
여기|57405||||1-1
같이|71|부||A|1-1
너01||대||A|
인분|81514||||1-1
처음|72|명||A|
나다01||동||A|
의사|503||||1-1
응|73||||
어머니01||명||A|
왔습니다|||||1-1
뒤|74||||1-1
눈01||명|신체의 일부|A|
시|125||||1-1
찾다|75|동||A|1-1
다음01||명||A|
가방|625||||1-1
문제|76||||
누구|78|대||A|1-1
보다|229||||1-1
저희|77||||2-1
전08||명|前|A|
번|274||||1-1
정도|79||||2-1
곳01||명||A|
베트남|2109||||1-1
가장|80||||
여러|58440|관||A|
탁구장|30730||||1-1
아직|81||||1-1
안01||명|집 ~|A|
의자|972||||1-1
시작하다|82||||2-1
하나|646|수||A|
무엇|241|대||A|1-1
눈|83||||
버리다01||보||A|
요리|797||||1-1
웃음|84|명||B|
위01||명|~아래|A|
학생회관|||||1-1
계속|85||||2-1
운동02||명|運動|A|
호선|8881||||1-1
명|86||||
퍼센트|1885|의|percent|A|
찜질방|7636||||1-1
넣다|87|동||A|2-1
학교|155|명|學校|A|
피자|3593|명|&이pizza|A|1-1
형|88||||1-1
가장01||부||A|
콘서트|1557|명|concert|B|1-1
상황|89||||3-1
들다04||동|꽃을 ~|A|
쇼핑하다|7337||||1-1
잘하다|90|동||A|1-1
시작하다01||동|始作-|A|
가수|2272||||1-1
곳|91||||1-1
바로02||부||A|
불다|2178||||1-1
경우|92||||
어느01||관||A|
초콜릿|1565|명|chocolate|A|1-1
그때|93|명||A|
그래서|87633|부||A|1-1
병|1203||||1-1
미국|94|고|美國|A|1-1
모든|55147|관||A|
골프|2633|명|golf|B|1-1
라|95||||
번04||의|番|A|
육교|||||1-1
음악|96||||1-1
돈01||명||A|
교통|3154||||1-1
아주|97||||1-1
그런데|40388|부||A|
아래|20423||||1-1
모습|98||||
날01||명|어느 ~|A|
복습을|||||1-1
몇|99|관||A|1-1
여기01||대||A|
기다리다|194|동||A|1-1
딱|100||||
모두01||부||A|
아르바이트하다|20318||||1-1
먼저|101|부||A|1-1
친구02||명|親舊|A|
책상|1334||||1-1
대통령|102|명|大統領|B|
마음01||명||A|
내일|574|명|來日|A|1-1
오|103||||1-1
후08||명|後|A|
식당|1073|명|食堂|A|1-1
감사하다|104||||
놓다01||보||A|
노래를|||||1-1
빨리|105|부||A|1-1
아버지|164|명||A|1-1
다음|3363||||1-1
보내다|107|동||A|1-1
남자02||명|男子|A|
빵집|6382||||1-1
막|108||||
어디01||대||A|
수영|2318||||1-1
나가다|109|동||A|1-1
몸01||명||A|
요일|10899|명|曜日|A|1-1
잡다|110||||2-1
얼굴01||명||A|
아침을|||||1-1
보이다|111||||1-1
들어가다01||동||A|
걷다|833||||1-1
굉장히|112|부|宏壯-|B|
왜02||부||A|
똑바로|1635|부||A|1-1
지금|113||||1-1
말다03||보||A|
반갑다|645|형||A|1-1
년|114||||
다르다01||형||A|
공부하다|749|동|工夫-|A|1-1
위|115||||1-1
물01||명|바닷~|A|
일본|54710|고|日本|A|1-1
안녕하다|117|형|安寧-|A|
만나다|195|동||A|1-1
피곤하다|1129|형|疲困-|A|1-1
중요하다|118||||2-1
내다02||동|길을 ~|A|
쉽다|185|형||A|1-1
힘들다|119|형||A|1-2
쓰다01||동|글씨를 ~|A|
자주|34787||||1-1
번째|120|의|番-|B|
이것||대||A|1-1
시작되다|379||||1-1
얼굴|121||||2-1
이번01||명|-番|A|
앉다|163|동||A|1-1
들어오다|122|동||A|
길01||명|도로|A|
좀|3312||||1-1
얘기하다|123|동||A|
생활|828|명|生活|A|1-1
여권|2519||||1-1
선생님|124|명|先生-|A|1-1
쓰다03||동|약을 ~|A|
심심하다|2537||||1-1
아빠|126|명||A|
지금03||명|只今|A|
팝콘|5490||||1-1
죽다|127||||
사이01||명||A|
시작|366||||1-1
부분|128||||
우리나라|276|명||A|
호수|3217||||1-1
끝나다|129|동||A|1-1
손01||명|신체의 일부|A|
열둘|||||1-1
손|130||||2-1
시10||의|時|A|
영화관|5033||||1-1
마지막|131|명||A|2-1
이야기|2680|명||A|1-1
교수|615||||1-1
떨어지다|132|동||B|
사다|2495|동||A|1-1
방학이|||||1-1
예쁘다|133|형||A|1-1
아직01||부||A|
다르다|277||||1-1
줄|134||||1-1
잡다01||동||A|
골프장|6647|명|golf場|B|1-1
속|135||||2-1
서다01||동||A|
재미있다|422|형||A|1-1
얘|136||||
못04||부||A|
더럽다|1455|형||B|1-1
그녀|137|대|-女|C|
역사04||명|歷史|A|
삼십||수|三十|A|1-1
머리|138||||
읽다|205|동||A|1-1
꽃|590||||1-1
꼭|139||||1-2
이제01||부||A|
사십||수|四十|A|1-1
동안|140||||
물론01||부|勿論|A|
돈을|||||1-1
찍다|141||||1-1
동안01||명|시간의 길이|A|
영어|472||||1-1
갖다|142||||3-1
책01||명|冊|A|
병원|309||||1-1
끝|143||||1-1
일어나다|181|동||A|1-1
유차자|||||1-1
이유|144||||
시장04||명|市場|A|
보통|330|명|普通|A|1-1
따르다|146||||3-1
중요하다02||형|重要-|A|
올해|292|명||A|1-1
없이|147|부||B|
무슨|21783|관||A|1-1
프랑스|823|고|France|A|1-1
엄청|148||||
어렵다|177|형||A|1-1
출구|4098||||1-1
나|149||||1-1
힘01||명||A|
칠판|97985|명|漆板|A|1-1
고맙다|150||||1-1
