Korean|English|Korean Chunk 1|English Chunk 1|Korean Chunk 2|English Chunk 2
있다1|to exist|책이 있다|there is a book|시간이 있어요|I have time
것1|thing|좋은 것|good thing|할 것|thing to do
스케이트|skate|스케이트를 타다|to skate|스케이트장|skating rink
하다1|to do|공부하다|to study|일하다|to work
되다1|to become|어른이 되다|to become an adult|의사가 되다|to become a doctor
공원3|park|공원에서 놀다|to play in the park|공원을 산책하다|to walk in the park
수2|way|좋은 수|good way|다른 수|different way
나3|I|나는 학생이다|I am a student|나도 가요|I'm going too
자르다1|to cut|머리를 자르다|to cut hair|종이를 자르다|to cut paper
그1|the|그 사람|that person|그 책|that book
없다1|to not exist|돈이 없다|to have no money|시간이 없어요|I don't have time
슈퍼마켓|supermarket|슈퍼마켓에 가다|to go to the supermarket|슈퍼마켓에서 사다|to buy at the supermarket
않다|to not|하지 않다|to not do|가지 않아요|I don't go
사람|person|좋은 사람|good person|많은 사람|many people
고속버스터미널|express bus terminal|고속버스터미널에서 만나다|to meet at the express bus terminal|고속버스터미널로 가다|to go to the express bus terminal
같다|to be the same|나와 같다|same as me|똑같아요|it's exactly the same
우리3|we|우리 집|our house|우리가 하자|let's do it
바다|sea|바다에 가다|to go to the sea|푸른 바다|blue sea
이3|tooth|이가 아프다|tooth hurts|이를 닦다|to brush teeth
이5|this|이 책|this book|이것|this thing
저것|that|저것이 뭐예요|what is that|저것을 주세요|please give me that
거1|thing|할 거예요|will do|좋은 거|good thing
아니다|to not be|학생이 아니다|to not be a student|그게 아니에요|that's not it
역사4|history|한국 역사|Korean history|역사를 공부하다|to study history
아2|ah|아, 그래요|ah, I see|아, 맞다|ah, that's right
보다1|to see|영화를 보다|to watch a movie|친구를 보다|to see a friend
경치2|scenery|아름다운 경치|beautiful scenery|경치를 구경하다|to enjoy the scenery
이렇다|to be like this|이런 날씨|weather like this|이렇게 하다|to do like this
때1|time|그 때|at that time|언제 때|what time
누가|who|누가 왔어요|who came|누가 했어요|who did it
더1|more|더 좋다|better|더 많이|more
주다1|to give|선물을 주다|to give a gift|도움을 주다|to give help
얼마|how much|얼마예요|how much is it|얼마나 좋아요|how good is it
진짜|really|진짜 좋아요|really good|진짜 예뻐요|really pretty
가다1|to go|학교에 가다|to go to school|집에 가다|to go home
치마1|skirt|긴 치마|long skirt|치마를 입다|to wear a skirt
너무1|too|너무 좋아요|too good|너무 많아요|too much
년2|year|올해|this year|내년|next year
닦다1|to wipe|바닥을 닦다|to wipe the floor|창문을 닦다|to wipe the window
또|also|또 만나요|see you again|또 다른|another
한1|one|한 개|one piece|한 번|one time
박물관|museum|국립 박물관|national museum|박물관에 가다|to go to the museum
그렇다|to be so|그런 사람|such a person|그렇게 하다|to do so
말1|words|좋은 말|good words|말을 하다|to speak
산책|walk|공원에서 산책|walk in the park|산책을 하다|to take a walk
좋다1|to be good|날씨가 좋다|the weather is good|기분이 좋다|to feel good
일1|work|중요한 일|important work|일을 하다|to work
빵1|bread|맛있는 빵|delicious bread|빵을 먹다|to eat bread
알다|to know|잘 알다|to know well|모르겠어요|I don't know
때문|because of|비 때문에|because of rain|일 때문에|because of work
노르웨이|Norway|노르웨이 여행|trip to Norway|노르웨이 사람|Norwegian person
먹다1|to eat|귀를 먹다|to go deaf|소리를 못 먹다|can't hear the sound
말하다|to speak|한국말을 하다|to speak Korean|말을 잘하다|to speak well
체육관|gymnasium|체육관에서 운동하다|to exercise in the gym|학교 체육관|school gymnasium
왜2|why|왜 그래요|why is that|왜 안 와요|why aren't you coming
그러나|however|그러나 문제가 있다|however there's a problem|그러나 괜찮아요|however it's okay
말씀드리다|to tell (honorific)|말씀드릴 게 있어요|I have something to tell you|안녕히 말씀드려요|I tell you goodbye
어떻다|to be how|어떤 사람|what kind of person|어떻게 지내세요|how are you doing
오다1|to come|집에 오다|to come home|친구가 오다|a friend comes
한글날|Hangeul Day|한글날 행사|Hangeul Day event|한글날을 기념하다|to commemorate Hangeul Day
많이|a lot|많이 먹다|to eat a lot|많이 바쁘다|to be very busy
씨7|Mr./Ms.|김 씨|Mr./Ms. Kim|박 씨 댁|Mr./Ms. Park's house
바람이|wind|바람이 불다|the wind blows|바람이 세다|the wind is strong
싶다|to want to|가고 싶다|want to go|먹고 싶어요|I want to eat
크다1|to be big|집이 크다|the house is big|큰 문제|big problem
방학|vacation|여름 방학|summer vacation|방학 계획|vacation plans
많다|to be many|사람이 많다|there are many people|많은 친구들|many friends
일7|day|하루 종일|all day long|며칠 동안|for several days
가르치다1|to teach|한국어를 가르치다|to teach Korean|학생을 가르치다|to teach students
오늘|today|오늘 날씨|today's weather|오늘 저녁|this evening
안2|not|안 좋다|not good|안 가요|not going
청소하다3|to clean|방을 청소하다|to clean the room|청소를 하다|to do cleaning
받다1|to receive|선물을 받다|to receive a gift|편지를 받다|to receive a letter
그것|that|그것 좀 주세요|please give me that|그것은 뭐예요|what is that
서핑|surfing|서핑을 하다|to surf|서핑 보드|surfboard
뭐|what|뭐 해요?|what are you doing?|뭐가 좋아요?|what do you like?
집1|house|우리 집|our house|집에 가다|to go home
고프다|to be hungry|배가 고프다|to be hungry|너무 고파요|I'm so hungry
만들다|to make|음식을 만들다|to make food|친구를 만들다|to make friends
나오다|to come out|밖으로 나오다|to come outside|결과가 나오다|results come out
가볍다|to be light|가벼운 가방|light bag|마음이 가볍다|to feel light-hearted
그냥|just|그냥 집에 있어요|just staying home|그냥 괜찮아요|it's just fine
그리고|and|그리고 나서|and then|그리고 또|and also
교실|classroom|우리 교실|our classroom|교실에서 공부하다|to study in the classroom
생각1|thought|좋은 생각|good idea|생각이 나다|to come to mind
문제6|problem|어려운 문제|difficult problem|문제가 있다|there is a problem
