word,source_book
스케이트,1-1.csv
공원,1-1.csv
자르다,1-1.csv
슈퍼마켓,1-1.csv
고속버스터미널,1-1.csv
바다,1-1.csv
저것,1-1.csv
역사,1-1.csv
경치,1-1.csv
누가,1-1.csv
얼마,1-1.csv
치마,1-1.csv
닦다,1-1.csv
박물관,1-1.csv
산책,1-1.csv
빵,1-1.csv
노르웨이,1-1.csv
체육관,1-1.csv
말씀드리다,1-1.csv
없다,1-1.csv
한글날,1-1.csv
바람이,1-1.csv
방학,1-1.csv
가르치다,1-1.csv
청소하다,1-1.csv
서핑,1-1.csv
고프다,1-1.csv
가볍다,1-1.csv
교실,1-1.csv
잔,1-1.csv
게임,1-1.csv
저,1-1.csv
아니요,1-1.csv
드시다,1-1.csv
스케이트장,1-1.csv
한번,1-1.csv
프랑스말,1-1.csv
연락하다,1-1.csv
입다,1-1.csv
삼계탕,1-1.csv
기자,1-1.csv
책,1-1.csv
생일,1-1.csv
여행하다,1-1.csv
식사하다,1-1.csv
추다,1-1.csv
만,1-1.csv
집,1-1.csv
준비하다,1-1.csv
볼펜,1-1.csv
공항,1-1.csv
샤워하다,1-1.csv
바꾸다,1-1.csv
향수,1-1.csv
언니,1-1.csv
세우다,1-1.csv
전화를,1-1.csv
권,1-1.csv
반,1-1.csv
서점,1-1.csv
컴퓨터를,1-1.csv
모자,1-1.csv
할머니,1-1.csv
수요일,1-1.csv
중,1-1.csv
여기,1-1.csv
인분,1-1.csv
의사,1-1.csv
왔습니다,1-1.csv
시,1-1.csv
가방,1-1.csv
보다,1-1.csv
번,1-1.csv
베트남,1-1.csv
탁구장,1-1.csv
이,1-1.csv
의자,1-1.csv
무엇,1-1.csv
요리,1-1.csv
학생회관,1-1.csv
호선,1-1.csv
찜질방,1-1.csv
피자,1-1.csv
콘서트,1-1.csv
쇼핑하다,1-1.csv
가수,1-1.csv
불다,1-1.csv
초콜릿,1-1.csv
아직,1-1.csv
병,1-1.csv
사람,1-1.csv
골프,1-1.csv
육교,1-1.csv
안,1-1.csv
교통,1-1.csv
아래,1-1.csv
복습을,1-1.csv
기다리다,1-1.csv
형,1-1.csv
만들다,1-1.csv
아르바이트하다,1-1.csv
책상,1-1.csv
내일,1-1.csv
식당,1-1.csv
노래를,1-1.csv
다음,1-1.csv
빵집,1-1.csv
수영,1-1.csv
요일,1-1.csv
아침을,1-1.csv
걷다,1-1.csv
똑바로,1-1.csv
반갑다,1-1.csv
공부하다,1-1.csv
일본,1-1.csv
피곤하다,1-1.csv
쉽다,1-1.csv
자주,1-1.csv
시작되다,1-1.csv
앉다,1-1.csv
좀,1-1.csv
여권,1-1.csv
심심하다,1-1.csv
팝콘,1-1.csv
시작,1-1.csv
호수,1-1.csv
가다,1-1.csv
열둘,1-1.csv
영화관,1-1.csv
뒤,1-1.csv
교수,1-1.csv
방학이,1-1.csv
다르다,1-1.csv
골프장,1-1.csv
재미있다,1-1.csv
더럽다,1-1.csv
삼십,1-1.csv
꽃,1-1.csv
아주,1-1.csv
사십,1-1.csv
돈을,1-1.csv
영어,1-1.csv
병원,1-1.csv
유차자,1-1.csv
보통,1-1.csv
올해,1-1.csv
프랑스,1-1.csv
출구,1-1.csv
칠판,1-1.csv
언제,1-1.csv
말하다,1-1.csv
여름,1-1.csv
가을,1-1.csv
있다,1-1.csv
음식을,1-1.csv
겨울,1-1.csv
그리다,1-1.csv
불고기,1-1.csv
인형,1-1.csv
할아버지,1-1.csv
태권도,1-1.csv
곳,1-1.csv
늦다,1-1.csv
민박하다,1-1.csv
은행,1-1.csv
한국말,1-1.csv
신다,1-1.csv
브라질,1-1.csv
음악,1-1.csv
데이트하다,1-1.csv
주무시다,1-1.csv
미터,1-1.csv
영화,1-1.csv
지도,1-1.csv
케이크를,1-1.csv
거울,1-1.csv
테니스장,1-1.csv
피다,1-1.csv
샌드위치,1-1.csv
개,1-1.csv
일,1-1.csv
커피,1-1.csv
천,1-1.csv
숙제를,1-1.csv
학기가,1-1.csv
시키다,1-1.csv
좋아하다,1-1.csv
피우다,1-1.csv
카드를,1-1.csv
이것,1-1.csv
눈이,1-1.csv
게스트하우스,1-1.csv
저녁을,1-1.csv
시간,1-1.csv
모두,1-1.csv
크림빵,1-1.csv
선생님,1-1.csv
방,1-1.csv
친구,1-1.csv
빌리다,1-1.csv
게임하다,1-1.csv
시간이,1-1.csv
스물(스무),1-1.csv
여기저기,1-1.csv
날씨,1-1.csv
실례지만,1-1.csv
빨래하다,1-1.csv
내년,1-1.csv
문,1-1.csv
남자,1-1.csv
토요일,1-1.csv
것,1-1.csv
학기,1-1.csv
여덟,1-1.csv
누굴,1-1.csv
여행을,1-1.csv
지난달,1-1.csv
학생,1-1.csv
판,1-1.csv
축하하다,1-1.csv
씨,1-1.csv
그림을,1-1.csv
끄다,1-1.csv
한식,1-1.csv
독서를,1-1.csv
차,1-1.csv
조용하다,1-1.csv
냉면,1-1.csv
둘(두),1-1.csv
물어보다,1-1.csv
약속이,1-1.csv
몇,1-1.csv
위,1-1.csv
소풍을,1-1.csv
네,1-1.csv
들어가다,1-1.csv
운동화,1-1.csv
사거리,1-1.csv
여행사,1-1.csv
