word|source_book
누가|1-1
빵|1-1
노르웨이|1-1
잔|1-1
저|1-1
아니요|1-1
책|1-1
만|1-1
집|1-1
권|1-1
반|1-1
중|1-1
시|1-1
번|1-1
이|1-1
병|1-1
안|1-1
형|1-1
똑바로|1-1
좀|1-1
뒤|1-1
꽃|1-1
돈|1-1
가을|1-1
곳|1-1
개|1-1
일|1-1
천|1-1
눈|1-1
방|1-1
스물(스무)|1-1
문|1-1
것|1-1
판|1-1
씨|1-1
차|1-1
둘(두)|1-1
몇|1-1
위|1-1
네|1-1
댁|1-1
이따가|1-1
사|1-1
맛|1-1
강|1-1
셋(세)|1-1
들|1-1
글쎄요|1-1
넷(네)|1-1
물|1-1
표|1-1
구|1-1
장|1-1
달|1-1
주|1-1
잘|1-1
삼|1-1
와|1-1
육|1-1
길|1-1
여기요|1-1
값|1-1
배|1-1
국가|1-1
송이|1-1
제|1-1
배|1-1
더|1-1
많이|1-1
층|1-1
앞|1-1
끝|1-1
오세요|1-1
백|1-1
여보세요|1-1
밖|1-1
옷|1-1
요가|1-1
-쯤|1-1
하나(한)|1-1
잠깐만요|1-1
왜|1-1
그래요|1-1
십|1-1
팔|1-1
비|1-1
봄|1-1
넥타이|1-1
원|1-1
같이|1-1
옆|1-1
뭐|1-1
역|1-1
하와이|1-1
칠|1-1
벌|1-1
오|1-1
쪽|1-1
분|1-1
줄|1-1
월|1-1
뭐|1-1
약|1-1
나|1-1
안녕하십니까?|1-1
사과|1-1
뭘|1-1
다|1-1
옷걸이|1-1
춤|1-1
아이|1-1
이|1-1
열|1-1
산|1-1
오토바이|1-1
휴가|1-2
꼭|1-2
늘|2-1
첫|2-1
새|2-1
속|2-1
붓다1|2-1
면|2-1
-일|2-1
낫다2|2-1
거의|2-1
길이|2-1
목걸이|2-1
섬|2-1
-박|2-1
낫다1|2-1
코|2-1
-세|2-1
바로|2-1
아|2-1
목이|2-1
자|2-1
마음에|2-1
후|2-1
낮|2-1
토픽(TOPIK)|2-1
어|2-1
붓다2|2-1
멜로|2-1
벽|2-1
결과|2-1
따로|2-1
쉰|2-1
떡|2-1
짐|2-1
피|2-1
감|2-1
높이|2-1
겉|2-1
음|2-1
손잡이|2-1
박수를|2-1
새로|2-1
햄|2-1
앞으로|2-1
종로|2-1
귀|2-1
발|2-1
록|2-1
별로|2-1
가까이|2-1
집들이|2-1
한|2-1
숲|2-1
귀걸이|2-1
화가|2-1
간|2-1
발로|2-1
몸이|2-1
밤|2-1
말|2-1
손|2-1
입|2-1
푹|2-1
땀|2-1
뒤풀이|2-1
팬|2-1
벨|2-1
파|2-1
초|2-1
꿈|3-1
엑스레이|3-1
기운|3-1
잔소리가|3-1
겁을|3-1
앱|3-1
혼을|3-1
학과|3-1
정신없이|3-1
등|3-1
특가|3-1
근육이|3-1
직접적으로|3-1
질|3-1
따로따로|3-1
고집이|3-1
구하다1|3-1
겁이|3-1
홈스테이|3-1
꽤|3-1
갖추다1|3-1
이대로|3-1
운동량이|3-1
피로가|3-1
윷놀이|3-1
들다1|3-1
스테이|3-1
_차|3-1
피부과|3-1
정형외과|3-1
풀다1|3-1
제대로|3-1
양|3-1
젊은이|3-1
낯|3-1
예의|3-1
안과|3-1
여가|3-1
씻기다1|3-1
씻기다2|3-1
한꺼번에|3-1
_끼|3-1
화|3-1
전문가|3-1
편의|3-1
들다2|3-1
틀림없이|3-1
쓸데없이|3-1
틈|3-1
관계없이|3-1
갖추다2|3-1
풀다2|3-1
혼이|3-1
편|3-1
강의|3-1
구하다2|3-1
뜻대로|3-2
