word|source_book
스케이트|1-1
공원|1-1
자르다|1-1
슈퍼마켓|1-1
고속버스터미널|1-1
바다|1-1
저것|1-1
역사|1-1
경치|1-1
누가|1-1
얼마|1-1
치마|1-1
닦다|1-1
박물관|1-1
산책|1-1
빵|1-1
노르웨이|1-1
체육관|1-1
말씀드리다|1-1
없다|1-1
한글날|1-1
바람이|1-1
방학|1-1
가르치다|1-1
청소하다|1-1
서핑|1-1
고프다|1-1
가볍다|1-1
교실|1-1
잔|1-1
게임|1-1
저|1-1
아니요|1-1
드시다|1-1
스케이트장|1-1
한번|1-1
프랑스말|1-1
연락하다|1-1
입다|1-1
삼계탕|1-1
기자|1-1
책|1-1
생일|1-1
여행하다|1-1
식사하다|1-1
추다|1-1
만|1-1
집|1-1
준비하다|1-1
볼펜|1-1
공항|1-1
샤워하다|1-1
바꾸다|1-1
향수|1-1
언니|1-1
세우다|1-1
전화를|1-1
권|1-1
반|1-1
서점|1-1
컴퓨터를|1-1
모자|1-1
할머니|1-1
수요일|1-1
중|1-1
여기|1-1
인분|1-1
의사|1-1
왔습니다|1-1
시|1-1
가방|1-1
보다|1-1
번|1-1
베트남|1-1
탁구장|1-1
이|1-1
의자|1-1
무엇|1-1
요리|1-1
학생회관|1-1
호선|1-1
찜질방|1-1
피자|1-1
콘서트|1-1
쇼핑하다|1-1
가수|1-1
불다|1-1
초콜릿|1-1
아직|1-1
병|1-1
사람|1-1
골프|1-1
육교|1-1
안|1-1
교통|1-1
아래|1-1
복습을|1-1
기다리다|1-1
형|1-1
만들다|1-1
아르바이트하다|1-1
책상|1-1
내일|1-1
식당|1-1
노래를|1-1
다음|1-1
빵집|1-1
수영|1-1
요일|1-1
아침을|1-1
걷다|1-1
똑바로|1-1
반갑다|1-1
공부하다|1-1
일본|1-1
피곤하다|1-1
쉽다|1-1
자주|1-1
시작되다|1-1
앉다|1-1
좀|1-1
여권|1-1
심심하다|1-1
팝콘|1-1
시작|1-1
호수|1-1
가다|1-1
열둘|1-1
영화관|1-1
뒤|1-1
교수|1-1
방학이|1-1
다르다|1-1
골프장|1-1
재미있다|1-1
더럽다|1-1
삼십|1-1
꽃|1-1
아주|1-1
사십|1-1
돈을|1-1
영어|1-1
병원|1-1
유차자|1-1
보통|1-1
올해|1-1
프랑스|1-1
출구|1-1
칠판|1-1
언제|1-1
말하다|1-1
여름|1-1
가을|1-1
있다|1-1
음식을|1-1
겨울|1-1
그리다|1-1
불고기|1-1
인형|1-1
할아버지|1-1
태권도|1-1
곳|1-1
늦다|1-1
민박하다|1-1
은행|1-1
한국말|1-1
신다|1-1
브라질|1-1
음악|1-1
데이트하다|1-1
주무시다|1-1
미터|1-1
영화|1-1
지도|1-1
케이크를|1-1
거울|1-1
테니스장|1-1
피다|1-1
샌드위치|1-1
개|1-1
일|1-1
커피|1-1
천|1-1
숙제를|1-1
학기가|1-1
